,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,36,46.0
1,2,36,43.9
2,3,36,43.63333333333333
3,4,31,42.5
4,5,31,40.766666666666666
5,6,29,40.0
6,7,29,39.1
7,8,29,38.233333333333334
8,9,29,37.2
9,10,29,36.53333333333333
10,11,29,36.46666666666667
11,12,29,36.166666666666664
12,13,29,35.43333333333333
13,14,29,35.266666666666666
14,15,29,34.9
15,16,25,34.3
16,17,25,33.833333333333336
17,18,25,32.833333333333336
18,19,25,32.333333333333336
19,20,23,31.733333333333334
20,21,23,31.133333333333333
21,22,23,30.633333333333333
22,23,23,30.266666666666666
23,24,23,30.166666666666668
24,25,23,30.0
25,26,23,29.766666666666666
26,27,23,29.733333333333334
27,28,23,29.5
28,29,23,29.233333333333334
29,30,23,29.166666666666668
30,31,23,29.0
31,32,23,29.0
32,33,23,28.466666666666665
33,34,23,28.333333333333332
34,35,23,28.033333333333335
35,36,23,27.6
36,37,23,27.433333333333334
37,38,23,27.3
38,39,23,27.3
39,40,23,27.066666666666666
40,41,23,27.033333333333335
41,42,23,27.033333333333335
42,43,23,26.933333333333334
43,44,23,26.9
44,45,23,26.9
45,46,23,26.9
46,47,23,26.766666666666666
47,48,23,26.433333333333334
48,49,23,26.4
49,50,23,26.4
50,51,23,26.333333333333332
51,52,23,26.1
52,53,23,26.1
53,54,23,26.1
54,55,23,26.1
55,56,23,26.1
56,57,23,25.966666666666665
57,58,23,25.966666666666665
58,59,23,25.866666666666667
59,60,23,25.866666666666667
60,61,23,25.866666666666667
61,62,23,25.8
62,63,23,25.733333333333334
63,64,23,25.733333333333334
64,65,23,25.566666666666666
65,66,23,25.566666666666666
66,67,23,25.566666666666666
67,68,23,25.433333333333334
68,69,23,25.433333333333334
69,70,23,25.266666666666666
70,71,21,25.066666666666666
71,72,21,25.066666666666666
72,73,21,25.033333333333335
73,74,21,25.0
74,75,21,25.0
75,76,21,25.0
76,77,21,24.8
77,78,21,24.8
78,79,21,24.8
79,80,21,24.633333333333333
80,81,21,24.433333333333334
81,82,21,24.333333333333332
82,83,21,24.233333333333334
83,84,21,24.233333333333334
84,85,21,24.033333333333335
85,86,21,23.933333333333334
86,87,21,23.933333333333334
87,88,21,23.933333333333334
88,89,21,23.9
89,90,21,23.9
90,91,21,23.9
91,92,21,23.6
92,93,21,23.3
93,94,21,23.233333333333334
94,95,21,23.233333333333334
95,96,21,23.233333333333334
96,97,21,23.1
97,98,21,23.066666666666666
98,99,21,23.066666666666666
99,100,21,23.0
