,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,34,47.4
1,2,32,45.6
2,3,32,44.93333333333333
3,4,31,43.46666666666667
4,5,31,42.43333333333333
5,6,31,42.36666666666667
6,7,31,41.833333333333336
7,8,29,40.5
8,9,29,40.5
9,10,29,40.333333333333336
10,11,26,39.63333333333333
11,12,26,39.1
12,13,26,38.53333333333333
13,14,26,38.4
14,15,26,38.36666666666667
15,16,26,37.43333333333333
16,17,26,37.43333333333333
17,18,25,35.766666666666666
18,19,25,34.63333333333333
19,20,25,34.4
20,21,25,33.233333333333334
21,22,25,32.3
22,23,25,31.4
23,24,25,30.766666666666666
24,25,25,30.7
25,26,25,30.6
26,27,25,30.533333333333335
27,28,25,30.533333333333335
28,29,25,30.233333333333334
29,30,25,30.233333333333334
30,31,25,30.233333333333334
31,32,25,30.033333333333335
32,33,25,30.033333333333335
33,34,25,30.033333333333335
34,35,25,29.866666666666667
35,36,25,29.866666666666667
36,37,25,29.833333333333332
37,38,25,29.833333333333332
38,39,25,29.8
39,40,25,29.733333333333334
40,41,25,29.633333333333333
41,42,25,29.566666666666666
42,43,25,29.533333333333335
43,44,25,29.433333333333334
44,45,25,29.166666666666668
45,46,25,29.166666666666668
46,47,25,29.033333333333335
47,48,25,28.966666666666665
48,49,25,28.966666666666665
49,50,25,28.933333333333334
50,51,25,28.9
51,52,25,28.8
52,53,25,28.7
53,54,25,28.666666666666668
54,55,25,28.666666666666668
55,56,25,28.666666666666668
56,57,25,28.5
57,58,25,28.5
58,59,25,28.5
59,60,25,28.466666666666665
60,61,25,28.466666666666665
61,62,25,28.3
62,63,25,28.3
63,64,25,28.266666666666666
64,65,25,28.166666666666668
65,66,25,28.1
66,67,25,28.033333333333335
67,68,25,28.0
68,69,25,27.733333333333334
69,70,25,27.733333333333334
70,71,25,27.6
71,72,25,27.6
72,73,25,27.6
73,74,25,27.6
74,75,25,27.6
75,76,25,27.6
76,77,25,27.4
77,78,25,27.366666666666667
78,79,25,27.366666666666667
79,80,25,27.333333333333332
80,81,25,27.333333333333332
81,82,25,27.233333333333334
82,83,25,27.233333333333334
83,84,25,27.2
84,85,25,27.166666666666668
85,86,25,27.166666666666668
86,87,25,27.166666666666668
87,88,25,27.166666666666668
88,89,25,27.166666666666668
89,90,25,27.166666666666668
90,91,25,27.166666666666668
91,92,25,27.166666666666668
92,93,25,27.166666666666668
93,94,25,27.166666666666668
94,95,25,27.166666666666668
95,96,25,27.166666666666668
96,97,25,27.133333333333333
97,98,25,27.0
98,99,25,27.0
99,100,25,27.0
