,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,29,53.733333333333334
1,2,33,53.233333333333334
2,3,34,61.86666666666667
3,4,34,92.23333333333333
4,5,42,102.93333333333334
5,6,42,106.03333333333333
6,7,39,102.53333333333333
7,8,39,133.2
8,9,40,164.1
9,10,42,204.66666666666666
10,11,42,229.2
11,12,63,250.26666666666668
12,13,73,261.93333333333334
13,14,73,273.7
14,15,73,274.0
15,16,107,287.73333333333335
16,17,107,285.1666666666667
17,18,107,284.96666666666664
18,19,80,295.8
19,20,86,302.53333333333336
20,21,86,300.4
21,22,86,301.1333333333333
22,23,86,309.4
23,24,86,327.1
24,25,193,344.1
25,26,193,348.73333333333335
26,27,193,345.96666666666664
27,28,193,359.6666666666667
28,29,193,363.93333333333334
29,30,186,373.6666666666667
30,31,193,394.1
31,32,193,401.1333333333333
32,33,193,417.1333333333333
33,34,193,422.1
34,35,333,443.1666666666667
35,36,333,430.3666666666667
36,37,319,423.93333333333334
37,38,333,426.06666666666666
38,39,333,430.96666666666664
39,40,319,431.6333333333333
40,41,319,411.8666666666667
41,42,319,414.26666666666665
42,43,319,416.6333333333333
43,44,319,398.53333333333336
44,45,319,406.8333333333333
45,46,338,406.23333333333335
46,47,338,395.8
47,48,338,397.46666666666664
48,49,338,402.3666666666667
49,50,338,393.3666666666667
50,51,338,394.0
51,52,338,391.1666666666667
52,53,338,383.4
53,54,338,378.1666666666667
54,55,338,387.3666666666667
55,56,338,393.5
56,57,357,400.96666666666664
57,58,341,399.23333333333335
58,59,356,397.46666666666664
59,60,356,389.96666666666664
60,61,356,388.0
61,62,338,387.1666666666667
62,63,338,388.6333333333333
63,64,338,388.1333333333333
64,65,316,386.6333333333333
65,66,316,381.26666666666665
66,67,316,386.56666666666666
67,68,316,380.73333333333335
68,69,316,375.56666666666666
69,70,316,381.6
70,71,316,381.8
71,72,316,375.46666666666664
72,73,316,377.3666666666667
73,74,316,378.96666666666664
74,75,316,379.2
75,76,316,385.1333333333333
76,77,316,390.4
77,78,316,391.23333333333335
78,79,316,382.53333333333336
79,80,316,377.3333333333333
80,81,316,383.8666666666667
81,82,316,385.1666666666667
82,83,316,389.43333333333334
83,84,316,392.2
84,85,316,390.76666666666665
85,86,316,397.03333333333336
86,87,316,399.76666666666665
87,88,316,404.26666666666665
88,89,316,404.23333333333335
89,90,316,406.3333333333333
90,91,316,413.06666666666666
91,92,316,416.76666666666665
92,93,342,418.1333333333333
93,94,342,417.6666666666667
94,95,342,415.53333333333336
95,96,342,425.73333333333335
96,97,342,426.5
97,98,342,428.1666666666667
98,99,342,433.6
99,100,342,444.8333333333333
