,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,36,45.666666666666664
1,2,35,43.53333333333333
2,3,35,42.233333333333334
3,4,33,41.3
4,5,33,40.5
5,6,33,39.9
6,7,33,39.36666666666667
7,8,33,38.86666666666667
8,9,33,38.766666666666666
9,10,28,38.233333333333334
10,11,28,37.733333333333334
11,12,28,37.36666666666667
12,13,28,36.93333333333333
13,14,28,36.63333333333333
14,15,28,36.4
15,16,28,35.766666666666666
16,17,28,35.2
17,18,28,34.93333333333333
18,19,28,34.9
19,20,28,34.63333333333333
20,21,28,34.63333333333333
21,22,28,34.63333333333333
22,23,28,34.5
23,24,28,34.06666666666667
24,25,28,33.766666666666666
25,26,28,33.766666666666666
26,27,28,33.7
27,28,28,33.43333333333333
28,29,28,33.4
29,30,28,33.333333333333336
30,31,28,33.333333333333336
31,32,28,33.333333333333336
32,33,28,33.333333333333336
33,34,28,33.233333333333334
34,35,28,33.166666666666664
35,36,28,32.9
36,37,28,32.9
37,38,28,32.63333333333333
38,39,28,32.233333333333334
39,40,28,32.233333333333334
40,41,28,32.233333333333334
41,42,28,32.03333333333333
42,43,28,31.966666666666665
43,44,28,31.833333333333332
44,45,28,31.7
45,46,28,31.6
46,47,28,31.6
47,48,28,31.5
48,49,26,31.266666666666666
49,50,26,31.266666666666666
50,51,26,31.1
51,52,26,30.966666666666665
52,53,26,30.9
53,54,26,30.9
54,55,26,30.766666666666666
55,56,26,30.766666666666666
56,57,26,30.7
57,58,26,30.466666666666665
58,59,26,30.433333333333334
59,60,26,30.333333333333332
60,61,26,30.333333333333332
61,62,26,30.333333333333332
62,63,26,30.3
63,64,26,30.2
64,65,26,30.166666666666668
65,66,26,30.1
66,67,26,30.0
67,68,26,29.833333333333332
68,69,26,29.833333333333332
69,70,26,29.833333333333332
70,71,26,29.733333333333334
71,72,26,29.666666666666668
72,73,26,29.633333333333333
73,74,26,29.633333333333333
74,75,26,29.6
75,76,26,29.6
76,77,26,29.566666666666666
77,78,26,29.566666666666666
78,79,26,29.566666666666666
79,80,26,29.566666666666666
80,81,26,29.566666666666666
81,82,26,29.466666666666665
82,83,26,29.466666666666665
83,84,26,29.466666666666665
84,85,26,29.366666666666667
85,86,26,29.233333333333334
86,87,26,29.133333333333333
87,88,26,29.133333333333333
88,89,26,29.133333333333333
89,90,26,29.1
90,91,26,29.0
91,92,26,28.966666666666665
92,93,26,28.966666666666665
93,94,26,28.933333333333334
94,95,26,28.933333333333334
95,96,26,28.933333333333334
96,97,26,28.933333333333334
97,98,26,28.933333333333334
98,99,26,28.866666666666667
99,100,26,28.866666666666667
