,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,35,47.733333333333334
1,2,35,47.0
2,3,32,45.53333333333333
3,4,32,43.86666666666667
4,5,32,42.4
5,6,32,41.96666666666667
6,7,32,40.6
7,8,32,39.43333333333333
8,9,32,38.03333333333333
9,10,32,37.86666666666667
10,11,32,37.43333333333333
11,12,32,37.43333333333333
12,13,32,36.86666666666667
13,14,32,36.1
14,15,32,35.2
15,16,32,34.6
16,17,32,33.4
17,18,32,33.06666666666667
18,19,32,32.9
19,20,32,32.63333333333333
20,21,32,32.63333333333333
21,22,32,32.5
22,23,32,32.5
23,24,32,32.36666666666667
24,25,32,32.166666666666664
25,26,32,32.06666666666667
26,27,32,32.0
27,28,32,32.0
28,29,32,32.0
29,30,32,32.0
30,31,32,32.0
31,32,32,32.0
32,33,32,32.0
33,34,32,32.0
34,35,32,32.0
35,36,32,32.0
36,37,32,32.0
37,38,32,32.0
38,39,32,32.0
39,40,32,32.0
40,41,32,32.0
41,42,32,32.0
42,43,32,32.0
43,44,32,32.0
44,45,32,32.0
45,46,32,32.0
46,47,32,32.0
47,48,32,32.0
48,49,32,32.0
49,50,32,32.0
50,51,32,32.0
51,52,32,32.0
52,53,32,32.0
53,54,32,32.0
54,55,32,32.0
55,56,32,32.0
56,57,32,32.0
57,58,32,32.0
58,59,32,32.0
59,60,32,32.0
60,61,32,32.0
61,62,32,32.0
62,63,32,32.0
63,64,32,32.0
64,65,32,32.0
65,66,32,32.0
66,67,32,32.0
67,68,32,32.0
68,69,32,32.0
69,70,32,32.0
70,71,32,32.0
71,72,32,32.0
72,73,32,32.0
73,74,32,32.0
74,75,32,32.0
75,76,32,32.0
76,77,32,32.0
77,78,32,32.0
78,79,32,32.0
79,80,32,32.0
80,81,32,32.0
81,82,32,32.0
82,83,32,32.0
83,84,32,32.0
84,85,32,32.0
85,86,32,32.0
86,87,32,32.0
87,88,32,32.0
88,89,32,32.0
89,90,32,32.0
90,91,32,32.0
91,92,32,32.0
92,93,32,32.0
93,94,32,32.0
94,95,32,32.0
95,96,32,32.0
96,97,32,32.0
97,98,32,32.0
98,99,32,32.0
99,100,32,32.0
