,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,33,35,34,30,36,37,31,32,35,36,33.9
1,2,29,26,32,30,36,37,31,32,35,36,32.4
2,3,29,26,32,30,35,37,31,32,27,36,31.5
3,4,29,26,26,30,35,28,30,32,27,31,29.4
4,5,29,26,26,30,32,28,30,32,27,31,29.1
5,6,29,26,26,30,32,28,30,32,27,29,28.9
6,7,29,26,26,30,32,28,30,32,27,29,28.9
7,8,29,26,26,27,32,28,30,32,27,29,28.6
8,9,29,26,26,27,32,28,30,32,27,29,28.6
9,10,29,26,26,27,32,28,30,32,27,29,28.6
10,11,29,26,26,27,32,28,30,32,27,29,28.6
11,12,26,26,26,27,32,28,30,32,27,29,28.3
12,13,26,26,25,27,32,28,30,32,24,29,27.9
13,14,26,26,25,27,32,28,30,31,24,29,27.8
14,15,26,24,25,27,31,28,30,31,24,29,27.5
15,16,26,24,25,27,31,28,30,31,24,25,27.1
16,17,26,24,25,27,28,28,30,31,24,25,26.8
17,18,26,24,25,27,28,28,30,31,24,25,26.8
18,19,26,24,25,27,28,28,30,31,24,25,26.8
19,20,26,24,25,27,28,28,30,31,24,23,26.6
20,21,26,24,25,27,28,28,30,31,24,23,26.6
21,22,26,24,25,27,28,28,30,31,24,23,26.6
22,23,26,24,25,27,28,28,30,31,24,23,26.6
23,24,26,24,25,27,28,28,30,31,24,23,26.6
24,25,26,24,25,27,28,28,29,31,24,23,26.5
25,26,26,24,25,27,28,28,29,31,24,23,26.5
26,27,26,24,25,27,28,28,29,31,24,23,26.5
27,28,26,24,25,27,28,28,29,31,24,23,26.5
28,29,26,24,25,27,28,28,29,31,24,23,26.5
29,30,26,24,25,27,28,28,29,31,24,23,26.5
30,31,26,24,25,27,28,28,29,31,24,23,26.5
31,32,26,24,25,27,28,28,29,31,24,23,26.5
32,33,26,24,25,27,28,28,29,31,24,23,26.5
33,34,26,24,25,27,28,28,29,31,24,23,26.5
34,35,26,24,25,27,28,27,29,31,24,23,26.4
35,36,26,24,25,27,28,27,29,31,24,23,26.4
36,37,26,24,25,27,28,27,29,31,24,23,26.4
37,38,26,24,25,27,28,27,29,31,24,23,26.4
38,39,26,24,25,26,28,27,29,31,24,23,26.3
39,40,26,24,25,26,28,27,29,31,24,23,26.3
40,41,26,24,25,26,28,27,29,31,24,23,26.3
41,42,26,24,25,26,28,27,29,31,24,23,26.3
42,43,26,24,25,26,28,27,29,31,24,23,26.3
43,44,26,24,25,26,28,27,29,31,24,23,26.3
44,45,24,24,24,26,28,27,29,30,24,23,25.9
45,46,24,24,24,26,28,27,29,30,24,23,25.9
46,47,24,24,24,26,28,27,29,30,24,23,25.9
47,48,24,24,24,26,28,27,29,30,24,23,25.9
48,49,24,24,24,26,28,27,29,30,24,23,25.9
49,50,24,24,24,26,28,27,29,30,24,23,25.9
50,51,24,24,24,26,28,27,29,30,24,23,25.9
51,52,24,24,24,26,28,27,29,30,24,23,25.9
52,53,24,24,24,26,28,27,29,30,24,23,25.9
53,54,24,24,24,26,28,27,29,30,24,23,25.9
54,55,24,24,24,26,28,27,29,30,24,23,25.9
55,56,24,24,24,26,28,27,29,30,24,23,25.9
56,57,24,24,23,26,28,27,29,30,24,23,25.8
57,58,24,24,23,26,28,27,29,30,24,23,25.8
58,59,24,24,23,26,26,27,29,30,24,23,25.6
59,60,24,24,23,26,26,27,29,30,24,23,25.6
60,61,24,24,23,26,26,27,29,30,23,23,25.5
61,62,24,24,23,26,26,27,28,30,23,23,25.4
62,63,24,24,23,26,25,27,28,30,23,23,25.3
63,64,24,24,23,26,25,27,28,30,23,23,25.3
64,65,24,24,23,26,25,27,28,30,23,23,25.3
65,66,24,24,23,26,25,27,28,30,23,23,25.3
66,67,24,24,23,26,25,27,28,30,23,23,25.3
67,68,24,24,23,26,25,27,28,30,23,23,25.3
68,69,24,24,23,26,25,27,28,30,23,23,25.3
69,70,24,24,23,26,25,27,28,30,23,23,25.3
70,71,24,24,23,26,25,27,28,30,23,21,25.1
71,72,24,24,23,26,25,27,28,30,23,21,25.1
72,73,24,24,23,26,25,27,28,30,23,21,25.1
73,74,24,24,23,26,25,27,28,30,23,21,25.1
74,75,24,24,22,26,25,27,28,30,23,21,25.0
75,76,24,24,22,26,25,27,28,30,23,21,25.0
76,77,24,24,22,26,25,27,28,30,23,21,25.0
77,78,24,24,22,26,25,27,28,30,23,21,25.0
78,79,24,24,22,26,24,27,28,30,23,21,24.9
79,80,24,24,22,26,24,27,28,30,23,21,24.9
80,81,24,24,22,26,24,27,28,30,23,21,24.9
81,82,24,24,22,26,24,27,28,30,23,21,24.9
82,83,24,24,22,26,24,27,28,30,23,21,24.9
83,84,24,24,22,26,24,27,28,30,23,21,24.9
84,85,24,24,22,26,24,27,28,30,23,21,24.9
85,86,24,24,22,26,24,27,28,30,23,21,24.9
86,87,24,24,22,26,24,27,28,30,23,21,24.9
87,88,24,24,22,26,24,27,26,30,23,21,24.7
88,89,24,24,22,26,24,27,26,30,23,21,24.7
89,90,24,24,22,26,24,27,26,30,23,21,24.7
90,91,24,24,22,26,24,27,26,30,23,21,24.7
91,92,24,24,22,26,24,27,26,30,23,21,24.7
92,93,24,24,22,26,24,27,26,30,23,21,24.7
93,94,24,24,22,26,24,27,26,30,23,21,24.7
94,95,24,24,22,26,24,27,26,30,23,21,24.7
95,96,24,24,22,26,24,27,26,30,23,21,24.7
96,97,24,24,22,26,24,27,26,30,23,21,24.7
97,98,24,24,22,26,24,27,26,30,23,21,24.7
98,99,24,24,22,26,24,27,26,30,23,21,24.7
99,100,24,24,22,26,24,27,26,30,23,21,24.7
