,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,34,39,35,37,34,32,33,38,34,30,34.6
1,2,38,40,35,37,34,32,36,41,34,30,35.7
2,3,38,41,39,41,34,32,36,41,40,30,37.2
3,4,38,41,39,41,34,37,38,37,47,30,38.2
4,5,38,41,41,33,34,37,38,37,47,30,37.6
5,6,38,41,50,33,34,37,37,38,47,30,38.5
6,7,46,41,50,33,34,37,37,38,47,30,39.3
7,8,46,41,51,33,34,39,37,38,47,42,40.8
8,9,46,41,56,33,34,39,37,38,47,42,41.3
9,10,75,41,56,33,34,42,38,40,49,42,45.0
10,11,98,41,56,74,34,42,38,41,49,106,57.9
11,12,49,41,217,90,34,42,38,41,49,106,70.7
12,13,138,41,267,160,34,42,38,41,55,106,92.2
13,14,138,41,267,160,220,42,49,41,55,229,124.2
14,15,138,218,267,160,220,42,68,41,55,229,143.8
15,16,138,291,267,171,220,42,338,41,55,244,180.7
16,17,138,291,267,175,220,48,338,41,55,244,181.7
17,18,138,291,267,193,265,48,337,41,296,244,212.0
18,19,138,291,267,193,265,48,337,41,296,426,230.2
19,20,138,291,298,193,265,48,337,181,319,426,249.6
20,21,125,291,298,164,461,353,337,181,319,425,295.4
21,22,125,291,298,164,461,353,337,181,319,425,295.4
22,23,125,291,298,196,461,353,337,181,319,425,298.6
23,24,125,291,298,233,461,353,360,181,319,460,308.1
24,25,125,312,298,233,461,353,398,181,319,461,314.1
25,26,125,312,298,233,517,372,398,181,319,461,321.6
26,27,125,312,298,266,517,372,398,181,319,461,324.9
27,28,163,312,298,266,517,372,398,181,319,507,333.3
28,29,338,312,298,266,517,372,398,181,334,507,352.3
29,30,338,312,298,297,517,418,398,181,340,504,360.3
30,31,357,312,298,298,517,418,398,181,340,501,362.0
31,32,357,312,298,298,517,418,398,181,378,501,365.8
32,33,357,312,298,298,518,418,398,181,378,501,365.9
33,34,357,333,298,298,518,418,423,181,378,501,370.5
34,35,357,360,298,336,518,418,423,181,378,501,377.0
35,36,388,371,298,336,518,418,423,244,378,523,389.7
36,37,388,371,298,355,526,440,423,244,378,523,394.6
37,38,388,371,298,356,526,436,423,298,378,523,399.7
38,39,388,371,298,356,526,436,422,341,378,501,401.7
39,40,388,371,317,356,526,436,423,364,378,501,406.0
40,41,388,371,317,356,526,453,423,364,378,501,407.7
41,42,388,371,317,356,526,453,423,364,460,501,415.9
42,43,437,371,317,356,526,476,423,361,481,501,424.9
43,44,437,371,317,356,526,476,423,361,481,501,424.9
44,45,437,371,317,356,526,476,423,361,482,501,425.0
45,46,437,371,317,356,526,475,423,361,482,501,424.9
46,47,437,371,317,356,526,477,423,361,482,501,425.1
47,48,440,371,402,356,526,477,423,361,482,501,433.9
48,49,440,371,402,356,529,477,423,361,482,501,434.2
49,50,440,371,402,356,529,477,423,361,461,497,431.7
50,51,440,371,402,356,529,477,422,361,459,497,431.4
51,52,440,371,402,435,529,477,422,341,459,497,437.3
52,53,440,475,439,435,529,477,422,361,459,497,453.4
53,54,440,475,439,435,529,477,422,361,459,504,454.1
54,55,459,475,439,459,529,477,422,361,459,504,458.4
55,56,459,475,439,459,529,477,422,361,459,503,458.3
56,57,459,475,439,459,529,477,422,361,459,503,458.3
57,58,459,451,439,459,529,477,422,363,459,503,456.1
58,59,459,451,424,459,529,477,422,363,459,504,454.7
59,60,459,451,439,459,506,477,422,363,459,526,456.1
60,61,459,475,439,462,506,477,422,363,459,526,458.8
61,62,459,475,439,462,506,477,422,426,459,526,465.1
62,63,459,475,439,481,506,477,422,426,459,526,467.0
63,64,459,475,439,483,506,477,422,425,459,526,467.1
64,65,459,475,439,483,506,477,422,426,481,526,469.4
65,66,459,475,439,483,506,477,422,426,481,526,469.4
66,67,459,475,439,483,506,477,422,438,481,526,470.6
67,68,459,475,439,483,506,477,422,438,481,526,470.6
68,69,459,475,504,483,506,477,422,438,481,526,477.1
69,70,459,475,504,483,530,477,422,438,459,529,477.6
70,71,459,475,504,483,530,477,422,438,481,529,479.8
71,72,459,475,505,483,530,521,422,438,481,526,484.0
72,73,440,475,505,483,530,521,422,438,481,526,482.1
73,74,440,475,505,483,530,521,422,438,481,526,482.1
74,75,440,474,505,483,530,521,422,438,481,526,482.0
75,76,440,474,505,483,530,522,422,438,481,526,482.1
76,77,440,474,505,483,530,522,422,438,481,526,482.1
77,78,440,474,505,483,530,522,422,438,481,526,482.1
78,79,459,474,505,527,530,522,422,438,481,526,488.4
79,80,459,451,505,527,530,522,422,438,481,526,486.1
80,81,459,451,505,527,530,522,422,438,503,526,488.3
81,82,459,475,528,527,530,522,442,438,504,526,495.1
82,83,459,475,528,527,530,522,442,438,503,526,495.0
83,84,459,498,528,527,530,522,442,438,503,526,497.3
84,85,459,498,528,527,530,522,442,438,503,526,497.3
85,86,459,498,528,527,530,522,442,438,503,526,497.3
86,87,459,498,528,527,530,522,442,438,503,546,499.3
87,88,459,498,528,527,530,522,442,438,503,546,499.3
88,89,459,499,528,527,530,522,442,438,503,546,499.4
89,90,459,499,528,527,530,522,442,460,503,546,501.6
