,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,32,33,30,26,33,31,36,34,35,34,32.4
1,2,31,33,30,26,33,31,32,34,35,32,31.7
2,3,31,33,30,26,33,31,32,34,35,32,31.7
3,4,31,33,30,26,33,29,32,32,33,31,31.0
4,5,31,33,30,26,33,29,32,32,33,31,31.0
5,6,29,33,30,26,33,29,32,32,33,31,30.8
6,7,29,31,30,26,32,29,32,32,32,31,30.4
7,8,29,31,23,26,32,29,32,32,32,29,29.5
8,9,29,29,23,26,32,29,32,32,32,29,29.3
9,10,29,29,23,26,32,29,32,32,32,29,29.3
10,11,29,29,21,26,32,29,32,32,32,26,28.8
11,12,29,29,21,26,32,29,32,32,32,26,28.8
12,13,29,29,21,26,32,29,32,32,32,26,28.8
13,14,29,29,21,26,30,29,32,32,32,26,28.6
14,15,29,29,21,26,30,29,32,32,32,26,28.6
15,16,29,28,21,26,30,29,32,32,32,26,28.5
16,17,29,28,21,26,30,29,32,32,32,26,28.5
17,18,29,28,21,26,30,29,32,32,32,25,28.4
18,19,29,28,21,26,30,29,32,32,30,25,28.2
19,20,29,28,21,26,30,29,32,32,30,25,28.2
20,21,29,28,21,26,30,29,31,32,30,25,28.1
21,22,29,28,21,26,30,28,31,32,29,25,27.9
22,23,29,28,21,26,30,23,31,32,29,25,27.4
23,24,29,28,21,26,30,23,30,32,29,25,27.3
24,25,29,28,21,26,30,23,30,32,29,25,27.3
25,26,29,28,21,26,30,23,30,32,29,25,27.3
26,27,29,28,21,26,30,23,27,32,29,25,27.0
27,28,29,28,21,26,30,23,27,32,29,25,27.0
28,29,29,28,21,26,30,23,27,29,29,25,26.7
29,30,28,28,21,26,30,23,27,29,29,25,26.6
30,31,28,28,21,26,30,23,27,29,29,25,26.6
31,32,28,28,21,26,30,23,27,29,29,25,26.6
32,33,28,28,21,26,30,23,27,29,29,25,26.6
33,34,28,28,21,26,30,23,27,29,29,25,26.6
34,35,28,28,20,21,30,23,27,29,29,25,26.0
35,36,28,28,20,21,30,23,27,29,29,25,26.0
36,37,28,28,20,21,30,23,27,29,29,25,26.0
37,38,28,28,20,21,30,23,27,29,29,25,26.0
38,39,28,28,20,21,30,23,27,29,29,25,26.0
39,40,28,28,20,21,30,23,27,29,29,25,26.0
40,41,28,28,20,21,30,23,27,29,29,25,26.0
41,42,28,28,20,21,30,23,27,29,29,25,26.0
42,43,28,28,20,21,30,23,27,29,29,25,26.0
43,44,25,28,20,21,30,23,27,29,29,25,25.7
44,45,25,28,20,21,30,23,27,29,29,25,25.7
45,46,25,28,20,21,30,23,27,29,29,25,25.7
46,47,25,27,20,21,30,23,27,29,29,25,25.6
47,48,25,27,20,21,30,23,27,29,29,25,25.6
48,49,25,27,20,21,30,23,27,29,29,25,25.6
49,50,25,27,20,21,30,23,27,29,29,25,25.6
50,51,25,27,20,21,30,23,27,29,29,25,25.6
51,52,25,27,20,21,30,23,27,29,29,25,25.6
52,53,25,27,20,21,30,23,27,29,29,25,25.6
53,54,25,27,20,21,29,23,27,29,29,25,25.5
54,55,25,27,20,21,29,23,27,29,29,25,25.5
55,56,25,27,20,21,29,23,27,29,29,25,25.5
56,57,25,27,20,21,29,23,27,29,29,25,25.5
57,58,25,27,20,21,29,23,27,29,29,25,25.5
58,59,25,27,20,21,29,23,27,29,29,25,25.5
59,60,25,27,20,21,29,23,27,28,29,25,25.4
60,61,25,27,20,21,29,23,27,28,29,25,25.4
61,62,25,27,20,21,29,23,27,28,29,25,25.4
62,63,25,27,20,21,29,23,27,28,29,25,25.4
63,64,25,27,20,21,29,23,27,28,29,25,25.4
64,65,25,27,20,21,29,23,27,28,29,25,25.4
65,66,25,27,20,21,29,23,27,28,29,25,25.4
66,67,25,27,20,21,29,23,27,28,29,25,25.4
67,68,25,27,20,21,29,23,27,28,29,25,25.4
68,69,25,27,20,21,29,23,27,28,29,25,25.4
69,70,25,27,20,21,29,23,27,28,29,25,25.4
70,71,25,27,20,21,29,23,27,28,29,25,25.4
71,72,25,27,20,21,29,23,27,28,29,25,25.4
72,73,25,27,20,21,29,23,27,28,29,25,25.4
73,74,25,27,20,21,29,23,27,28,29,25,25.4
74,75,25,27,20,21,29,23,27,28,29,25,25.4
75,76,25,27,20,21,29,23,27,28,29,25,25.4
76,77,25,27,20,21,29,23,27,28,29,25,25.4
77,78,25,27,20,21,29,23,27,28,29,25,25.4
78,79,25,27,20,21,29,23,27,28,29,25,25.4
79,80,25,27,20,21,29,23,27,28,29,25,25.4
80,81,25,27,20,21,29,23,27,28,29,25,25.4
81,82,25,27,20,21,29,23,27,28,29,25,25.4
82,83,25,27,20,21,29,23,27,28,29,25,25.4
83,84,25,27,20,21,29,23,27,28,29,25,25.4
84,85,25,27,20,21,29,23,27,28,29,25,25.4
85,86,25,27,20,21,29,20,27,28,29,25,25.1
86,87,25,27,20,21,29,20,27,28,29,25,25.1
87,88,25,27,20,21,29,20,27,28,29,25,25.1
88,89,25,27,20,21,29,20,27,28,29,25,25.1
89,90,25,27,20,21,29,20,27,28,29,25,25.1
90,91,25,27,20,21,29,20,27,28,29,25,25.1
91,92,25,27,20,21,24,20,27,28,29,25,24.6
92,93,25,27,20,21,24,20,27,28,29,25,24.6
93,94,25,27,20,21,24,20,27,28,29,25,24.6
94,95,25,27,20,21,24,20,27,28,29,25,24.6
95,96,25,27,20,21,24,20,27,28,29,25,24.6
96,97,25,27,20,21,24,20,27,28,29,25,24.6
97,98,25,27,20,21,24,20,27,28,29,25,24.6
98,99,25,27,20,21,24,20,27,28,29,25,24.6
99,100,25,27,20,21,24,20,27,28,27,25,24.4
