,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,39,36,39,29,35,37,33,38,35,35,35.6
1,2,39,36,39,30,35,29,33,37,33,33,34.4
2,3,37,36,39,30,38,29,33,36,33,33,34.4
3,4,37,33,31,30,38,26,33,36,33,33,33.0
4,5,28,32,31,28,38,26,33,36,33,33,31.8
5,6,28,32,31,30,37,26,33,36,32,33,31.8
6,7,28,32,31,30,37,26,33,36,32,33,31.8
7,8,28,32,31,30,37,26,30,35,32,33,31.4
8,9,28,32,31,30,37,26,30,35,28,33,31.0
9,10,28,32,31,30,37,26,33,35,28,33,31.3
10,11,28,29,30,30,37,26,33,35,28,33,30.9
11,12,23,29,30,30,36,26,33,35,28,33,30.3
12,13,23,29,30,30,36,26,31,35,28,33,30.1
13,14,23,29,30,30,36,26,31,35,28,33,30.1
14,15,23,29,30,30,36,26,31,35,28,33,30.1
15,16,23,29,30,30,36,26,30,35,28,33,30.0
16,17,23,29,30,30,36,26,30,35,28,33,30.0
17,18,23,29,30,30,36,26,31,35,28,33,30.1
18,19,23,29,30,30,36,26,31,35,28,33,30.1
19,20,23,29,30,30,36,26,31,35,28,33,30.1
20,21,23,29,30,30,36,26,31,35,28,33,30.1
21,22,23,29,30,30,36,26,31,35,28,33,30.1
22,23,23,29,30,30,36,26,31,35,28,33,30.1
23,24,23,29,30,30,36,26,31,35,28,33,30.1
24,25,23,29,30,30,36,26,31,35,28,33,30.1
25,26,23,28,30,30,36,26,31,35,28,33,30.0
26,27,23,28,30,30,36,26,31,35,28,33,30.0
27,28,23,29,30,30,36,26,31,35,28,33,30.1
28,29,23,29,30,30,36,26,31,35,28,33,30.1
29,30,23,29,30,30,36,26,31,35,28,33,30.1
30,31,23,28,30,30,36,26,31,35,28,33,30.0
31,32,23,28,30,30,36,26,31,35,28,33,30.0
32,33,23,28,30,30,36,26,31,35,28,33,30.0
33,34,23,28,30,30,36,26,31,35,28,33,30.0
34,35,23,28,30,30,36,26,31,35,28,33,30.0
35,36,23,28,30,30,36,26,31,35,28,33,30.0
36,37,23,28,30,30,36,26,31,35,28,33,30.0
37,38,23,28,30,30,36,26,31,35,28,33,30.0
38,39,23,28,30,30,36,26,31,35,28,33,30.0
39,40,23,28,30,30,36,26,31,35,28,33,30.0
40,41,23,28,30,30,36,26,31,35,28,33,30.0
41,42,23,28,30,30,36,26,31,35,28,33,30.0
42,43,23,28,30,30,36,26,31,35,28,33,30.0
43,44,23,28,30,30,36,26,31,35,28,33,30.0
44,45,23,28,30,30,36,26,31,35,28,33,30.0
45,46,23,28,30,30,36,26,31,35,28,33,30.0
46,47,23,28,30,30,36,26,31,35,28,33,30.0
47,48,23,28,30,30,36,26,31,35,28,33,30.0
48,49,23,28,30,30,36,26,31,35,28,33,30.0
49,50,23,28,30,30,36,26,31,35,28,33,30.0
50,51,23,28,30,30,36,26,31,35,28,33,30.0
51,52,23,28,30,30,36,26,31,35,28,33,30.0
52,53,23,28,30,30,36,26,31,35,28,33,30.0
53,54,23,28,30,30,36,26,31,35,28,33,30.0
54,55,23,28,30,30,36,26,31,35,28,33,30.0
55,56,23,28,30,30,36,26,31,35,28,33,30.0
56,57,23,28,30,30,36,26,31,35,28,33,30.0
57,58,23,28,30,30,36,26,31,35,28,33,30.0
58,59,23,28,30,30,36,26,31,35,28,33,30.0
59,60,23,28,30,30,36,26,31,35,28,33,30.0
60,61,23,28,30,30,36,26,31,35,28,33,30.0
61,62,23,28,30,30,36,26,31,35,28,33,30.0
62,63,23,28,30,30,36,26,31,35,28,33,30.0
63,64,23,28,30,30,36,26,31,35,28,33,30.0
64,65,23,28,30,30,36,26,31,35,28,33,30.0
65,66,23,28,30,30,36,26,31,35,28,33,30.0
66,67,23,28,30,30,36,26,31,35,28,33,30.0
67,68,23,28,30,30,36,26,31,35,28,33,30.0
68,69,23,28,30,30,36,26,31,35,28,33,30.0
69,70,23,28,30,30,36,26,31,35,28,33,30.0
70,71,23,28,30,30,36,26,31,35,28,33,30.0
71,72,23,28,30,30,36,26,31,35,28,33,30.0
72,73,23,28,30,30,36,26,31,35,28,33,30.0
73,74,23,28,30,30,36,26,31,35,28,33,30.0
74,75,23,28,30,30,36,26,31,35,28,33,30.0
75,76,23,28,30,30,36,26,31,35,28,33,30.0
76,77,23,28,30,30,36,26,31,35,28,33,30.0
77,78,23,28,30,30,36,26,31,35,28,33,30.0
