,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,32,34,31,33,33,34,32,39,34,29,33.1
1,2,32,34,31,33,33,33,31,39,32,33,33.1
2,3,32,34,31,33,34,30,31,39,32,34,33.0
3,4,32,34,31,33,40,34,37,39,32,34,34.6
4,5,32,34,31,33,40,34,37,39,32,42,35.4
5,6,36,34,31,33,40,34,37,39,28,42,35.4
6,7,36,34,31,33,40,34,37,39,28,39,35.1
7,8,36,34,31,37,40,34,37,39,28,39,35.5
8,9,36,34,31,44,40,37,37,39,37,40,37.5
9,10,36,37,33,53,40,38,37,39,37,42,39.2
10,11,36,37,41,53,40,38,37,39,37,42,40.0
11,12,36,37,41,47,36,38,37,39,40,63,41.4
12,13,36,37,41,47,36,47,37,39,48,73,44.1
13,14,36,57,41,47,36,41,45,39,63,73,47.8
14,15,39,83,43,47,36,41,45,39,63,73,50.9
15,16,39,149,43,47,36,51,45,43,63,107,62.3
16,17,39,149,43,47,36,51,45,43,63,107,62.3
17,18,39,149,43,47,36,51,31,43,63,107,60.9
18,19,39,203,43,47,36,51,31,43,63,80,63.6
19,20,39,206,43,67,46,51,45,43,63,86,68.9
20,21,32,206,43,67,55,51,46,43,63,86,69.2
21,22,32,206,43,148,55,42,46,43,90,86,79.1
22,23,32,206,43,148,55,42,46,97,90,86,84.5
23,24,41,206,34,160,87,42,46,97,90,86,88.9
24,25,41,206,34,160,87,42,52,97,128,193,104.0
25,26,41,218,34,160,87,42,77,97,132,193,108.1
26,27,41,218,34,160,87,42,77,97,132,193,108.1
27,28,41,218,34,204,165,66,77,97,132,193,122.7
28,29,44,218,186,204,165,66,77,97,132,193,138.2
29,30,44,299,186,195,165,66,77,97,132,186,144.7
30,31,44,309,186,210,165,170,83,102,132,193,159.4
31,32,89,309,186,210,163,170,178,102,132,193,173.2
32,33,219,309,216,210,163,170,235,102,144,193,196.1
33,34,219,309,216,210,163,170,235,102,176,193,199.3
34,35,219,309,216,210,241,193,235,102,176,333,223.4
35,36,219,309,216,284,241,193,233,157,176,333,236.1
36,37,219,309,216,284,211,206,233,210,176,319,238.3
