,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,37,33,32,32,32,30,35,32,35,36,33.4
1,2,36,30,29,32,32,30,34,32,35,35,32.5
2,3,30,30,27,32,32,30,34,32,34,35,31.6
3,4,30,30,27,32,31,30,34,32,33,33,31.2
4,5,30,30,27,27,31,30,33,32,33,33,30.6
5,6,27,29,27,27,27,30,33,32,33,33,29.8
6,7,27,29,27,27,27,30,33,32,33,33,29.8
7,8,27,29,27,27,26,30,33,32,33,33,29.7
8,9,27,29,27,27,26,30,32,32,33,33,29.6
9,10,27,29,27,27,26,30,32,32,32,28,29.0
10,11,27,29,27,27,26,30,32,32,32,28,29.0
11,12,27,29,27,27,26,30,32,31,30,28,28.7
12,13,26,29,27,27,26,28,32,31,30,28,28.4
13,14,26,29,27,27,26,28,32,31,30,28,28.4
14,15,26,29,27,27,26,28,32,31,30,28,28.4
15,16,26,29,27,27,26,28,32,31,30,28,28.4
16,17,26,29,27,27,26,28,32,31,29,28,28.3
17,18,26,29,27,27,26,28,31,31,29,28,28.2
18,19,26,29,27,27,26,28,31,31,29,28,28.2
19,20,26,28,27,27,26,22,31,31,29,28,27.5
20,21,26,28,27,27,26,22,31,31,29,28,27.5
21,22,26,28,27,27,26,22,30,31,29,28,27.4
22,23,26,28,27,27,26,22,30,31,29,28,27.4
23,24,26,28,26,27,26,22,30,30,28,28,27.1
24,25,26,28,26,27,26,22,30,30,28,28,27.1
25,26,26,28,26,27,26,22,30,30,28,28,27.1
26,27,26,28,26,27,26,22,30,30,28,28,27.1
27,28,26,28,26,27,26,22,30,30,28,28,27.1
28,29,26,28,26,27,26,22,29,30,28,28,27.0
29,30,26,23,26,27,26,22,29,30,28,28,26.5
30,31,26,23,26,27,26,22,28,30,28,28,26.4
31,32,26,23,26,27,26,22,28,30,28,28,26.4
32,33,26,23,26,27,26,22,28,30,28,28,26.4
33,34,26,23,26,27,26,22,28,30,28,28,26.4
34,35,26,23,26,27,26,22,28,30,28,28,26.4
35,36,26,23,24,27,26,22,28,30,28,28,26.2
36,37,26,23,24,27,26,22,28,30,28,28,26.2
37,38,26,23,24,27,26,22,28,30,28,28,26.2
38,39,26,23,24,27,26,22,28,30,28,28,26.2
39,40,26,23,24,27,26,22,28,30,28,28,26.2
40,41,26,23,24,27,26,22,28,30,28,28,26.2
41,42,24,23,24,27,26,22,28,30,28,28,26.0
42,43,24,23,24,27,26,22,28,30,28,28,26.0
43,44,24,23,24,27,26,22,28,30,28,28,26.0
44,45,24,23,24,27,26,22,28,30,28,28,26.0
45,46,24,23,24,27,26,22,28,30,28,28,26.0
46,47,24,23,24,27,26,22,28,30,28,28,26.0
47,48,24,23,24,27,26,22,28,30,28,28,26.0
48,49,24,23,24,27,26,22,28,30,28,26,25.8
49,50,24,23,24,27,26,22,28,30,28,26,25.8
50,51,24,23,24,27,26,22,28,30,28,26,25.8
51,52,24,23,24,27,26,22,28,30,28,26,25.8
52,53,24,23,24,27,26,22,28,30,28,26,25.8
53,54,24,23,24,27,26,22,28,30,28,26,25.8
54,55,24,23,24,27,25,22,28,30,28,26,25.7
55,56,24,23,24,27,25,22,28,30,28,26,25.7
56,57,24,23,24,27,25,22,28,30,28,26,25.7
57,58,24,23,22,27,25,22,28,30,28,26,25.5
58,59,24,23,22,27,25,22,28,30,28,26,25.5
59,60,24,23,22,27,24,22,28,30,28,26,25.4
60,61,24,23,22,27,24,22,28,30,28,26,25.4
61,62,24,23,22,27,24,22,28,30,28,26,25.4
62,63,24,23,22,27,24,22,26,30,28,26,25.2
63,64,24,23,22,27,23,22,26,30,27,26,25.0
64,65,24,23,22,27,23,22,26,30,27,26,25.0
65,66,24,23,22,27,23,22,26,30,27,26,25.0
66,67,24,23,22,27,23,22,26,30,27,26,25.0
67,68,24,23,22,27,23,22,26,30,27,26,25.0
68,69,24,23,22,27,23,22,26,30,27,26,25.0
69,70,24,23,22,27,23,22,26,30,27,26,25.0
70,71,24,23,22,27,23,22,26,30,27,26,25.0
71,72,24,23,22,27,23,22,26,30,27,26,25.0
72,73,24,23,22,27,23,22,26,29,27,26,24.9
73,74,24,23,22,27,23,22,26,29,27,26,24.9
74,75,24,23,22,27,23,22,26,29,27,26,24.9
75,76,24,23,22,27,23,22,26,29,27,26,24.9
76,77,24,23,22,27,23,22,26,29,27,26,24.9
77,78,24,23,22,27,23,22,26,29,27,26,24.9
78,79,24,23,22,27,23,22,26,29,27,26,24.9
79,80,24,23,22,27,23,22,26,29,27,26,24.9
80,81,24,23,22,27,23,22,26,29,27,26,24.9
81,82,24,23,22,27,23,22,26,29,27,26,24.9
82,83,24,23,22,27,23,22,26,29,27,26,24.9
83,84,24,23,22,27,23,22,26,29,27,26,24.9
84,85,24,23,22,27,23,22,26,29,27,26,24.9
85,86,24,23,22,27,23,22,26,29,27,26,24.9
86,87,24,23,22,27,23,22,26,29,27,26,24.9
87,88,24,23,22,27,23,22,26,29,27,26,24.9
88,89,24,23,22,27,23,22,26,29,27,26,24.9
89,90,24,23,22,27,23,22,26,29,27,26,24.9
90,91,24,23,22,27,23,22,26,29,27,26,24.9
91,92,24,23,22,27,23,22,26,29,27,26,24.9
92,93,24,23,22,27,23,22,26,29,27,26,24.9
93,94,24,23,22,27,23,22,26,23,27,26,24.3
94,95,24,23,22,27,23,22,26,23,27,26,24.3
95,96,24,23,22,27,23,22,26,23,27,26,24.3
96,97,24,23,22,27,23,22,26,23,27,26,24.3
97,98,24,23,22,27,23,22,26,23,27,26,24.3
98,99,24,23,22,27,23,22,26,23,27,26,24.3
99,100,24,23,22,27,23,22,26,23,27,26,24.3
