,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,35,27,30,26,37,31,39,31,38,35,32.9
1,2,35,27,30,26,36,31,33,31,38,35,32.2
2,3,35,27,30,26,36,31,33,31,38,32,31.9
3,4,35,27,30,26,36,31,33,31,38,32,31.9
4,5,35,27,30,26,36,31,33,31,38,32,31.9
5,6,34,27,30,26,36,31,33,31,38,32,31.8
6,7,34,27,30,26,36,31,33,31,38,32,31.8
7,8,34,27,30,26,34,31,33,31,38,32,31.6
8,9,34,27,30,26,34,31,33,31,38,32,31.6
9,10,34,27,30,26,34,31,33,31,38,32,31.6
10,11,34,27,30,26,34,31,33,31,38,32,31.6
11,12,34,27,30,26,33,31,33,31,38,32,31.5
12,13,34,27,30,26,33,31,33,31,38,32,31.5
13,14,34,27,30,26,33,28,33,31,38,32,31.2
14,15,34,27,30,26,33,28,33,31,38,32,31.2
15,16,34,27,30,26,33,28,33,31,38,32,31.2
16,17,34,27,30,26,33,28,33,31,38,32,31.2
17,18,34,27,30,26,33,28,33,31,38,32,31.2
18,19,34,27,30,26,33,28,33,31,38,32,31.2
19,20,34,27,30,26,33,28,33,31,38,32,31.2
20,21,34,27,30,26,33,28,33,31,38,32,31.2
21,22,34,27,30,26,33,28,33,31,38,32,31.2
22,23,34,27,30,26,33,28,33,31,38,32,31.2
23,24,34,27,30,26,33,28,33,31,38,32,31.2
24,25,34,27,30,26,33,28,33,31,38,32,31.2
25,26,34,27,30,26,33,28,33,31,38,32,31.2
26,27,34,27,30,26,33,28,33,31,38,32,31.2
27,28,34,27,30,26,33,28,33,31,38,32,31.2
28,29,34,27,30,26,33,28,33,31,38,32,31.2
29,30,34,27,30,26,33,28,33,31,38,32,31.2
30,31,34,27,30,26,33,28,33,31,38,32,31.2
31,32,34,27,30,26,33,28,33,31,38,32,31.2
32,33,34,27,30,26,33,28,33,31,38,32,31.2
33,34,34,27,30,26,33,28,33,31,38,32,31.2
34,35,34,27,30,26,33,28,33,31,38,32,31.2
35,36,34,27,30,26,33,28,33,31,38,32,31.2
36,37,34,27,30,26,33,28,33,31,38,32,31.2
37,38,34,27,30,26,33,28,33,31,38,32,31.2
38,39,34,27,30,26,33,28,33,31,38,32,31.2
39,40,33,27,30,26,33,28,33,31,38,32,31.1
40,41,33,27,30,26,33,28,33,31,38,32,31.1
41,42,33,27,30,26,33,28,33,31,38,32,31.1
42,43,33,27,30,26,33,28,33,31,38,32,31.1
43,44,33,27,30,26,33,28,33,31,38,32,31.1
44,45,32,27,30,26,33,28,33,31,38,32,31.0
45,46,32,27,30,26,33,28,33,31,38,32,31.0
46,47,32,27,30,26,33,28,33,31,38,32,31.0
