,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,47.46666666666667,47.233333333333334,45.5,44.266666666666666,45.96666666666667,47.766666666666666,45.36666666666667,44.266666666666666,49.56666666666667,46.0,46.339999999999996
1,2,46.1,44.56666666666667,44.2,42.7,45.2,46.03333333333333,42.6,43.666666666666664,48.53333333333333,43.9,44.75
2,3,43.46666666666667,43.5,43.03333333333333,42.06666666666667,43.13333333333333,45.9,40.36666666666667,42.03333333333333,45.53333333333333,43.63333333333333,43.266666666666666
3,4,42.333333333333336,41.733333333333334,41.233333333333334,40.8,41.9,43.766666666666666,38.666666666666664,40.96666666666667,43.5,42.5,41.739999999999995
4,5,41.36666666666667,40.2,40.86666666666667,40.13333333333333,41.233333333333334,42.63333333333333,37.1,39.233333333333334,41.2,40.766666666666666,40.473333333333336
5,6,40.86666666666667,39.166666666666664,38.333333333333336,38.8,39.86666666666667,41.36666666666667,36.46666666666667,38.6,40.03333333333333,40.0,39.35
6,7,40.333333333333336,38.06666666666667,37.96666666666667,38.46666666666667,39.0,40.7,35.733333333333334,38.2,38.733333333333334,39.1,38.63000000000001
7,8,38.733333333333334,37.333333333333336,37.3,37.166666666666664,38.63333333333333,40.13333333333333,35.43333333333333,37.93333333333333,38.2,38.233333333333334,37.91
8,9,38.43333333333333,36.266666666666666,37.3,36.43333333333333,37.8,40.03333333333333,35.06666666666667,37.93333333333333,36.666666666666664,37.2,37.31333333333333
9,10,37.3,35.13333333333333,36.666666666666664,36.166666666666664,37.13333333333333,39.96666666666667,34.56666666666667,37.8,35.46666666666667,36.53333333333333,36.67333333333333
10,11,36.833333333333336,34.36666666666667,35.86666666666667,36.1,36.833333333333336,39.56666666666667,34.03333333333333,37.36666666666667,34.8,36.46666666666667,36.223333333333336
11,12,35.5,33.63333333333333,35.36666666666667,36.06666666666667,36.6,38.96666666666667,33.63333333333333,37.1,34.3,36.166666666666664,35.733333333333334
12,13,34.9,33.266666666666666,34.53333333333333,35.2,36.43333333333333,38.1,33.3,36.9,33.43333333333333,35.43333333333333,35.14999999999999
13,14,34.56666666666667,32.733333333333334,34.333333333333336,34.06666666666667,36.0,37.766666666666666,33.266666666666666,36.3,33.1,35.266666666666666,34.74
14,15,34.233333333333334,31.5,33.93333333333333,33.93333333333333,35.7,37.666666666666664,33.2,36.3,32.5,34.9,34.38666666666667
15,16,34.1,31.333333333333332,33.6,33.5,35.166666666666664,35.93333333333333,33.06666666666667,35.9,32.06666666666667,34.3,33.89666666666666
16,17,33.766666666666666,31.266666666666666,33.36666666666667,33.166666666666664,34.5,35.13333333333333,32.833333333333336,35.766666666666666,31.933333333333334,33.833333333333336,33.556666666666665
17,18,33.6,30.966666666666665,33.36666666666667,32.96666666666667,34.36666666666667,34.5,32.833333333333336,35.56666666666667,31.733333333333334,32.833333333333336,33.27333333333333
18,19,32.8,30.633333333333333,33.266666666666666,32.7,34.03333333333333,34.1,32.666666666666664,35.233333333333334,31.733333333333334,32.333333333333336,32.949999999999996
19,20,32.4,30.033333333333335,33.166666666666664,32.06666666666667,33.86666666666667,33.1,32.43333333333333,35.0,31.6,31.733333333333334,32.540000000000006
20,21,32.0,29.9,33.0,31.5,33.86666666666667,33.1,32.166666666666664,34.9,31.566666666666666,31.133333333333333,32.31333333333333
21,22,31.933333333333334,29.533333333333335,32.766666666666666,31.1,33.5,33.1,31.7,34.3,31.333333333333332,30.633333333333333,31.99
22,23,31.8,29.533333333333335,32.4,30.766666666666666,33.3,32.7,31.566666666666666,34.1,30.966666666666665,30.266666666666666,31.74
23,24,31.533333333333335,29.533333333333335,31.8,30.533333333333335,33.0,32.3,31.533333333333335,34.03333333333333,30.866666666666667,30.166666666666668,31.53
24,25,31.233333333333334,29.466666666666665,31.6,30.3,32.96666666666667,31.833333333333332,31.333333333333332,33.93333333333333,30.5,30.0,31.31666666666667
25,26,31.1,29.333333333333332,31.366666666666667,30.3,32.9,31.3,31.233333333333334,33.733333333333334,30.5,29.766666666666666,31.153333333333336
26,27,30.866666666666667,28.966666666666665,31.1,29.966666666666665,32.733333333333334,31.3,31.1,33.46666666666667,30.433333333333334,29.733333333333334,30.96666666666667
27,28,30.733333333333334,28.733333333333334,31.1,29.766666666666666,32.46666666666667,30.633333333333333,30.966666666666665,33.3,30.366666666666667,29.5,30.756666666666668
28,29,30.2,28.3,30.766666666666666,29.333333333333332,32.36666666666667,30.233333333333334,30.866666666666667,33.3,30.366666666666667,29.233333333333334,30.49666666666667
29,30,29.9,28.3,30.266666666666666,29.1,32.233333333333334,30.233333333333334,30.733333333333334,33.1,30.366666666666667,29.166666666666668,30.340000000000003
30,31,29.733333333333334,28.3,30.133333333333333,29.033333333333335,31.966666666666665,30.233333333333334,30.566666666666666,33.0,30.166666666666668,29.0,30.21333333333333
31,32,29.066666666666666,28.3,30.133333333333333,28.9,31.933333333333334,29.433333333333334,30.533333333333335,33.0,29.933333333333334,29.0,30.023333333333333
32,33,28.866666666666667,28.066666666666666,30.133333333333333,28.8,31.8,29.366666666666667,30.466666666666665,32.86666666666667,29.866666666666667,28.466666666666665,29.869999999999997
33,34,28.866666666666667,28.066666666666666,29.766666666666666,28.566666666666666,31.7,29.366666666666667,30.4,32.666666666666664,29.866666666666667,28.333333333333332,29.759999999999998
34,35,28.866666666666667,27.7,29.466666666666665,28.566666666666666,31.533333333333335,29.066666666666666,30.4,32.666666666666664,29.866666666666667,28.033333333333335,29.616666666666667
35,36,28.766666666666666,27.5,28.633333333333333,28.466666666666665,31.5,28.833333333333332,30.333333333333332,32.53333333333333,29.766666666666666,27.6,29.393333333333338
36,37,28.666666666666668,27.466666666666665,28.566666666666666,28.433333333333334,31.366666666666667,28.633333333333333,30.333333333333332,32.46666666666667,29.5,27.433333333333334,29.28666666666667
37,38,28.666666666666668,27.233333333333334,28.566666666666666,28.366666666666667,31.366666666666667,28.566666666666666,30.166666666666668,32.4,29.5,27.3,29.21333333333334
38,39,28.533333333333335,27.066666666666666,28.4,28.1,31.266666666666666,28.5,30.166666666666668,32.36666666666667,29.433333333333334,27.3,29.113333333333333
39,40,28.433333333333334,26.9,28.233333333333334,28.066666666666666,31.266666666666666,28.433333333333334,30.133333333333333,32.36666666666667,29.433333333333334,27.066666666666666,29.03333333333333
40,41,28.2,26.9,27.966666666666665,28.066666666666666,31.233333333333334,28.433333333333334,30.133333333333333,32.266666666666666,29.2,27.033333333333335,28.943333333333335
