,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,60.0,55.53333333333333,65.53333333333333,50.53333333333333,54.4,48.0,51.4,52.43333333333333,59.1,66.96666666666667,56.39
1,2,71.63333333333334,88.13333333333334,104.36666666666666,68.76666666666667,62.166666666666664,55.0,52.43333333333333,62.63333333333333,66.53333333333333,78.7,71.03666666666666
2,3,86.96666666666667,134.86666666666667,142.0,91.4,103.53333333333333,64.1,70.3,72.3,113.73333333333333,97.06666666666666,97.62666666666667
3,4,127.36666666666666,185.43333333333334,164.2,106.9,114.4,71.2,89.73333333333333,69.03333333333333,155.96666666666667,111.1,119.53333333333333
4,5,147.53333333333333,225.43333333333334,199.23333333333332,134.13333333333333,137.33333333333334,91.46666666666667,127.73333333333333,97.56666666666666,173.16666666666666,158.86666666666667,149.24666666666667
5,6,135.2,251.7,261.96666666666664,140.4,172.16666666666666,96.36666666666666,161.43333333333334,115.76666666666667,230.86666666666667,238.53333333333333,180.43999999999997
6,7,166.0,294.76666666666665,292.1333333333333,166.76666666666668,252.5,146.76666666666668,150.66666666666666,126.66666666666667,275.1666666666667,289.73333333333335,216.1166666666667
7,8,167.53333333333333,301.3333333333333,326.56666666666666,192.8,322.8,194.3,184.5,141.53333333333333,320.46666666666664,351.2,250.30333333333328
8,9,195.13333333333333,301.3333333333333,356.03333333333336,192.4,316.23333333333335,231.76666666666668,219.63333333333333,157.43333333333334,339.06666666666666,389.73333333333335,269.87666666666667
9,10,224.26666666666668,307.43333333333334,379.76666666666665,202.7,367.1333333333333,261.73333333333335,291.06666666666666,181.33333333333334,356.56666666666666,427.6333333333333,299.9633333333333
10,11,255.96666666666667,305.0,393.8666666666667,221.16666666666666,392.76666666666665,249.8,312.53333333333336,199.36666666666667,350.3333333333333,471.03333333333336,315.18333333333334
11,12,263.96666666666664,318.1333333333333,410.76666666666665,227.6,425.4,287.2,330.46666666666664,219.2,376.46666666666664,462.1,332.12999999999994
12,13,277.3,328.8,399.03333333333336,231.7,470.26666666666665,316.53333333333336,345.9,227.63333333333333,373.3333333333333,477.56666666666666,344.8066666666667
13,14,294.1333333333333,329.3666666666667,397.73333333333335,238.1,497.73333333333335,316.03333333333336,385.4,243.6,392.6,491.3333333333333,358.60333333333335
14,15,311.1666666666667,354.1,401.73333333333335,246.16666666666666,511.96666666666664,337.8333333333333,414.3333333333333,270.23333333333335,389.0,502.53333333333336,373.9066666666667
15,16,322.96666666666664,365.56666666666666,409.26666666666665,252.63333333333333,532.6,372.2,444.7,263.73333333333335,379.2,507.46666666666664,385.03333333333325
16,17,317.26666666666665,368.5,410.1666666666667,261.56666666666666,552.9333333333333,393.73333333333335,451.53333333333336,264.53333333333336,373.96666666666664,518.2333333333333,391.24333333333334
17,18,339.23333333333335,378.0,390.3333333333333,270.0,581.9666666666667,407.96666666666664,447.43333333333334,290.3666666666667,381.6333333333333,523.5666666666667,401.05
18,19,346.2,377.03333333333336,395.73333333333335,276.43333333333334,565.9,421.0,452.3,305.7,387.3333333333333,534.5333333333333,406.2166666666667
19,20,347.8333333333333,384.3666666666667,376.96666666666664,285.3333333333333,583.4333333333333,436.26666666666665,465.46666666666664,327.53333333333336,390.43333333333334,543.1,414.0733333333334
20,21,343.3,378.2,385.1,295.96666666666664,594.7333333333333,453.46666666666664,464.03333333333336,342.53333333333336,413.8,530.9666666666667,420.21000000000004
21,22,360.8,388.06666666666666,377.46666666666664,309.96666666666664,590.4333333333333,453.96666666666664,459.06666666666666,354.7,425.6333333333333,528.4333333333333,424.8533333333333
22,23,363.46666666666664,397.46666666666664,377.56666666666666,324.8666666666667,593.1,458.26666666666665,452.26666666666665,354.9,415.8333333333333,532.5,427.02333333333337
23,24,371.8333333333333,404.46666666666664,390.8666666666667,343.7,576.6666666666666,454.5,476.5,348.7,423.56666666666666,537.3333333333334,432.81333333333333
24,25,382.1333333333333,423.26666666666665,398.1,345.6333333333333,572.5666666666667,463.76666666666665,477.1666666666667,357.1333333333333,418.8666666666667,539.9666666666667,437.85999999999996
25,26,397.7,435.1333333333333,398.43333333333334,347.26666666666665,567.8333333333334,478.3,475.3333333333333,370.7,410.43333333333334,543.9333333333333,442.50666666666666
26,27,420.3,441.8333333333333,390.93333333333334,360.8333333333333,575.9,476.56666666666666,480.1333333333333,369.6333333333333,438.1666666666667,546.0333333333333,450.0333333333332
27,28,439.2,431.2,411.8,384.76666666666665,574.4333333333333,477.23333333333335,485.3666666666667,373.3666666666667,445.8333333333333,546.7333333333333,456.99333333333334
28,29,457.26666666666665,430.6,440.1666666666667,391.23333333333335,571.6666666666666,475.46666666666664,490.6333333333333,385.26666666666665,446.1666666666667,547.2333333333333,463.57
29,30,456.2,439.1666666666667,473.3666666666667,396.0,562.5333333333333,483.0,499.93333333333334,363.3,454.96666666666664,544.9666666666667,467.34333333333325
30,31,463.53333333333336,441.6666666666667,463.73333333333335,415.96666666666664,565.3666666666667,485.1,512.1,379.73333333333335,464.9,546.6333333333333,473.8733333333333
31,32,481.8666666666667,444.1,473.3,408.9,562.3,488.8333333333333,507.9,387.23333333333335,485.26666666666665,547.9666666666667,478.7666666666666
