,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,46.333333333333336,47.9,48.3,43.766666666666666,44.233333333333334,46.7,46.1,45.8,45.9,49.86666666666667,46.49
1,2,43.666666666666664,45.43333333333333,47.733333333333334,47.13333333333333,44.4,42.0,42.8,42.6,43.46666666666667,51.13333333333333,45.03666666666667
2,3,42.733333333333334,45.93333333333333,47.2,39.666666666666664,44.4,40.93333333333333,44.93333333333333,43.5,39.5,43.833333333333336,43.263333333333335
3,4,42.93333333333333,41.7,46.266666666666666,38.53333333333333,43.5,36.5,39.666666666666664,40.766666666666666,38.166666666666664,43.3,41.13333333333333
4,5,39.46666666666667,39.3,40.766666666666666,34.333333333333336,39.9,33.7,44.266666666666666,40.7,38.3,40.03333333333333,39.07666666666667
5,6,40.13333333333333,37.233333333333334,40.06666666666667,33.03333333333333,38.93333333333333,30.4,39.166666666666664,37.46666666666667,38.96666666666667,36.93333333333333,37.23333333333334
6,7,49.333333333333336,38.1,37.93333333333333,39.36666666666667,40.13333333333333,29.6,42.833333333333336,39.733333333333334,34.03333333333333,38.3,38.936666666666675
7,8,36.333333333333336,38.13333333333333,35.56666666666667,35.1,39.9,34.06666666666667,39.13333333333333,41.266666666666666,33.266666666666666,38.833333333333336,37.16
8,9,36.9,38.733333333333334,32.7,31.3,38.166666666666664,28.6,33.63333333333333,39.63333333333333,33.733333333333334,40.333333333333336,35.37333333333333
9,10,35.733333333333334,35.13333333333333,32.233333333333334,32.46666666666667,38.9,29.866666666666667,33.733333333333334,39.36666666666667,33.56666666666667,38.93333333333333,34.99333333333333
10,11,34.63333333333333,33.5,31.2,30.2,37.4,27.033333333333335,43.56666666666667,38.6,39.733333333333334,33.833333333333336,34.97
11,12,44.7,34.1,31.1,33.4,37.266666666666666,29.133333333333333,37.166666666666664,42.63333333333333,37.4,34.03333333333333,36.09333333333333
12,13,30.833333333333332,31.566666666666666,31.1,30.2,38.8,45.03333333333333,33.56666666666667,39.0,34.36666666666667,33.0,34.74666666666667
13,14,28.3,32.5,31.6,30.2,38.666666666666664,30.533333333333335,33.333333333333336,47.8,32.13333333333333,34.166666666666664,33.92333333333333
14,15,28.266666666666666,30.6,30.966666666666665,37.93333333333333,36.833333333333336,27.733333333333334,32.666666666666664,45.93333333333333,32.7,33.46666666666667,33.709999999999994
15,16,26.5,30.066666666666666,46.53333333333333,30.3,42.1,28.333333333333332,34.9,42.56666666666667,30.733333333333334,33.333333333333336,34.53666666666667
16,17,25.0,29.433333333333334,32.36666666666667,37.166666666666664,39.96666666666667,30.333333333333332,36.833333333333336,42.96666666666667,32.2,33.43333333333333,33.970000000000006
17,18,24.2,29.2,31.133333333333333,32.96666666666667,39.766666666666666,28.966666666666665,33.43333333333333,39.7,30.266666666666666,37.06666666666667,32.67
18,19,23.633333333333333,30.566666666666666,30.866666666666667,30.0,52.9,34.8,31.2,36.733333333333334,29.1,33.8,33.36
19,20,25.1,32.1,38.3,39.733333333333334,48.8,36.166666666666664,34.7,36.06666666666667,28.633333333333333,33.2,35.28
20,21,23.233333333333334,33.4,30.633333333333333,43.233333333333334,38.233333333333334,29.866666666666667,34.13333333333333,35.06666666666667,29.5,41.666666666666664,33.89666666666667
21,22,34.833333333333336,34.5,39.86666666666667,44.46666666666667,36.1,29.3,36.0,36.86666666666667,29.466666666666665,43.166666666666664,36.45666666666666
22,23,32.9,40.36666666666667,31.4,30.0,44.7,29.3,35.833333333333336,43.6,28.533333333333335,36.56666666666667,35.32000000000001
23,24,33.46666666666667,32.3,30.566666666666666,33.96666666666667,40.4,30.4,31.0,36.7,32.166666666666664,34.43333333333333,33.540000000000006
24,25,29.1,31.733333333333334,30.566666666666666,32.0,48.0,29.733333333333334,31.0,35.13333333333333,29.033333333333335,33.2,32.95
25,26,23.0,33.1,30.333333333333332,36.96666666666667,43.266666666666666,28.633333333333333,33.5,35.0,28.933333333333334,33.0,32.57333333333334
26,27,33.266666666666666,31.0,32.36666666666667,33.56666666666667,42.5,26.533333333333335,36.733333333333334,40.56666666666667,39.7,34.43333333333333,35.06666666666666
27,28,31.466666666666665,35.266666666666666,31.9,32.9,46.93333333333333,26.166666666666668,36.0,37.53333333333333,30.933333333333334,40.266666666666666,34.93666666666666
28,29,30.933333333333334,29.9,35.56666666666667,30.0,43.5,26.833333333333332,33.03333333333333,38.4,33.7,37.46666666666667,33.93333333333334
29,30,31.066666666666666,30.8,31.3,30.0,38.733333333333334,31.666666666666668,31.0,38.166666666666664,28.633333333333333,36.1,32.74666666666667
30,31,30.466666666666665,29.7,33.7,30.466666666666665,36.13333333333333,27.9,33.4,37.13333333333333,28.166666666666668,39.06666666666667,32.61333333333334
31,32,31.633333333333333,31.566666666666666,30.0,33.4,36.53333333333333,26.0,32.03333333333333,37.733333333333334,29.3,33.46666666666667,32.166666666666664
32,33,25.733333333333334,29.366666666666667,30.0,36.266666666666666,36.833333333333336,26.0,31.366666666666667,44.93333333333333,29.133333333333333,36.13333333333333,32.57666666666667
33,34,31.733333333333334,29.833333333333332,30.666666666666668,39.666666666666664,51.53333333333333,26.0,36.1,46.03333333333333,30.733333333333334,34.833333333333336,35.71333333333333
34,35,36.2,29.1,33.3,31.5,40.9,27.433333333333334,32.666666666666664,38.03333333333333,28.0,35.0,33.21333333333333
35,36,27.533333333333335,30.266666666666666,37.63333333333333,45.43333333333333,36.0,30.633333333333333,36.7,37.5,28.0,35.2,34.489999999999995
36,37,31.1,30.866666666666667,45.13333333333333,34.0,36.13333333333333,26.166666666666668,32.93333333333333,36.13333333333333,28.0,35.266666666666666,33.57333333333333
37,38,28.9,31.666666666666668,30.866666666666667,40.1,37.13333333333333,29.1,32.06666666666667,36.766666666666666,28.466666666666665,34.266666666666666,32.93333333333332
38,39,30.6,31.033333333333335,30.0,40.233333333333334,37.7,26.0,31.4,43.06666666666667,28.0,34.1,33.21333333333334
39,40,29.933333333333334,30.266666666666666,30.4,32.9,52.93333333333333,26.0,33.8,44.93333333333333,31.0,33.43333333333333,34.56
40,41,23.6,30.233333333333334,34.36666666666667,38.6,43.733333333333334,27.533333333333335,34.53333333333333,36.86666666666667,33.766666666666666,35.1,33.833333333333336
41,42,30.4,29.433333333333334,31.966666666666665,30.0,36.266666666666666,32.13333333333333,31.0,36.56666666666667,28.766666666666666,33.46666666666667,32.0
42,43,24.033333333333335,29.366666666666667,31.633333333333333,41.6,51.36666666666667,29.266666666666666,32.266666666666666,42.666666666666664,28.933333333333334,38.96666666666667,35.010000000000005
43,44,23.8,30.666666666666668,41.46666666666667,30.433333333333334,36.0,28.133333333333333,35.53333333333333,49.7,28.0,40.666666666666664,34.440000000000005
44,45,23.0,29.466666666666665,38.233333333333334,40.86666666666667,36.0,28.333333333333332,31.766666666666666,44.43333333333333,28.233333333333334,35.266666666666666,33.56
45,46,23.0,33.63333333333333,36.0,43.9,37.4,28.5,31.766666666666666,40.0,28.233333333333334,33.9,33.63333333333333
46,47,23.0,28.866666666666667,38.06666666666667,39.233333333333334,36.46666666666667,27.866666666666667,35.1,42.93333333333333,28.0,33.0,33.25333333333334
47,48,23.0,28.233333333333334,30.333333333333332,41.43333333333333,40.93333333333333,36.333333333333336,33.0,40.86666666666667,28.0,33.53333333333333,33.56666666666666
