,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,54.93333333333333,60.53333333333333,55.06666666666667,56.43333333333333,52.6,53.06666666666667,59.0,56.43333333333333,47.2,53.733333333333334,54.9
1,2,59.46666666666667,83.33333333333333,56.1,57.0,67.0,58.9,60.833333333333336,67.7,67.26666666666667,53.233333333333334,63.08333333333333
2,3,72.36666666666666,97.66666666666667,69.53333333333333,82.13333333333334,69.86666666666666,77.93333333333334,63.96666666666667,85.43333333333334,76.53333333333333,61.86666666666667,75.73
3,4,75.63333333333334,120.0,80.0,112.46666666666667,79.33333333333333,71.3,72.03333333333333,103.7,91.8,92.23333333333333,89.85
4,5,83.2,113.2,99.8,108.3,98.7,75.56666666666666,78.43333333333334,105.93333333333334,91.36666666666666,102.93333333333334,95.74333333333334
5,6,84.86666666666666,136.13333333333333,103.06666666666666,116.23333333333333,112.2,78.16666666666667,95.2,122.26666666666667,99.76666666666667,106.03333333333333,105.39333333333335
6,7,107.9,155.73333333333332,126.2,121.46666666666667,125.83333333333333,92.66666666666667,99.96666666666667,141.46666666666667,101.06666666666666,102.53333333333333,117.48333333333332
7,8,120.73333333333333,182.13333333333333,135.4,123.26666666666667,125.76666666666667,105.06666666666666,121.46666666666667,142.56666666666666,110.5,133.2,130.01
8,9,111.63333333333334,197.33333333333334,146.0,131.23333333333332,131.66666666666666,108.4,117.26666666666667,158.3,129.4,164.1,139.53333333333333
9,10,106.03333333333333,215.8,173.0,139.96666666666667,175.36666666666667,118.8,118.83333333333333,165.86666666666667,132.3,204.66666666666666,155.06333333333333
10,11,133.16666666666666,216.3,179.63333333333333,147.83333333333334,168.93333333333334,145.16666666666666,139.9,174.83333333333334,139.63333333333333,229.2,167.46
11,12,145.8,241.56666666666666,177.23333333333332,138.63333333333333,160.4,159.2,156.93333333333334,176.93333333333334,143.7,250.26666666666668,175.06666666666666
12,13,163.23333333333332,235.96666666666667,181.7,139.03333333333333,170.4,183.93333333333334,159.76666666666668,187.03333333333333,179.06666666666666,261.93333333333334,186.20666666666665
13,14,178.0,269.46666666666664,208.23333333333332,155.73333333333332,174.2,175.33333333333334,173.9,227.66666666666666,182.7,273.7,201.89333333333335
14,15,173.8,321.73333333333335,218.6,163.6,223.76666666666668,184.0,184.73333333333332,255.96666666666667,185.33333333333334,274.0,218.55333333333334
15,16,165.06666666666666,368.1666666666667,217.6,187.43333333333334,210.46666666666667,197.8,169.3,292.6666666666667,211.03333333333333,287.73333333333335,230.72666666666663
16,17,163.76666666666668,370.3,237.73333333333332,219.43333333333334,221.96666666666667,215.9,189.73333333333332,307.23333333333335,201.5,285.1666666666667,241.2733333333333
17,18,161.03333333333333,363.23333333333335,251.76666666666668,206.86666666666667,196.7,225.83333333333334,173.36666666666667,322.6333333333333,215.63333333333333,284.96666666666664,240.2033333333333
18,19,179.63333333333333,388.6666666666667,273.6,229.0,206.43333333333334,226.33333333333334,171.8,311.1333333333333,212.23333333333332,295.8,249.4633333333333
19,20,202.66666666666666,393.96666666666664,306.6333333333333,227.1,232.93333333333334,244.66666666666666,184.5,303.3,225.6,302.53333333333336,262.39
20,21,194.8,388.73333333333335,307.0,231.16666666666666,296.1,257.0,187.5,320.7,247.7,300.4,273.11
21,22,192.76666666666668,400.53333333333336,310.3333333333333,270.8,270.76666666666665,256.96666666666664,177.7,322.96666666666664,246.36666666666667,301.1333333333333,275.03333333333336
22,23,213.7,404.6666666666667,315.03333333333336,305.3333333333333,304.3666666666667,256.23333333333335,169.73333333333332,316.3333333333333,272.8,309.4,286.76000000000005
23,24,237.43333333333334,417.6333333333333,320.6666666666667,334.56666666666666,314.1333333333333,246.56666666666666,182.8,305.8333333333333,283.96666666666664,327.1,297.07000000000005
24,25,273.6333333333333,422.06666666666666,307.73333333333335,328.96666666666664,329.1666666666667,264.03333333333336,191.83333333333334,314.93333333333334,267.56666666666666,344.1,304.4033333333333
25,26,294.7,435.8333333333333,307.3333333333333,323.46666666666664,338.53333333333336,287.1,213.16666666666666,314.3,275.8,348.73333333333335,313.8966666666667
26,27,312.1333333333333,446.06666666666666,314.46666666666664,338.73333333333335,360.46666666666664,314.6333333333333,213.86666666666667,343.6666666666667,286.23333333333335,345.96666666666664,327.62333333333333
27,28,311.76666666666665,445.93333333333334,314.06666666666666,358.43333333333334,389.8,307.73333333333335,211.8,342.3333333333333,296.93333333333334,359.6666666666667,333.8466666666667
