,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9710,5574.7
1,2,9710,7699.966666666666
2,3,9710,8455.366666666667
3,4,9710,8742.0
4,5,9716,8961.733333333334
5,6,9716,9083.7
6,7,9716,9272.766666666666
7,8,9716,9330.7
8,9,9716,9362.966666666667
9,10,9716,9432.533333333333
10,11,9716,9469.4
11,12,9716,9504.8
12,13,9716,9578.333333333334
13,14,9716,9590.866666666667
14,15,9725,9647.9
15,16,9725,9654.833333333334
16,17,9725,9665.266666666666
17,18,9725,9679.5
18,19,9728,9700.633333333333
19,20,9728,9712.733333333334
20,21,9728,9715.733333333334
21,22,9728,9716.6
22,23,9728,9717.2
23,24,9728,9719.3
24,25,9728,9721.0
25,26,9729,9723.233333333334
26,27,9729,9724.6
27,28,9746,9726.3
28,29,9746,9726.6
29,30,9746,9726.866666666667
30,31,9746,9727.733333333334
31,32,9746,9728.266666666666
32,33,9746,9729.0
33,34,9746,9729.933333333332
34,35,9746,9730.466666666667
35,36,9746,9731.1
36,37,9746,9732.733333333334
37,38,9746,9733.033333333333
38,39,9746,9734.6
39,40,9746,9735.466666666667
40,41,9746,9736.866666666667
41,42,9746,9737.6
42,43,9746,9737.7
43,44,9746,9737.9
44,45,9747,9738.733333333334
45,46,9747,9739.066666666668
46,47,9747,9739.766666666666
47,48,9747,9740.866666666667
48,49,9747,9742.0
49,50,9747,9742.633333333333
50,51,9747,9744.2
51,52,9755,9746.433333333332
52,53,9755,9747.3
53,54,9755,9747.6
54,55,9763,9748.766666666666
55,56,9763,9749.933333333332
56,57,9763,9750.9
57,58,9763,9753.066666666668
58,59,9763,9756.5
59,60,9763,9758.533333333333
60,61,9763,9759.2
61,62,9763,9760.166666666666
62,63,9763,9761.133333333333
63,64,9763,9762.7
64,65,9763,9763.0
65,66,9763,9763.0
66,67,9763,9763.0
67,68,9763,9763.0
68,69,9763,9763.0
69,70,9763,9763.0
70,71,9763,9763.0
71,72,9763,9763.0
72,73,9763,9763.0
73,74,9763,9763.0
74,75,9763,9763.0
75,76,9763,9763.0
76,77,9763,9763.0
77,78,9763,9763.0
78,79,9763,9763.0
79,80,9763,9763.0
80,81,9763,9763.0
81,82,9763,9763.0
82,83,9763,9763.0
83,84,9763,9763.0
84,85,9763,9763.0
85,86,9763,9763.0
86,87,9763,9763.0
87,88,9763,9763.0
88,89,9763,9763.0
89,90,9763,9763.0
90,91,9763,9763.0
91,92,9763,9763.0
92,93,9763,9763.0
93,94,9763,9763.0
94,95,9763,9763.0
95,96,9763,9763.0
96,97,9763,9763.0
97,98,9763,9763.0
98,99,9763,9763.0
99,100,9763,9763.0
