,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9728,4907.9
1,2,9721,5085.433333333333
2,3,9721,6167.633333333333
3,4,9721,6816.866666666667
4,5,9611,6628.266666666666
5,6,9615,6170.5
6,7,9615,6419.3
7,8,9715,6564.266666666666
8,9,9715,6709.733333333334
9,10,9701,7314.966666666666
10,11,9701,7133.4
11,12,9223,7158.5
12,13,9223,7405.6
13,14,9606,7481.433333333333
14,15,9611,7498.666666666667
15,16,9606,7433.733333333334
16,17,9618,7270.033333333334
17,18,9618,7720.066666666667
18,19,9618,7682.833333333333
19,20,9618,7880.333333333333
20,21,9618,7700.166666666667
21,22,9618,7474.3
22,23,9628,7327.533333333334
23,24,9618,7014.033333333334
24,25,9618,7252.966666666666
25,26,9595,6679.933333333333
26,27,9595,6587.966666666666
27,28,9595,6953.933333333333
28,29,9595,7219.6
29,30,9595,7067.2
30,31,9128,7190.066666666667
31,32,9128,7248.833333333333
32,33,9248,7472.466666666666
33,34,9128,7260.733333333334
34,35,9128,7422.8
35,36,9128,7731.433333333333
36,37,9128,7746.533333333334
37,38,9619,7747.1
38,39,9619,7806.733333333334
39,40,9127,7872.533333333334
40,41,9127,7717.4
41,42,9128,7721.966666666666
42,43,9128,7602.7
43,44,9602,7564.133333333333
44,45,9602,7413.133333333333
45,46,9602,7673.066666666667
46,47,9602,7715.3
47,48,9602,7407.766666666666
48,49,9600,7072.9
49,50,9609,7843.866666666667
50,51,9609,7919.1
51,52,9609,7938.633333333333
52,53,9609,7902.533333333334
53,54,9609,8099.033333333334
54,55,9609,8164.333333333333
55,56,9609,8343.0
56,57,9611,8104.433333333333
57,58,9611,8218.266666666666
58,59,9611,8105.266666666666
59,60,9613,8268.433333333332
60,61,9620,8301.266666666666
61,62,9620,7996.1
62,63,9611,8169.533333333334
63,64,9610,8332.0
64,65,9610,7821.566666666667
65,66,9610,7756.533333333334
66,67,9610,7399.733333333334
67,68,9609,7594.666666666667
68,69,9601,7849.633333333333
69,70,9601,7708.866666666667
70,71,9601,7723.533333333334
71,72,9601,7852.466666666666
72,73,9601,7852.066666666667
73,74,9600,7368.466666666666
74,75,9603,7478.866666666667
75,76,9603,7382.266666666666
76,77,9603,7449.433333333333
77,78,9603,7687.2
78,79,9603,7763.4
79,80,9603,7711.7
80,81,9603,7679.4
81,82,9603,7536.766666666666
82,83,9603,7482.0
83,84,9603,7480.4
84,85,9603,7361.466666666666
85,86,9603,6956.466666666666
86,87,9603,7303.4
87,88,9603,7466.2
88,89,9603,7708.9
89,90,9603,7531.033333333334
90,91,9603,7438.833333333333
91,92,9603,7435.6
92,93,9603,7634.233333333334
93,94,9603,7795.266666666666
94,95,9603,7910.833333333333
95,96,9603,7992.5
96,97,9618,8082.0
97,98,9618,7741.4
98,99,9618,7619.766666666666
99,100,9618,7394.2
