,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9728,7393.5
1,2,9728,8551.8
2,3,9728,8848.7
3,4,9728,8974.966666666667
4,5,9728,9089.166666666666
5,6,9728,9254.733333333334
6,7,9728,9315.966666666667
7,8,9728,9332.366666666667
8,9,9728,9348.266666666666
9,10,9728,9401.4
10,11,9728,9420.1
11,12,9728,9420.1
12,13,9728,9435.766666666666
13,14,9728,9473.933333333332
14,15,9728,9508.566666666668
15,16,9728,9562.433333333332
16,17,9728,9586.9
17,18,9728,9612.433333333332
18,19,9728,9613.033333333333
19,20,9728,9613.933333333332
20,21,9728,9614.066666666668
21,22,9728,9615.933333333332
22,23,9728,9615.933333333332
23,24,9728,9616.8
24,25,9728,9618.6
25,26,9728,9620.8
26,27,9728,9620.8
27,28,9728,9622.4
28,29,9728,9627.6
29,30,9728,9635.433333333332
30,31,9728,9647.566666666668
31,32,9728,9651.733333333334
32,33,9728,9655.5
33,34,9728,9659.966666666667
34,35,9728,9660.4
35,36,9728,9668.5
36,37,9728,9686.7
37,38,9728,9696.7
38,39,9728,9707.033333333333
39,40,9728,9719.333333333334
40,41,9728,9721.633333333333
41,42,9728,9722.833333333334
42,43,9728,9723.5
43,44,9728,9724.2
44,45,9739,9725.533333333333
45,46,9739,9727.133333333333
46,47,9739,9727.5
47,48,9739,9727.9
48,49,9739,9728.566666666668
49,50,9739,9728.766666666666
50,51,9745,9729.333333333334
51,52,9745,9729.433333333332
52,53,9745,9730.4
53,54,9745,9730.633333333333
54,55,9745,9731.0
55,56,9745,9731.366666666667
56,57,9745,9731.366666666667
57,58,9745,9731.733333333334
58,59,9745,9731.733333333334
59,60,9745,9732.3
60,61,9745,9732.3
61,62,9745,9732.3
62,63,9745,9732.433333333332
63,64,9746,9733.6
64,65,9746,9735.266666666666
65,66,9746,9737.133333333333
66,67,9746,9739.233333333334
67,68,9746,9739.233333333334
68,69,9746,9740.833333333334
69,70,9746,9741.5
70,71,9746,9741.966666666667
71,72,9746,9742.4
72,73,9746,9742.8
73,74,9746,9743.066666666668
74,75,9746,9744.5
75,76,9746,9745.3
76,77,9747,9745.566666666668
77,78,9747,9745.766666666666
78,79,9747,9745.9
79,80,9747,9746.066666666668
80,81,9747,9746.066666666668
81,82,9749,9746.266666666666
82,83,9749,9746.366666666667
83,84,9749,9746.366666666667
84,85,9749,9746.433333333332
85,86,9749,9746.766666666666
86,87,9749,9746.966666666667
87,88,9749,9747.3
88,89,9753,9747.8
89,90,9753,9748.133333333333
90,91,9753,9748.6
91,92,9753,9748.866666666667
92,93,9753,9749.233333333334
93,94,9753,9749.5
94,95,9753,9749.666666666666
95,96,9753,9749.833333333334
96,97,9753,9749.966666666667
97,98,9753,9750.166666666666
98,99,9754,9750.8
99,100,9754,9751.133333333333
