,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9743,7938.966666666666
1,2,9743,8872.6
2,3,9743,9488.433333333332
3,4,9743,9605.733333333334
4,5,9743,9685.633333333333
5,6,9743,9699.466666666667
6,7,9743,9272.0
7,8,9743,9357.9
8,9,9743,9739.266666666666
9,10,9751,9743.266666666666
10,11,9751,9743.8
11,12,9751,9744.6
12,13,9751,9746.2
13,14,9751,9729.466666666667
14,15,9751,9750.733333333334
15,16,9751,9751.0
16,17,9751,9751.0
17,18,9751,9751.0
18,19,9751,9751.0
19,20,9751,9751.0
20,21,9751,9751.0
21,22,9751,9751.0
22,23,9751,9751.0
23,24,9751,9750.733333333334
24,25,9754,9751.4
25,26,9754,9751.8
26,27,9754,9752.366666666667
27,28,9754,9753.066666666668
28,29,9754,9412.233333333334
29,30,9754,9754.0
30,31,9754,9754.0
31,32,9754,9754.0
32,33,9756,9754.066666666668
33,34,9754,9754.0
34,35,9754,9754.0
35,36,9754,9754.0
36,37,9754,9754.0
37,38,9754,9754.0
38,39,9754,9754.0
39,40,9754,9754.0
40,41,9754,9754.0
41,42,9754,9754.0
42,43,9754,9754.0
43,44,9758,9755.2
44,45,9758,9431.133333333333
45,46,9758,9413.6
46,47,9758,9740.4
47,48,9758,9741.433333333332
48,49,9758,9757.8
49,50,9758,9758.0
50,51,9758,9758.0
51,52,9758,9758.0
52,53,9758,9758.0
53,54,9758,9758.0
54,55,9758,9758.0
55,56,9758,9758.0
56,57,9758,9758.0
57,58,9760,9758.133333333333
58,59,9760,9758.2
59,60,9760,9758.4
60,61,9760,9758.666666666666
61,62,9760,9758.733333333334
62,63,9760,9759.333333333334
63,64,9760,9759.866666666667
64,65,9760,9760.0
65,66,9760,9760.0
66,67,9760,9760.0
67,68,9760,9743.466666666667
68,69,9760,9760.0
69,70,9760,9760.0
70,71,9760,9760.0
71,72,9760,9760.0
72,73,9760,9760.0
73,74,9760,9760.0
74,75,9760,9759.366666666667
75,76,9760,9760.0
76,77,9760,9760.0
77,78,9760,9760.0
78,79,9760,9760.0
79,80,9760,9760.0
80,81,9760,9760.0
81,82,9760,9760.0
82,83,9760,9760.0
83,84,9760,9760.0
84,85,9760,9759.833333333334
85,86,9760,9759.9
86,87,9760,9760.0
87,88,9760,9759.8
88,89,9760,9759.466666666667
89,90,9760,9759.533333333333
90,91,9760,9760.0
91,92,9760,9760.0
92,93,9760,9755.5
93,94,9760,9434.466666666667
94,95,9760,9759.8
95,96,9760,9760.0
96,97,9760,9760.0
97,98,9760,9759.866666666667
98,99,9760,9760.0
99,100,9760,9759.533333333333
