,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9691,3967.866666666667
1,2,9619,3826.9333333333334
2,3,9624,4342.366666666667
3,4,9624,3781.366666666667
4,5,9616,2993.1666666666665
5,6,9616,3265.0
6,7,9616,4100.766666666666
7,8,9701,4043.4333333333334
8,9,9701,3561.1
9,10,9111,3289.233333333333
10,11,9111,2721.866666666667
11,12,9734,3996.1
12,13,9734,3751.5666666666666
13,14,9734,3444.633333333333
14,15,9684,3938.9333333333334
15,16,9684,3955.3
16,17,9684,4763.533333333334
17,18,9583,3696.1666666666665
18,19,9583,3710.366666666667
19,20,9583,2804.2
20,21,9583,2573.3333333333335
21,22,9605,1736.2
22,23,9605,1704.4666666666667
23,24,9605,1412.9333333333334
24,25,9605,1169.9666666666667
25,26,9688,1189.5333333333333
26,27,9716,1225.7666666666667
27,28,9720,1856.4
28,29,9720,1892.3333333333333
29,30,9720,1860.7666666666667
30,31,9720,2504.7
31,32,9720,2180.8333333333335
32,33,9700,2115.4
33,34,9700,1562.7333333333333
34,35,9700,1578.9333333333334
35,36,9700,1567.0666666666666
36,37,9700,1578.5
37,38,9700,1898.4333333333334
38,39,9700,1898.4333333333334
39,40,9700,1877.6
40,41,9700,1877.6
41,42,9700,1856.6
42,43,9700,2131.3333333333335
43,44,9700,2421.9333333333334
44,45,9700,2102.233333333333
45,46,9700,2101.8
46,47,9715,2749.0666666666666
47,48,9715,2425.733333333333
48,49,9715,2109.5333333333333
49,50,9715,2076.9
50,51,9715,1789.9333333333334
51,52,9715,2420.733333333333
52,53,9715,2679.233333333333
53,54,9702,2351.5666666666666
54,55,9587,2381.233333333333
55,56,9587,2090.766666666667
56,57,9587,2090.5666666666666
57,58,9587,1787.0666666666666
58,59,9105,881.5
59,60,8609,286.96666666666664
60,61,8609,492.96666666666664
61,62,9700,323.3333333333333
62,63,9700,323.3333333333333
63,64,9700,323.3333333333333
64,65,9700,323.3333333333333
65,66,0,0.0
66,67,0,0.0
67,68,8135,271.1666666666667
68,69,8135,271.1666666666667
69,70,9585,590.6666666666666
70,71,9585,319.5
71,72,9585,319.5
72,73,9607,639.7333333333333
73,74,9607,623.8666666666667
74,75,9603,623.7333333333333
75,76,9603,320.1
76,77,9603,320.1
77,78,9603,320.1
78,79,9606,928.0333333333333
79,80,9603,607.8333333333334
80,81,9603,320.1
81,82,0,0.0
82,83,9587,319.56666666666666
83,84,9587,319.56666666666666
84,85,9587,319.56666666666666
85,86,8625,287.5
86,87,0,0.0
87,88,0,0.0
88,89,0,0.0
89,90,9587,319.56666666666666
90,91,0,0.0
91,92,0,0.0
92,93,0,0.0
93,94,0,0.0
94,95,0,0.0
95,96,0,0.0
96,97,0,0.0
97,98,0,0.0
98,99,0,0.0
99,100,0,0.0
