,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9714,5763.0
1,2,9737,6586.533333333334
2,3,9737,7911.8
3,4,9737,8470.766666666666
4,5,9737,8896.3
5,6,9737,9050.1
6,7,9737,9177.933333333332
7,8,9737,9290.4
8,9,9737,9362.033333333333
9,10,9737,9409.866666666667
10,11,9737,9447.766666666666
11,12,9737,9448.733333333334
12,13,9737,9448.733333333334
13,14,9737,9464.4
14,15,9737,9481.666666666666
15,16,9755,9500.433333333332
16,17,9755,9500.733333333334
17,18,9755,9533.833333333334
18,19,9755,9563.533333333333
19,20,9755,9652.833333333334
20,21,9755,9699.4
21,22,9755,9715.0
22,23,9755,9717.4
23,24,9755,9718.766666666666
24,25,9755,9725.633333333333
25,26,9755,9726.733333333334
26,27,9755,9729.6
27,28,9755,9730.8
28,29,9755,9732.266666666666
29,30,9755,9733.766666666666
30,31,9755,9736.6
31,32,9755,9736.6
32,33,9755,9738.033333333333
33,34,9755,9738.833333333334
34,35,9755,9739.166666666666
35,36,9755,9740.733333333334
36,37,9755,9741.866666666667
37,38,9755,9741.866666666667
38,39,9755,9741.866666666667
39,40,9755,9742.3
40,41,9755,9744.266666666666
41,42,9755,9744.933333333332
42,43,9755,9745.366666666667
43,44,9755,9745.766666666666
44,45,9755,9746.033333333333
45,46,9760,9747.466666666667
46,47,9760,9747.466666666667
47,48,9760,9748.2
48,49,9760,9748.933333333332
49,50,9760,9750.1
50,51,9760,9751.2
51,52,9760,9752.366666666667
52,53,9760,9752.933333333332
53,54,9760,9754.133333333333
54,55,9760,9755.266666666666
55,56,9760,9755.333333333334
56,57,9760,9755.5
57,58,9760,9756.0
58,59,9760,9756.2
59,60,9760,9756.4
60,61,9760,9756.4
61,62,9760,9756.9
62,63,9760,9757.7
63,64,9760,9758.566666666668
64,65,9760,9759.266666666666
65,66,9760,9760.0
66,67,9760,9760.0
67,68,9760,9760.0
68,69,9760,9760.0
69,70,9760,9760.0
70,71,9760,9760.0
71,72,9760,9760.0
72,73,9760,9760.0
73,74,9760,9760.0
74,75,9760,9760.0
75,76,9760,9760.0
76,77,9760,9760.0
77,78,9760,9760.0
78,79,9760,9760.0
79,80,9760,9760.0
80,81,9760,9760.0
81,82,9760,9760.0
82,83,9760,9760.0
83,84,9760,9760.0
84,85,9762,9760.066666666668
85,86,9762,9760.066666666668
86,87,9762,9760.066666666668
87,88,9762,9760.133333333333
88,89,9762,9760.133333333333
89,90,9762,9760.2
90,91,9762,9760.2
91,92,9762,9760.266666666666
92,93,9762,9760.333333333334
93,94,9762,9760.533333333333
94,95,9764,9760.8
95,96,9764,9760.866666666667
96,97,9764,9760.933333333332
97,98,9764,9761.466666666667
98,99,9764,9761.733333333334
99,100,9764,9762.066666666668
