,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,9734,6409.566666666667
1,2,9734,9180.266666666666
2,3,9744,9647.233333333334
3,4,9744,9738.8
4,5,9744,9741.7
5,6,9744,9743.866666666667
6,7,9759,9748.0
7,8,9759,9752.0
8,9,9759,9756.5
9,10,9759,9759.0
10,11,9759,9759.0
11,12,9759,9759.0
12,13,9759,9759.0
13,14,9759,9759.0
14,15,9760,9759.066666666668
15,16,9760,9759.333333333334
16,17,9760,9759.666666666666
17,18,9762,9759.966666666667
18,19,9762,9760.6
19,20,9762,9761.2
20,21,9762,9761.866666666667
21,22,9762,9762.0
22,23,9762,9762.0
23,24,9762,9762.0
24,25,9762,9762.0
25,26,9762,9762.0
26,27,9762,9762.0
27,28,9762,9762.0
28,29,9762,9762.0
29,30,9762,9762.0
30,31,9762,9762.0
31,32,9762,9762.0
32,33,9762,9762.0
33,34,9762,9762.0
34,35,9762,9762.0
35,36,9762,9762.0
36,37,9762,9762.0
37,38,9762,9762.0
38,39,9762,9762.0
39,40,9762,9762.0
40,41,9762,9762.0
41,42,9762,9762.0
42,43,9762,9762.0
43,44,9762,9762.0
44,45,9762,9762.0
45,46,9762,9762.0
46,47,9762,9762.0
47,48,9762,9762.0
48,49,9762,9762.0
49,50,9762,9762.0
50,51,9762,9762.0
51,52,9762,9762.0
52,53,9762,9762.0
53,54,9762,9762.0
54,55,9762,9762.0
55,56,9762,9762.0
56,57,9762,9762.0
57,58,9762,9762.0
58,59,9762,9762.0
59,60,9762,9762.0
60,61,9762,9762.0
61,62,9762,9762.0
62,63,9762,9762.0
63,64,9762,9762.0
64,65,9762,9762.0
65,66,9762,9762.0
66,67,9762,9762.0
67,68,9762,9762.0
68,69,9762,9762.0
69,70,9762,9762.0
70,71,9762,9762.0
71,72,9762,9762.0
72,73,9762,9762.0
73,74,9762,9762.0
74,75,9762,9762.0
75,76,9762,9762.0
76,77,9762,9762.0
77,78,9762,9762.0
78,79,9762,9762.0
79,80,9762,9762.0
80,81,9762,9762.0
81,82,9762,9762.0
82,83,9762,9762.0
83,84,9762,9762.0
84,85,9762,9762.0
85,86,9762,9762.0
86,87,9762,9762.0
87,88,9762,9762.0
88,89,9762,9762.0
89,90,9762,9762.0
90,91,9762,9762.0
91,92,9762,9762.0
92,93,9762,9762.0
93,94,9762,9762.0
94,95,9762,9762.0
95,96,9762,9762.0
96,97,9762,9762.0
97,98,9762,9762.0
98,99,9762,9762.0
99,100,9762,9762.0
