,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9721,9714,9728,9718,9697,9701,9715,9732,9703,9710,9713.9
1,2,9721,9714,9728,9718,9698,9701,9715,9732,9703,9710,9714.0
2,3,9721,9714,9728,9718,9698,9701,9716,9732,9703,9710,9714.1
3,4,9721,9737,9728,9718,9698,9701,9717,9732,9703,9710,9716.5
4,5,9721,9737,9728,9726,9699,9701,9717,9732,9703,9716,9718.0
5,6,9721,9737,9728,9726,9699,9701,9720,9732,9703,9716,9718.3
6,7,9734,9737,9728,9726,9717,9701,9720,9732,9703,9716,9721.4
7,8,9734,9737,9728,9726,9717,9701,9720,9734,9703,9716,9721.6
8,9,9734,9737,9728,9726,9717,9701,9720,9734,9709,9716,9722.2
9,10,9734,9737,9728,9726,9717,9707,9720,9734,9709,9716,9722.8
10,11,9735,9737,9728,9726,9717,9707,9720,9734,9709,9716,9722.9
11,12,9735,9737,9728,9728,9720,9707,9720,9742,9739,9716,9727.2
12,13,9735,9737,9728,9728,9720,9707,9720,9742,9739,9716,9727.2
13,14,9735,9737,9741,9728,9720,9717,9720,9742,9739,9716,9729.5
14,15,9735,9738,9741,9728,9720,9717,9720,9746,9739,9725,9730.9
15,16,9735,9738,9741,9728,9729,9717,9722,9746,9739,9725,9732.0
16,17,9735,9754,9741,9734,9729,9717,9722,9746,9739,9725,9734.2
17,18,9735,9754,9741,9734,9729,9717,9722,9746,9739,9725,9734.2
18,19,9735,9754,9741,9734,9729,9727,9739,9748,9739,9728,9737.4
19,20,9735,9754,9741,9742,9729,9727,9739,9748,9739,9728,9738.2
20,21,9741,9754,9741,9742,9729,9728,9739,9754,9739,9728,9739.5
21,22,9741,9754,9741,9752,9729,9728,9739,9754,9739,9728,9740.5
22,23,9741,9754,9741,9752,9729,9728,9742,9754,9739,9728,9740.8
23,24,9741,9754,9743,9752,9729,9731,9742,9754,9747,9728,9742.1
24,25,9741,9754,9745,9752,9729,9731,9742,9754,9747,9728,9742.3
25,26,9741,9754,9745,9752,9732,9731,9742,9754,9747,9729,9742.7
26,27,9741,9754,9745,9752,9732,9731,9742,9754,9747,9729,9742.7
27,28,9741,9754,9745,9752,9732,9731,9742,9754,9747,9746,9744.4
28,29,9742,9754,9746,9752,9732,9731,9742,9754,9752,9746,9745.1
29,30,9743,9754,9746,9752,9732,9731,9742,9754,9752,9746,9745.2
30,31,9743,9754,9746,9752,9732,9731,9742,9754,9752,9746,9745.2
31,32,9743,9754,9746,9752,9732,9735,9742,9754,9752,9746,9745.6
32,33,9743,9754,9746,9754,9732,9735,9743,9754,9752,9746,9745.9
33,34,9751,9754,9746,9754,9732,9735,9754,9754,9752,9746,9747.8
34,35,9751,9760,9746,9754,9745,9739,9754,9754,9752,9746,9750.1
35,36,9751,9760,9746,9754,9751,9743,9754,9754,9752,9746,9751.1
36,37,9751,9760,9748,9754,9751,9743,9754,9758,9752,9746,9751.7
37,38,9751,9760,9748,9754,9751,9743,9754,9758,9752,9746,9751.7
38,39,9751,9760,9748,9754,9751,9743,9754,9758,9756,9746,9752.1
39,40,9751,9760,9748,9754,9751,9743,9754,9758,9756,9746,9752.1
40,41,9751,9760,9748,9754,9751,9743,9754,9758,9756,9746,9752.1
41,42,9751,9760,9748,9754,9751,9743,9754,9758,9756,9746,9752.1
42,43,9751,9760,9754,9754,9751,9745,9754,9758,9756,9746,9752.9
43,44,9751,9760,9754,9754,9751,9745,9754,9758,9756,9746,9752.9
44,45,9759,9760,9754,9754,9751,9745,9754,9758,9756,9747,9753.8
45,46,9759,9760,9754,9760,9751,9752,9754,9758,9756,9747,9755.1
46,47,9759,9760,9754,9760,9751,9752,9754,9758,9758,9747,9755.3
47,48,9759,9760,9754,9760,9751,9752,9754,9758,9758,9747,9755.3
48,49,9759,9760,9754,9760,9751,9752,9754,9758,9758,9747,9755.3
49,50,9759,9760,9754,9760,9751,9754,9754,9758,9758,9747,9755.5
50,51,9759,9760,9754,9760,9751,9754,9754,9758,9760,9747,9755.7
51,52,9759,9760,9754,9760,9751,9754,9754,9758,9760,9755,9756.5
52,53,9759,9760,9754,9760,9751,9754,9754,9758,9760,9755,9756.5
53,54,9759,9760,9754,9760,9751,9754,9754,9761,9760,9755,9756.8
54,55,9759,9760,9754,9760,9751,9754,9754,9761,9760,9763,9757.6
55,56,9759,9760,9754,9760,9751,9754,9754,9761,9760,9763,9757.6
56,57,9759,9760,9754,9760,9751,9754,9754,9761,9760,9763,9757.6
57,58,9759,9760,9754,9760,9756,9754,9756,9761,9760,9763,9758.3
58,59,9759,9760,9754,9760,9756,9754,9756,9761,9760,9763,9758.3
59,60,9759,9766,9754,9760,9756,9754,9756,9761,9760,9763,9758.9
60,61,9759,9766,9754,9760,9756,9758,9756,9761,9760,9763,9759.3
61,62,9759,9766,9754,9760,9756,9760,9756,9761,9760,9763,9759.5
62,63,9759,9766,9754,9760,9756,9760,9756,9761,9762,9763,9759.7
63,64,9759,9766,9754,9760,9756,9760,9756,9761,9762,9763,9759.7
64,65,9759,9766,9754,9760,9756,9760,9756,9761,9762,9763,9759.7
65,66,9759,9766,9754,9762,9756,9760,9756,9761,9762,9763,9759.9
66,67,9759,9766,9754,9762,9756,9760,9756,9761,9762,9763,9759.9
67,68,9759,9766,9754,9762,9756,9760,9760,9761,9762,9763,9760.3
68,69,9759,9766,9754,9762,9756,9760,9760,9761,9762,9763,9760.3
69,70,9759,9766,9754,9762,9756,9760,9760,9761,9762,9763,9760.3
70,71,9759,9766,9760,9762,9756,9760,9760,9761,9762,9763,9760.9
71,72,9760,9766,9760,9762,9756,9760,9760,9761,9762,9763,9761.0
72,73,9760,9766,9760,9762,9756,9760,9760,9761,9762,9763,9761.0
73,74,9760,9766,9760,9762,9756,9760,9760,9761,9762,9763,9761.0
74,75,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
75,76,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
76,77,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
77,78,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
78,79,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
79,80,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
80,81,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
81,82,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
82,83,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
83,84,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
84,85,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
85,86,9760,9766,9760,9762,9756,9760,9762,9761,9762,9763,9761.2
86,87,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
87,88,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
88,89,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
89,90,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
90,91,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
91,92,9760,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.3
92,93,9762,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.5
93,94,9762,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.5
94,95,9762,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.5
95,96,9762,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.5
96,97,9762,9766,9760,9762,9756,9760,9763,9761,9762,9763,9761.5
97,98,9762,9767,9764,9762,9756,9760,9763,9761,9762,9763,9762.0
98,99,9762,9767,9764,9762,9756,9760,9763,9761,9762,9763,9762.0
99,100,9762,9767,9764,9762,9756,9760,9763,9761,9762,9763,9762.0
