,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9715,9636,9706,9699,9699,9692,9698,9734,9591,9728,9689.8
1,2,9715,9703,9675,9699,9717,9692,9706,9727,9591,9721,9694.6
2,3,9715,9703,9603,9701,9717,9692,9706,9727,9607,9721,9689.2
3,4,9715,9703,9603,9701,9701,9611,9706,9727,9607,9721,9679.5
4,5,9714,9706,9717,9701,9721,9730,9706,9727,9606,9611,9693.9
5,6,9714,9715,9717,9701,9721,9241,9693,9727,9606,9615,9645.0
6,7,9714,9715,9717,9717,9219,9241,9705,9727,9606,9615,9597.6
7,8,9714,9715,9717,9719,9699,9250,9705,9727,9606,9715,9656.7
8,9,9712,9715,9717,9719,9718,9710,9227,9727,9606,9715,9656.6
9,10,9712,9715,9719,9717,9718,9710,9245,9727,9606,9701,9657.0
10,11,9712,9715,9719,9728,9718,9710,8750,9727,9606,9701,9608.6
11,12,9714,9708,9702,9728,9718,9710,8750,9727,9591,9223,9557.1
12,13,9714,9732,9702,9728,9699,9728,9608,9727,9591,9223,9645.2
13,14,9714,9732,9702,9728,9699,9728,9608,9727,9591,9606,9683.5
14,15,9714,9706,9702,9728,9699,9728,9608,9727,9591,9611,9681.4
15,16,9714,9706,9702,9728,9695,9728,9608,9727,9591,9606,9680.5
16,17,9726,9710,9702,9685,9695,9728,9608,9727,9591,9618,9679.0
17,18,9710,9706,9714,9685,9695,9728,9608,9727,9591,9618,9678.2
18,19,9710,9706,9714,9685,9695,9728,9129,9727,9591,9618,9630.3
19,20,9710,9701,9714,9685,9695,9728,9126,9727,9591,9618,9629.5
20,21,9709,9711,9714,9685,9695,9710,9126,9727,9591,9618,9628.6
21,22,9709,9601,9714,9689,9695,9710,9126,9727,9591,9618,9618.0
22,23,9709,9601,9714,9689,9695,9709,9126,9727,9592,9628,9619.0
23,24,9715,9601,9714,9689,9695,9723,9682,9727,9592,9618,9675.6
24,25,9709,9601,9714,9707,9695,9723,9128,9612,9592,9618,9609.9
25,26,9717,9610,9714,9708,9695,9723,9218,9592,9592,9595,9616.4
26,27,9717,9610,9714,9708,9701,9723,9703,9710,9592,9595,9677.3
27,28,9721,9610,9714,9689,9701,9719,9703,9710,9592,9595,9675.4
28,29,9721,9610,9710,9689,9701,9717,9703,9710,9592,9595,9674.8
29,30,9721,9111,9710,9691,9701,9717,9603,9710,9592,9595,9615.1
30,31,9721,9111,9710,9689,9701,9717,9619,9710,9592,9128,9569.8
31,32,9721,9603,9609,9689,9702,9717,9619,9710,9592,9128,9609.0
32,33,9721,9603,9698,9689,9702,9725,9619,9608,9117,9248,9573.0
33,34,9721,9607,9698,9689,9701,9729,9614,9584,9581,9128,9605.2
34,35,9721,9607,9609,9698,9701,9729,9724,9595,9581,9128,9609.3
35,36,9721,9607,9203,9698,9699,9717,9724,9595,9581,9128,9567.3
36,37,9713,9607,9209,9698,9699,9717,9724,9597,9589,9128,9568.1
37,38,9713,9607,9209,9229,9697,9717,9724,9597,9592,9619,9570.4
38,39,9713,9607,9576,9227,9697,9709,9724,9595,9592,9619,9605.9
39,40,9711,9607,9237,9710,9697,9709,9726,9595,9592,9127,9571.1
