,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9696,9712,9738,9601,9694,9703,9615,9723,9729,9728,9693.9
1,2,9696,9712,9738,9601,9733,9703,9703,9723,9729,9728,9706.6
2,3,9727,9712,9738,9601,9733,9703,9703,9723,9729,9728,9709.7
3,4,9727,9712,9738,9601,9749,9703,9703,9723,9729,9728,9711.3
4,5,9727,9712,9738,9601,9749,9703,9703,9723,9729,9728,9711.3
5,6,9727,9712,9738,9601,9749,9703,9703,9723,9729,9728,9711.3
6,7,9727,9712,9738,9601,9749,9703,9703,9723,9729,9728,9711.3
7,8,9728,9712,9738,9698,9749,9703,9703,9732,9741,9728,9723.2
8,9,9728,9716,9738,9698,9749,9703,9706,9732,9741,9728,9723.9
9,10,9728,9730,9739,9710,9749,9703,9706,9732,9741,9728,9726.6
10,11,9728,9737,9739,9710,9749,9703,9712,9732,9741,9728,9727.9
11,12,9728,9737,9739,9714,9749,9703,9712,9732,9741,9728,9728.3
12,13,9728,9737,9739,9714,9749,9703,9712,9738,9741,9728,9728.9
13,14,9728,9737,9739,9714,9749,9703,9712,9738,9741,9728,9728.9
14,15,9728,9737,9739,9714,9749,9703,9712,9738,9741,9728,9728.9
15,16,9728,9737,9739,9714,9749,9703,9716,9738,9741,9728,9729.3
16,17,9728,9737,9739,9714,9749,9703,9716,9738,9741,9728,9729.3
17,18,9728,9739,9739,9714,9749,9703,9716,9738,9741,9728,9729.5
18,19,9728,9739,9739,9714,9749,9703,9716,9738,9741,9728,9729.5
19,20,9728,9739,9741,9714,9749,9710,9716,9738,9741,9728,9730.4
20,21,9728,9739,9741,9714,9749,9710,9716,9738,9741,9728,9730.4
21,22,9728,9739,9741,9714,9749,9710,9716,9738,9741,9728,9730.4
22,23,9728,9739,9741,9714,9749,9710,9716,9738,9741,9728,9730.4
23,24,9728,9739,9741,9720,9749,9710,9716,9738,9741,9728,9731.0
24,25,9728,9739,9741,9720,9749,9710,9716,9738,9741,9728,9731.0
25,26,9728,9750,9741,9720,9749,9710,9724,9738,9741,9728,9732.9
26,27,9730,9750,9748,9720,9749,9710,9724,9738,9741,9728,9733.8
27,28,9730,9750,9748,9720,9749,9710,9733,9738,9741,9728,9734.7
28,29,9730,9750,9748,9720,9749,9726,9733,9738,9741,9728,9736.3
29,30,9730,9750,9748,9720,9753,9733,9733,9738,9741,9728,9737.4
30,31,9730,9750,9748,9720,9753,9733,9733,9738,9741,9728,9737.4
31,32,9732,9750,9748,9720,9754,9733,9733,9738,9741,9728,9737.7
32,33,9732,9750,9748,9720,9754,9733,9733,9738,9741,9728,9737.7
33,34,9736,9750,9748,9720,9754,9733,9733,9742,9741,9728,9738.5
34,35,9736,9750,9748,9720,9754,9733,9733,9742,9741,9728,9738.5
35,36,9736,9750,9748,9728,9754,9733,9733,9742,9742,9728,9739.4
36,37,9741,9750,9748,9728,9754,9733,9733,9742,9749,9728,9740.6
37,38,9741,9750,9748,9728,9757,9733,9733,9742,9749,9728,9740.9
38,39,9751,9750,9748,9728,9757,9733,9733,9743,9749,9728,9742.0
39,40,9751,9750,9748,9728,9757,9733,9733,9743,9749,9728,9742.0
40,41,9751,9751,9749,9728,9757,9733,9733,9743,9749,9728,9742.2
41,42,9751,9751,9749,9728,9757,9733,9747,9743,9749,9728,9743.6
42,43,9751,9751,9749,9728,9757,9733,9747,9743,9749,9728,9743.6
43,44,9751,9751,9749,9728,9761,9733,9747,9743,9749,9728,9744.0
44,45,9751,9751,9754,9739,9761,9733,9747,9743,9749,9739,9746.7
45,46,9751,9751,9754,9739,9761,9733,9747,9743,9749,9739,9746.7
46,47,9751,9751,9754,9739,9761,9733,9747,9743,9749,9739,9746.7
47,48,9751,9756,9754,9739,9761,9733,9747,9743,9749,9739,9747.2
48,49,9751,9756,9754,9739,9761,9733,9747,9743,9749,9739,9747.2
49,50,9751,9756,9754,9739,9761,9733,9747,9743,9750,9739,9747.3
50,51,9751,9756,9754,9739,9761,9733,9747,9743,9750,9745,9747.9
51,52,9751,9756,9754,9739,9761,9733,9747,9743,9750,9745,9747.9
52,53,9751,9756,9754,9739,9761,9739,9747,9743,9750,9745,9748.5
53,54,9751,9756,9754,9739,9761,9739,9747,9743,9750,9745,9748.5
54,55,9751,9756,9754,9739,9761,9739,9747,9743,9750,9745,9748.5
55,56,9753,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.2
56,57,9753,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.2
57,58,9753,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.2
58,59,9753,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.2
59,60,9753,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.2
60,61,9754,9756,9754,9739,9761,9739,9747,9743,9755,9745,9749.3
61,62,9754,9756,9754,9739,9765,9739,9747,9743,9755,9745,9749.7
62,63,9754,9756,9754,9739,9765,9739,9747,9743,9755,9745,9749.7
63,64,9754,9756,9754,9740,9765,9739,9747,9743,9755,9746,9749.9
64,65,9754,9756,9754,9741,9765,9739,9747,9743,9757,9746,9750.2
65,66,9754,9760,9754,9741,9765,9739,9747,9743,9757,9746,9750.6
