,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9691,9706,9730,9706,9712,9595,9735,9695,9694,9743,9700.7
1,2,9691,9706,9695,9706,9712,9595,9618,9695,9694,9743,9685.5
2,3,9691,9713,9695,9706,9728,9698,9732,9699,9694,9743,9709.9
3,4,9691,9713,9695,9713,9728,9702,9732,9721,9694,9743,9713.2
4,5,9691,9713,9695,9713,9728,9706,9732,9721,9708,9743,9715.0
5,6,9738,9713,9695,9713,9728,9706,9732,9721,9708,9743,9719.7
6,7,9738,9723,9695,9713,9728,9706,9732,9721,9708,9743,9720.7
7,8,9738,9723,9695,9713,9728,9706,9732,9721,9708,9743,9720.7
8,9,9749,9723,9695,9713,9728,9706,9732,9721,9715,9743,9722.5
9,10,9749,9723,9695,9713,9728,9706,9732,9721,9725,9751,9724.3
10,11,9749,9723,9703,9713,9732,9706,9732,9723,9725,9751,9725.7
11,12,9749,9723,9705,9714,9732,9706,9732,9741,9725,9751,9727.8
12,13,9749,9729,9707,9722,9747,9706,9732,9741,9725,9751,9730.9
13,14,9749,9737,9707,9722,9732,9706,9736,9741,9725,9751,9730.6
14,15,9749,9737,9707,9722,9732,9706,9732,9741,9725,9751,9730.2
15,16,9749,9737,9707,9722,9732,9718,9738,9741,9725,9751,9732.0
16,17,9749,9737,9707,9722,9732,9718,9738,9741,9725,9751,9732.0
17,18,9749,9738,9707,9722,9732,9718,9738,9741,9725,9751,9732.1
18,19,9750,9738,9707,9722,9732,9718,9738,9741,9725,9751,9732.2
19,20,9750,9744,9707,9730,9740,9718,9749,9741,9736,9751,9736.6
20,21,9750,9744,9707,9730,9740,9718,9749,9741,9736,9751,9736.6
21,22,9749,9744,9707,9730,9740,9718,9749,9741,9736,9751,9736.5
22,23,9749,9750,9714,9730,9740,9725,9749,9741,9736,9751,9738.5
23,24,9749,9750,9727,9730,9740,9725,9749,9741,9736,9751,9739.8
24,25,9749,9756,9727,9730,9740,9720,9749,9741,9736,9754,9740.2
25,26,9749,9756,9727,9730,9742,9720,9749,9741,9736,9754,9740.4
26,27,9749,9756,9727,9742,9742,9720,9749,9741,9736,9754,9741.6
27,28,9758,9756,9709,9742,9742,9720,9749,9756,9736,9754,9742.2
28,29,9758,9756,9724,9742,9742,9720,9749,9756,9736,9754,9743.7
29,30,9758,9756,9724,9742,9742,9720,9749,9756,9736,9754,9743.7
30,31,9758,9756,9724,9742,9742,9720,9749,9756,9736,9754,9743.7
31,32,9759,9756,9724,9742,9742,9726,9749,9756,9736,9754,9744.4
32,33,9759,9756,9728,9742,9742,9726,9749,9756,9736,9756,9745.0
33,34,9759,9756,9728,9742,9742,9726,9749,9756,9736,9754,9744.8
34,35,9759,9756,9728,9742,9742,9726,9751,9756,9736,9754,9745.0
35,36,9759,9756,9728,9751,9742,9726,9751,9756,9736,9754,9745.9
36,37,9759,9756,9728,9751,9742,9726,9751,9756,9736,9754,9745.9
37,38,9759,9756,9728,9751,9742,9726,9751,9756,9744,9754,9746.7
38,39,9760,9756,9728,9751,9754,9731,9754,9756,9744,9754,9748.8
39,40,9760,9756,9728,9751,9754,9733,9754,9756,9744,9754,9749.0
40,41,9760,9756,9743,9751,9754,9733,9754,9756,9744,9754,9750.5
41,42,9760,9758,9736,9751,9754,9733,9754,9756,9744,9754,9750.0
42,43,9760,9758,9733,9751,9754,9733,9754,9756,9744,9754,9749.7
43,44,9760,9758,9733,9751,9754,9733,9754,9756,9747,9758,9750.4
44,45,9760,9758,9733,9751,9754,9733,9754,9756,9747,9758,9750.4
45,46,9760,9758,9745,9751,9754,9733,9756,9756,9747,9758,9751.8
