,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9693,9722,9693,9230,9219,9720,9629,9728,9695,9691,9602.0
1,2,9693,9722,9693,9719,9219,9720,9712,9728,9695,9619,9652.0
2,3,9693,9722,9693,9719,9219,9720,9712,9728,9695,9624,9652.5
3,4,9693,9722,9713,9222,9219,9720,9712,9728,9714,9624,9606.7
4,5,9605,9722,9713,9222,9219,9720,9712,9728,9714,9616,9597.1
5,6,9717,9722,9693,9222,9614,9720,9712,9125,9714,9616,9585.5
6,7,9717,9630,9718,9207,9121,9720,9712,9736,9612,9616,9578.9
7,8,9717,9630,9736,9207,9718,9232,9580,9736,9612,9701,9586.9
8,9,9717,9715,9736,9209,9718,9232,9583,9736,9610,9701,9595.7
9,10,9717,9725,9736,9209,9718,9232,9583,9736,9737,9111,9550.4
10,11,9717,9725,9736,9246,9718,9696,9707,9736,9737,9111,9612.9
11,12,9717,9725,9712,9246,9718,9696,9707,9736,9737,9734,9672.8
12,13,9717,9725,9712,9246,9601,9696,9707,9736,9737,9734,9661.1
13,14,9608,9725,9710,9261,9125,9232,9707,9736,9738,9734,9557.6
14,15,9729,9725,9710,9261,9614,9690,9707,9736,9738,9684,9659.4
15,16,9729,9610,9710,9261,9595,9690,9707,9736,9738,9684,9646.0
16,17,9729,9610,9710,9261,9137,9690,9707,9736,9738,9684,9600.2
17,18,9729,9610,9710,9720,9600,9690,9707,9736,9738,9583,9682.3
18,19,9729,9711,9710,9720,9718,9694,9707,9736,9738,9583,9704.6
19,20,9729,9711,9710,9715,9718,9694,9707,9736,9738,9583,9704.1
20,21,9698,9711,9710,9715,9718,9690,9707,9601,9738,9583,9687.1
21,22,9698,9610,9710,9715,9718,9221,9705,9626,9738,9605,9634.6
22,23,9698,9610,9710,9715,9718,9711,9705,9626,9738,9605,9683.6
23,24,9698,9610,9710,9700,9627,9712,9705,9626,9738,9605,9673.1
24,25,9703,9610,9710,9712,9627,9712,9705,9626,9738,9605,9674.8
25,26,9698,9610,9678,9712,9627,9712,9705,9626,9738,9688,9679.4
26,27,9714,9610,9620,9712,9624,9691,9705,9723,9723,9716,9683.8
27,28,9714,9610,9620,9712,9624,9694,9705,9723,9229,9720,9635.1
28,29,9714,9610,9592,9724,9624,9706,9705,9694,9727,9720,9681.6
29,30,9714,9610,9592,9724,9717,9706,9224,9694,9727,9720,9642.8
30,31,9714,9610,9601,9737,9717,9706,9223,9694,9240,9720,9596.2
31,32,9714,9610,9601,9737,9717,9706,9223,9729,9240,9720,9599.7
32,33,9714,9610,9686,9737,9717,9712,9583,9729,9240,9700,9642.8
33,34,9717,9624,9686,9737,9717,9712,9583,9729,9100,9700,9630.5
34,35,9717,9592,9601,9737,9717,9712,9583,9729,9737,9700,9682.5
35,36,9714,9592,9601,9737,9714,9694,9695,9734,9737,9700,9691.8
36,37,9714,9592,9110,9737,9624,9694,9693,9734,9737,9700,9633.5
37,38,9714,9603,9110,9737,9624,9694,9693,9729,9737,9700,9634.1
38,39,9714,9603,9697,9737,9624,9692,9693,9729,9238,9700,9642.7
39,40,9714,9592,9697,9737,9624,9692,9089,9625,9594,9700,9606.4
40,41,9714,9592,9700,9737,9624,9692,9696,9618,9735,9700,9680.8
41,42,9714,8250,9700,9737,9624,9692,9562,9618,9594,9700,9519.1
42,43,9714,9725,9700,9737,9624,9692,9562,9618,9594,9700,9666.6
43,44,9714,9725,9700,9737,9594,9692,9562,9618,9594,9700,9663.6
44,45,9714,9733,9697,9737,9128,9701,9562,9618,9594,9700,9618.4
45,46,9724,9733,9697,9737,9595,9701,9562,9719,9594,9700,9676.2
46,47,9734,9733,9711,9737,9595,9686,9087,9719,9217,9715,9593.4
47,48,9734,9611,9711,9701,9593,9687,9087,9719,9239,9715,9579.7
48,49,9734,9611,9711,9701,9593,9687,9087,9719,9228,9715,9578.6
49,50,9734,9611,9711,9750,9593,9687,8242,9719,9228,9715,9499.0
50,51,9734,9611,9697,9750,9613,9711,9593,9619,9228,9715,9627.1
51,52,9734,9611,9697,9750,9613,9708,9593,9617,9228,9715,9626.6
52,53,9734,9240,9694,9750,9613,9705,9593,9617,8744,9715,9540.5
53,54,9716,9608,9694,9750,9613,9705,9593,9617,9204,9702,9620.2
54,55,9716,9608,9694,9737,9613,9705,9593,9677,9723,9587,9665.3
55,56,9716,9608,9697,9746,9613,9713,9593,9677,9723,9587,9667.3
56,57,9716,9713,9697,9746,9613,9713,9593,9677,9217,9587,9627.2
57,58,9716,9713,9697,9746,9613,9732,9600,9617,9217,9587,9623.8
58,59,9716,9713,9697,9716,9613,9732,9567,9705,9217,9105,9578.1
59,60,9716,9713,9697,9746,9613,9699,8130,9230,9217,8609,9337.0
60,61,9720,9713,9708,9746,9614,9721,9719,9118,9217,8609,9488.5
61,62,9720,9713,9708,9746,9614,9721,9719,9682,9232,9700,9655.5
62,63,9720,9713,9708,9746,9614,9238,9719,9682,9232,9700,9607.2
63,64,9705,9713,9708,9746,9614,9238,9709,9682,9232,9700,9604.7
64,65,9705,9713,9708,9746,9614,9238,9709,9682,9232,9700,9604.7
65,66,9705,9713,9708,9746,9614,9701,9709,9682,9222,0,8680.0
66,67,9705,9713,9708,9746,9614,9701,9709,9682,9222,0,8680.0
67,68,9726,9576,8724,9746,9614,9701,9709,9682,9222,8135,9383.5
68,69,9726,9568,8724,9746,9613,9701,9709,9682,9208,8135,9381.2
69,70,9726,9568,8724,9746,9613,9701,9701,9682,8753,9585,9479.9
70,71,9726,9593,9208,9728,9613,9710,9701,9682,8753,9585,9529.9
71,72,9726,9622,0,9727,9613,9691,9677,9604,9735,9585,8698.0
72,73,9726,9622,0,9727,9613,9691,9677,9604,9735,9607,8700.2
73,74,9726,9622,0,9727,9613,9688,9599,9592,9735,9607,8690.9
74,75,9697,9622,9689,9727,9613,9239,9599,9699,9739,9603,9622.7
75,76,9601,9622,9701,9743,9613,9239,9599,9699,9739,9603,9615.9
76,77,9601,9622,9689,9746,9613,9238,9599,9699,9739,9603,9614.9
77,78,9601,9608,9689,9746,9599,9238,9599,9699,9739,9603,9612.1
78,79,9601,9608,9698,9746,9599,9238,9599,9699,9739,9606,9613.3
79,80,9601,9608,9698,9746,9599,9248,9706,9703,9739,9603,9625.1
80,81,9614,9681,9698,9746,9599,9729,9706,9703,9739,9603,9681.8
81,82,9614,9681,9698,9746,9599,9740,9706,9703,9739,0,8722.6
82,83,9601,9681,9698,9746,9599,9740,9599,9608,9739,9587,9659.8
83,84,9601,9681,9713,9746,9599,9725,9599,9608,9726,9587,9658.5
84,85,9598,9681,9695,9743,9599,9720,9599,9599,9726,9587,9654.7
85,86,9595,9681,9695,9743,9599,9238,9595,9599,9726,8625,9509.6
86,87,9595,9681,9695,9743,9247,9238,9595,9599,9726,0,8611.9
87,88,9595,9681,9689,9743,9247,9238,9595,9599,9726,0,8611.3
88,89,9595,9681,9713,9743,9247,9238,9595,9715,9726,0,8625.3
89,90,9595,9681,9713,9633,9247,9238,9609,9715,9726,9587,9574.4
90,91,9618,9681,9712,9633,9247,9238,9609,9714,9726,0,8617.8
91,92,9595,9597,9712,9633,9247,9247,9603,9611,9726,0,8597.1
92,93,9595,9615,9712,9735,9627,9247,9707,9611,9726,0,8657.5
93,94,9595,9613,9712,9740,9627,9247,9707,9611,9726,0,8657.8
94,95,9595,9698,9712,9740,9627,9247,9707,9611,9726,0,8666.3
95,96,9594,9698,9712,9746,9627,9723,9707,9611,9726,0,8714.4
96,97,9594,9698,9713,9752,9627,9723,9707,9611,9238,0,8666.3
97,98,9594,9698,9719,9740,9627,9723,9707,9611,9238,0,8665.7
98,99,9594,9698,9719,9741,9627,9728,9707,9611,9238,0,8666.3
99,100,9703,9706,9719,9741,9627,9728,9707,9608,9238,0,8677.7
