,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9598,9720,9591,9602,9728,9710,9722,9718,9692,9714,9679.5
1,2,9728,9720,9591,9602,9728,9710,9724,9718,9692,9737,9695.0
2,3,9728,9720,9604,9616,9728,9710,9724,9718,9712,9737,9699.7
3,4,9728,9720,9604,9616,9728,9710,9724,9718,9712,9737,9699.7
4,5,9728,9720,9604,9616,9728,9710,9724,9718,9712,9737,9699.7
5,6,9728,9720,9604,9616,9728,9719,9724,9718,9712,9737,9700.6
6,7,9728,9720,9613,9737,9728,9719,9724,9718,9712,9737,9713.6
7,8,9728,9720,9700,9737,9728,9719,9724,9733,9712,9737,9723.8
8,9,9728,9720,9705,9737,9731,9719,9724,9733,9712,9737,9724.6
9,10,9728,9720,9705,9737,9731,9719,9724,9733,9712,9737,9724.6
10,11,9728,9720,9705,9737,9741,9719,9724,9733,9712,9737,9725.6
11,12,9728,9720,9705,9741,9741,9719,9724,9733,9712,9737,9726.0
12,13,9728,9720,9724,9741,9741,9719,9724,9733,9712,9737,9727.9
13,14,9728,9720,9724,9741,9741,9719,9724,9733,9712,9737,9727.9
14,15,9728,9720,9724,9741,9741,9719,9724,9733,9712,9737,9727.9
15,16,9728,9720,9724,9741,9741,9719,9724,9733,9712,9755,9729.7
16,17,9728,9720,9724,9741,9741,9719,9724,9733,9712,9755,9729.7
17,18,9728,9724,9727,9741,9741,9719,9733,9733,9712,9755,9731.3
18,19,9728,9724,9727,9741,9741,9719,9733,9733,9712,9755,9731.3
19,20,9728,9724,9727,9741,9741,9719,9733,9733,9712,9755,9731.3
20,21,9728,9724,9727,9741,9741,9719,9733,9733,9712,9755,9731.3
21,22,9728,9724,9727,9741,9741,9719,9733,9733,9712,9755,9731.3
22,23,9728,9724,9727,9741,9741,9720,9733,9733,9713,9755,9731.5
23,24,9728,9724,9727,9741,9741,9720,9733,9733,9713,9755,9731.5
24,25,9728,9726,9727,9741,9741,9720,9733,9733,9713,9755,9731.7
25,26,9728,9726,9727,9741,9741,9720,9735,9733,9714,9755,9732.0
26,27,9728,9732,9727,9741,9741,9720,9736,9733,9721,9755,9733.4
27,28,9728,9732,9727,9741,9741,9720,9736,9733,9721,9755,9733.4
28,29,9728,9733,9727,9741,9741,9720,9736,9733,9721,9755,9733.5
29,30,9728,9734,9727,9741,9741,9720,9736,9742,9721,9755,9734.5
30,31,9728,9734,9727,9741,9741,9720,9736,9742,9721,9755,9734.5
31,32,9728,9734,9727,9741,9741,9720,9736,9742,9721,9755,9734.5
32,33,9728,9734,9727,9741,9741,9720,9736,9742,9721,9755,9734.5
33,34,9728,9734,9727,9741,9741,9729,9736,9742,9721,9755,9735.4
34,35,9731,9734,9736,9741,9741,9729,9740,9742,9721,9755,9737.0
35,36,9731,9734,9736,9741,9741,9729,9740,9742,9721,9755,9737.0
36,37,9731,9741,9736,9741,9741,9729,9740,9742,9721,9755,9737.7
37,38,9731,9741,9736,9741,9741,9729,9740,9742,9721,9755,9737.7
38,39,9731,9741,9736,9741,9741,9729,9740,9742,9721,9755,9737.7
39,40,9738,9741,9736,9741,9741,9729,9752,9742,9721,9755,9739.6
40,41,9738,9741,9736,9741,9741,9729,9752,9742,9721,9755,9739.6
41,42,9738,9741,9736,9741,9741,9729,9752,9742,9721,9755,9739.6
42,43,9738,9741,9746,9754,9741,9729,9752,9742,9730,9755,9742.8
43,44,9738,9741,9746,9754,9741,9729,9752,9744,9730,9755,9743.0
44,45,9738,9741,9746,9754,9741,9739,9752,9744,9730,9755,9744.0
45,46,9738,9741,9746,9754,9741,9739,9752,9744,9730,9760,9744.5
46,47,9738,9741,9746,9754,9741,9741,9752,9744,9730,9760,9744.7
47,48,9738,9741,9746,9754,9741,9741,9752,9744,9730,9760,9744.7
48,49,9738,9744,9746,9754,9741,9741,9752,9744,9730,9760,9745.0
49,50,9738,9744,9746,9754,9741,9741,9752,9744,9733,9760,9745.3
50,51,9738,9744,9746,9754,9741,9741,9752,9744,9733,9760,9745.3
51,52,9738,9744,9746,9754,9741,9741,9752,9744,9733,9760,9745.3
52,53,9738,9744,9746,9754,9741,9741,9752,9744,9733,9760,9745.3
53,54,9738,9744,9746,9754,9741,9741,9757,9744,9733,9760,9745.8
54,55,9738,9744,9746,9754,9741,9741,9757,9744,9733,9760,9745.8
55,56,9738,9747,9756,9754,9741,9741,9757,9744,9733,9760,9747.1
56,57,9738,9747,9756,9754,9741,9741,9757,9744,9733,9760,9747.1
57,58,9738,9747,9756,9754,9741,9741,9757,9744,9733,9760,9747.1
58,59,9738,9747,9756,9754,9741,9741,9757,9744,9733,9760,9747.1
59,60,9739,9747,9756,9754,9741,9741,9757,9757,9733,9760,9748.5
60,61,9739,9747,9756,9754,9741,9744,9757,9757,9750,9760,9750.5
61,62,9739,9752,9756,9754,9741,9744,9757,9757,9750,9760,9751.0
62,63,9739,9752,9757,9754,9741,9744,9757,9757,9750,9760,9751.1
63,64,9739,9752,9757,9754,9741,9744,9757,9757,9750,9760,9751.1
64,65,9739,9752,9757,9754,9741,9744,9757,9757,9750,9760,9751.1
65,66,9739,9752,9757,9755,9741,9744,9757,9757,9750,9760,9751.2
66,67,9739,9752,9757,9755,9741,9745,9757,9757,9750,9760,9751.3
67,68,9739,9752,9759,9758,9741,9745,9757,9757,9750,9760,9751.8
68,69,9739,9752,9760,9758,9741,9745,9757,9757,9750,9760,9751.9
69,70,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
70,71,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
71,72,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
72,73,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
73,74,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
74,75,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
75,76,9741,9752,9760,9758,9741,9745,9757,9757,9750,9760,9752.1
76,77,9741,9752,9760,9758,9741,9747,9759,9757,9750,9760,9752.5
77,78,9741,9752,9760,9758,9749,9747,9759,9757,9750,9760,9753.3
78,79,9741,9752,9760,9758,9749,9747,9759,9757,9750,9760,9753.3
79,80,9741,9752,9760,9758,9749,9747,9759,9757,9750,9760,9753.3
80,81,9741,9756,9760,9758,9749,9747,9759,9757,9750,9760,9753.7
81,82,9741,9756,9760,9758,9749,9747,9759,9757,9750,9760,9753.7
82,83,9741,9756,9760,9758,9749,9747,9759,9757,9750,9760,9753.7
83,84,9741,9756,9760,9758,9749,9747,9759,9757,9750,9760,9753.7
84,85,9745,9756,9760,9758,9749,9747,9759,9757,9750,9762,9754.3
85,86,9756,9756,9760,9758,9749,9747,9759,9757,9750,9762,9755.4
86,87,9756,9756,9760,9758,9749,9747,9759,9757,9750,9762,9755.4
87,88,9756,9758,9760,9758,9749,9747,9759,9757,9758,9762,9756.4
88,89,9756,9758,9760,9758,9749,9747,9759,9757,9758,9762,9756.4
89,90,9756,9758,9760,9758,9749,9747,9759,9760,9758,9762,9756.7
90,91,9756,9758,9760,9758,9752,9755,9759,9760,9758,9762,9757.8
91,92,9756,9758,9760,9759,9752,9755,9759,9760,9758,9762,9757.9
92,93,9756,9758,9760,9759,9752,9755,9759,9760,9758,9762,9757.9
93,94,9756,9758,9760,9759,9752,9755,9759,9760,9758,9762,9757.9
94,95,9756,9758,9760,9759,9752,9755,9759,9760,9758,9764,9758.1
95,96,9756,9758,9760,9759,9752,9755,9759,9760,9758,9764,9758.1
96,97,9756,9758,9760,9759,9752,9755,9759,9760,9758,9764,9758.1
97,98,9756,9758,9760,9759,9752,9755,9759,9760,9758,9764,9758.1
98,99,9756,9758,9760,9759,9752,9755,9759,9760,9760,9764,9758.3
99,100,9756,9758,9760,9759,9754,9755,9759,9760,9760,9764,9758.5
