,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,9707,9627,9699,9720,9679,9734,9742,9691,9616,9734,9694.9
1,2,9707,9627,9700,9721,9679,9734,9742,9691,9616,9734,9695.1
2,3,9707,9627,9701,9721,9680,9734,9748,9691,9616,9744,9696.9
3,4,9711,9627,9701,9721,9702,9738,9748,9691,9620,9744,9700.3
4,5,9730,9744,9705,9721,9713,9738,9748,9691,9620,9744,9715.4
5,6,9730,9744,9705,9722,9713,9738,9748,9718,9623,9744,9718.5
6,7,9730,9744,9705,9722,9713,9738,9748,9718,9623,9759,9720.0
7,8,9730,9744,9705,9723,9713,9754,9748,9719,9623,9759,9721.8
8,9,9730,9744,9705,9731,9722,9754,9748,9719,9623,9759,9723.5
9,10,9730,9744,9705,9731,9722,9754,9748,9719,9623,9759,9723.5
10,11,9745,9744,9721,9731,9739,9754,9748,9719,9623,9759,9728.3
11,12,9745,9744,9721,9737,9746,9754,9748,9727,9623,9759,9730.4
12,13,9745,9744,9729,9737,9746,9754,9748,9745,9637,9759,9734.4
13,14,9747,9744,9729,9737,9746,9754,9748,9745,9637,9759,9734.6
14,15,9748,9744,9729,9737,9746,9754,9749,9745,9640,9760,9735.2
15,16,9751,9745,9729,9738,9746,9754,9749,9745,9640,9760,9735.7
16,17,9754,9745,9733,9738,9746,9754,9767,9751,9640,9760,9738.8
17,18,9755,9762,9739,9740,9746,9754,9767,9751,9640,9762,9741.6
18,19,9755,9762,9739,9740,9746,9754,9767,9754,9759,9762,9753.8
19,20,9755,9762,9739,9740,9746,9754,9767,9754,9759,9762,9753.8
20,21,9755,9762,9739,9740,9746,9754,9767,9754,9759,9762,9753.8
21,22,9755,9762,9739,9740,9746,9754,9767,9754,9759,9762,9753.8
22,23,9755,9762,9739,9743,9746,9754,9767,9754,9759,9762,9754.1
23,24,9755,9762,9739,9745,9746,9754,9767,9754,9759,9762,9754.3
24,25,9755,9762,9739,9745,9746,9754,9767,9754,9759,9762,9754.3
25,26,9755,9762,9739,9745,9746,9758,9767,9754,9759,9762,9754.7
26,27,9755,9762,9739,9745,9746,9758,9767,9754,9759,9762,9754.7
27,28,9755,9762,9739,9745,9748,9758,9767,9754,9759,9762,9754.9
28,29,9755,9762,9740,9745,9752,9758,9767,9754,9759,9762,9755.4
29,30,9755,9762,9740,9745,9752,9758,9767,9763,9759,9762,9756.3
30,31,9755,9762,9740,9745,9752,9760,9767,9763,9759,9762,9756.5
31,32,9763,9762,9743,9745,9752,9760,9767,9763,9759,9762,9757.6
32,33,9763,9762,9743,9745,9752,9760,9767,9763,9759,9762,9757.6
33,34,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
34,35,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
35,36,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
36,37,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
37,38,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
38,39,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
39,40,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
40,41,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
41,42,9763,9762,9746,9751,9760,9760,9767,9763,9759,9762,9759.3
42,43,9763,9762,9754,9751,9760,9760,9767,9763,9759,9762,9760.1
43,44,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
44,45,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
45,46,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
46,47,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
47,48,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
48,49,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
49,50,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
50,51,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
51,52,9763,9762,9754,9751,9763,9760,9767,9763,9759,9762,9760.4
52,53,9763,9762,9758,9751,9763,9760,9767,9763,9759,9762,9760.8
53,54,9763,9762,9758,9751,9763,9760,9767,9763,9759,9762,9760.8
54,55,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
55,56,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
56,57,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
57,58,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
58,59,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
59,60,9763,9762,9760,9751,9763,9760,9767,9763,9759,9762,9761.0
60,61,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
61,62,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
62,63,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
63,64,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
64,65,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
65,66,9763,9762,9760,9751,9767,9760,9767,9763,9759,9762,9761.4
66,67,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
67,68,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
68,69,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
69,70,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
70,71,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
71,72,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
72,73,9763,9762,9760,9751,9767,9760,9767,9767,9759,9762,9761.8
73,74,9763,9762,9762,9751,9767,9760,9767,9767,9759,9762,9762.0
74,75,9763,9762,9762,9751,9767,9760,9767,9767,9759,9762,9762.0
75,76,9763,9762,9762,9751,9767,9760,9767,9767,9761,9762,9762.2
76,77,9763,9762,9762,9751,9767,9760,9767,9767,9761,9762,9762.2
77,78,9763,9762,9762,9751,9767,9760,9767,9767,9761,9762,9762.2
78,79,9763,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.4
79,80,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
80,81,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
81,82,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
82,83,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
83,84,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
84,85,9767,9762,9762,9763,9767,9760,9767,9767,9761,9762,9763.8
85,86,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
86,87,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
87,88,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
88,89,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
89,90,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
90,91,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
91,92,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
92,93,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
93,94,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
94,95,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
95,96,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
96,97,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
97,98,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
98,99,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
99,100,9767,9762,9762,9763,9767,9762,9767,9767,9761,9762,9764.0
