,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,7892.166666666667,6968.666666666667,6778.833333333333,6504.6,6256.5,6169.733333333334,5876.9,5648.666666666667,6745.633333333333,5574.7,6441.639999999999
1,2,8554.766666666666,8432.5,8657.566666666668,8571.933333333332,8347.966666666667,8253.266666666666,7694.733333333334,8155.833333333333,8249.933333333332,7699.966666666666,8261.846666666666
2,3,8860.933333333332,8847.166666666666,8933.633333333333,8889.033333333333,9056.766666666666,8839.666666666666,8657.966666666667,8683.0,8524.8,8455.366666666667,8774.833333333332
3,4,9042.9,9001.566666666668,9149.833333333334,9028.5,9253.3,9179.566666666668,9058.7,8936.166666666666,8854.8,8742.0,9024.733333333334
4,5,9173.266666666666,9277.066666666668,9210.633333333333,9256.533333333333,9351.666666666666,9326.8,9136.9,9206.666666666666,8980.933333333332,8961.733333333334,9188.22
5,6,9278.466666666667,9475.166666666666,9289.5,9408.0,9437.8,9444.566666666668,9276.133333333333,9395.566666666668,9093.933333333332,9083.7,9318.283333333333
6,7,9362.266666666666,9541.2,9303.133333333333,9472.433333333332,9592.566666666668,9575.866666666667,9360.866666666667,9553.233333333334,9155.366666666667,9272.766666666666,9418.97
7,8,9406.766666666666,9541.2,9374.266666666666,9493.433333333332,9606.6,9658.9,9479.466666666667,9690.533333333333,9305.966666666667,9330.7,9488.783333333333
8,9,9516.666666666666,9601.966666666667,9415.933333333332,9534.166666666666,9610.433333333332,9699.5,9587.133333333333,9732.0,9456.033333333333,9362.966666666667,9551.680000000002
9,10,9611.2,9638.933333333332,9499.733333333334,9608.366666666667,9611.833333333334,9700.3,9616.4,9732.133333333333,9607.3,9432.533333333333,9605.873333333333
10,11,9707.833333333334,9643.9,9546.833333333334,9625.9,9612.3,9700.966666666667,9641.633333333333,9732.133333333333,9657.166666666666,9469.4,9633.806666666667
11,12,9717.866666666667,9649.1,9637.3,9691.666666666666,9623.633333333333,9701.233333333334,9647.0,9732.533333333333,9688.9,9504.8,9659.403333333334
12,13,9719.333333333334,9652.733333333334,9646.366666666667,9718.1,9627.9,9701.233333333334,9661.533333333333,9732.533333333333,9706.9,9578.333333333334,9674.496666666666
13,14,9720.7,9663.566666666668,9657.2,9719.033333333333,9635.066666666668,9702.0,9671.866666666667,9732.6,9708.166666666666,9590.866666666667,9680.106666666668
14,15,9722.333333333334,9668.166666666666,9679.133333333333,9723.266666666666,9648.433333333332,9703.0,9700.0,9733.733333333334,9709.6,9647.9,9693.556666666667
15,16,9723.433333333332,9671.633333333333,9697.666666666666,9724.333333333334,9667.466666666667,9703.3,9717.666666666666,9734.0,9710.866666666667,9654.833333333334,9700.52
16,17,9723.933333333332,9687.633333333333,9711.166666666666,9726.166666666666,9678.566666666668,9703.7,9718.4,9734.5,9711.166666666666,9665.266666666666,9706.05
17,18,9724.266666666666,9695.533333333333,9716.433333333332,9727.033333333333,9692.933333333332,9704.566666666668,9718.733333333334,9734.766666666666,9712.233333333334,9679.5,9710.6
18,19,9725.9,9695.533333333333,9721.033333333333,9727.7,9702.266666666666,9706.466666666667,9720.0,9735.9,9714.1,9700.633333333333,9714.953333333333
19,20,9727.1,9712.466666666667,9723.333333333334,9728.9,9703.333333333334,9707.266666666666,9722.633333333333,9736.9,9714.966666666667,9712.733333333334,9718.963333333333
20,21,9728.933333333332,9726.433333333332,9724.833333333334,9729.5,9705.766666666666,9711.233333333334,9723.0,9740.1,9717.566666666668,9715.733333333334,9722.310000000001
21,22,9729.533333333333,9730.1,9729.033333333333,9731.0,9706.233333333334,9712.533333333333,9723.766666666666,9740.566666666668,9721.0,9716.6,9724.036666666667
22,23,9731.166666666666,9734.666666666666,9732.466666666667,9731.466666666667,9707.833333333334,9714.6,9727.4,9741.533333333333,9725.433333333332,9717.2,9726.376666666667
23,24,9733.2,9736.466666666667,9735.9,9733.633333333333,9709.366666666667,9718.1,9728.933333333332,9742.566666666668,9729.433333333332,9719.3,9728.689999999999
24,25,9734.566666666668,9737.4,9740.933333333332,9736.033333333333,9713.266666666666,9719.133333333333,9732.3,9744.066666666668,9730.166666666666,9721.0,9730.886666666667
25,26,9735.333333333334,9737.966666666667,9741.4,9736.966666666667,9714.533333333333,9723.7,9734.833333333334,9746.433333333332,9732.433333333332,9723.233333333334,9732.683333333334
26,27,9735.533333333333,9739.233333333334,9741.7,9738.1,9715.0,9727.133333333333,9737.566666666668,9748.2,9734.133333333333,9724.6,9734.119999999999
27,28,9735.8,9740.066666666668,9742.333333333334,9739.466666666667,9715.4,9728.633333333333,9738.433333333332,9748.966666666667,9737.8,9726.3,9735.320000000002
28,29,9736.233333333334,9740.2,9742.8,9741.466666666667,9715.4,9729.6,9739.1,9749.133333333333,9740.033333333333,9726.6,9736.056666666667
29,30,9736.766666666666,9741.5,9743.4,9743.6,9715.933333333332,9730.433333333332,9739.1,9749.4,9740.033333333333,9726.866666666667,9736.703333333333
30,31,9737.3,9742.733333333334,9744.233333333334,9744.166666666666,9716.6,9731.0,9739.1,9749.833333333334,9740.3,9727.733333333334,9737.3
31,32,9737.633333333333,9743.5,9744.6,9744.566666666668,9719.133333333333,9731.133333333333,9739.2,9750.033333333333,9740.833333333334,9728.266666666666,9737.889999999998
32,33,9739.1,9744.7,9744.866666666667,9745.133333333333,9723.066666666668,9731.133333333333,9739.533333333333,9750.133333333333,9741.7,9729.0,9738.836666666666
33,34,9740.833333333334,9746.333333333334,9745.1,9745.933333333332,9724.833333333334,9731.133333333333,9740.133333333333,9750.666666666666,9742.4,9729.933333333332,9739.73
34,35,9742.566666666668,9749.933333333332,9745.2,9745.933333333332,9728.333333333334,9731.4,9740.733333333334,9751.233333333334,9742.833333333334,9730.466666666667,9740.863333333333
35,36,9742.766666666666,9750.966666666667,9745.266666666666,9747.0,9730.966666666667,9732.066666666668,9740.966666666667,9751.833333333334,9745.0,9731.1,9741.793333333333
36,37,9742.8,9751.366666666667,9745.466666666667,9748.066666666668,9731.766666666666,9732.2,9742.466666666667,9752.5,9746.4,9732.733333333334,9742.576666666666
37,38,9743.533333333333,9752.033333333333,9745.633333333333,9750.533333333333,9732.7,9732.6,9743.966666666667,9753.4,9748.566666666668,9733.033333333333,9743.6
38,39,9743.666666666666,9753.0,9745.9,9753.0,9734.2,9732.866666666667,9744.266666666666,9754.033333333333,9750.3,9734.6,9744.583333333332
39,40,9744.033333333333,9753.8,9746.066666666668,9753.466666666667,9735.3,9733.4,9745.933333333332,9754.133333333333,9751.933333333332,9735.466666666667,9745.353333333333
40,41,9745.1,9754.1,9746.066666666668,9753.733333333334,9735.6,9734.2,9746.133333333333,9754.133333333333,9752.533333333333,9736.866666666667,9745.846666666668
41,42,9746.266666666666,9755.366666666667,9746.066666666668,9754.0,9735.666666666666,9736.066666666668,9748.966666666667,9754.133333333333,9753.2,9737.6,9746.733333333334
