,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,5211.733333333334,4867.833333333333,4904.0,5615.5,4411.533333333334,5337.566666666667,4210.633333333333,4931.5,3947.5333333333333,4907.9,4834.573333333333
1,2,5343.2,6184.8,5098.166666666667,6307.4,5061.5,6160.7,5021.6,5311.2,4376.4,5085.433333333333,5395.039999999999
2,3,4958.566666666667,6306.166666666667,5411.6,6848.166666666667,6693.966666666666,6294.6,5679.433333333333,6278.366666666667,5102.366666666667,6167.633333333333,5974.086666666668
3,4,5481.033333333334,6274.633333333333,6024.166666666667,6629.933333333333,6773.866666666667,6449.966666666666,6344.833333333333,6453.9,5774.733333333334,6816.866666666667,6302.393333333335
4,5,6386.633333333333,6603.0,6698.666666666667,7569.9,6614.733333333334,7013.433333333333,6462.2,5636.2,6381.4,6628.266666666666,6599.443333333334
5,6,6322.666666666667,6760.3,7175.1,7360.466666666666,6953.133333333333,6833.466666666666,6541.3,6075.433333333333,6368.1,6170.5,6656.046666666667
6,7,6471.233333333334,7245.233333333334,7104.233333333334,7652.1,6692.7,6751.3,6437.966666666666,5920.966666666666,6112.633333333333,6419.3,6680.766666666667
7,8,6361.066666666667,7403.866666666667,7378.7,7054.466666666666,6526.666666666667,6783.466666666666,6382.2,6365.2,5909.766666666666,6564.266666666666,6672.966666666665
8,9,5757.833333333333,7512.666666666667,7596.6,7048.766666666666,6233.466666666666,7669.933333333333,6582.1,6437.8,5889.166666666667,6709.733333333334,6743.806666666666
9,10,6466.866666666667,7653.633333333333,7541.466666666666,7022.333333333333,7007.533333333334,8040.3,6327.366666666667,6776.366666666667,6516.033333333334,7314.966666666666,7066.6866666666665
10,11,7474.433333333333,7839.0,7650.966666666666,7153.8,7022.766666666666,7849.233333333334,6449.366666666667,6660.9,7054.733333333334,7133.4,7228.859999999999
11,12,7518.0,7670.166666666667,7935.066666666667,6990.533333333334,6941.233333333334,7666.366666666667,6651.733333333334,7012.1,7280.2,7158.5,7282.390000000001
