,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,7094.666666666667,6926.033333333334,7443.933333333333,6860.933333333333,6326.1,6401.0,5796.266666666666,7380.733333333334,5877.433333333333,7393.5,6750.06
1,2,8497.433333333332,8629.2,8605.633333333333,7883.333333333333,7857.233333333334,8555.8,7889.066666666667,8132.966666666666,8135.8,8551.8,8273.826666666666
2,3,8837.133333333333,8915.033333333333,8871.833333333334,8110.766666666666,8413.3,8852.733333333334,8497.4,8513.666666666666,8782.166666666666,8848.7,8664.273333333334
3,4,9019.4,9044.0,9013.466666666667,8370.3,8700.633333333333,9029.3,8767.7,8699.133333333333,9165.133333333333,8974.966666666667,8878.403333333332
4,5,9124.566666666668,9120.9,9126.3,8527.633333333333,8847.666666666666,9149.366666666667,8995.7,8914.633333333333,9317.533333333333,9089.166666666666,9021.346666666666
5,6,9205.466666666667,9237.8,9196.666666666666,8634.933333333332,8972.3,9150.5,9206.5,8946.266666666666,9439.533333333333,9254.733333333334,9124.470000000001
6,7,9290.4,9327.566666666668,9362.6,8699.5,9172.433333333332,9217.9,9299.633333333333,8960.166666666666,9504.966666666667,9315.966666666667,9215.113333333333
7,8,9403.7,9409.833333333334,9459.866666666667,8871.4,9287.933333333332,9332.4,9358.566666666668,9046.533333333333,9607.933333333332,9332.366666666667,9311.053333333333
8,9,9466.033333333333,9441.933333333332,9489.366666666667,8998.833333333334,9321.666666666666,9366.666666666666,9380.133333333333,9151.8,9653.366666666667,9348.266666666666,9361.806666666667
9,10,9555.833333333334,9533.133333333333,9522.833333333334,9062.266666666666,9404.233333333334,9469.0,9430.6,9286.766666666666,9676.366666666667,9401.4,9434.243333333334
10,11,9586.833333333334,9633.4,9522.866666666667,9120.433333333332,9492.7,9485.933333333332,9497.2,9398.533333333333,9683.5,9420.1,9484.15
11,12,9616.4,9645.566666666668,9570.9,9211.3,9553.333333333334,9510.233333333334,9555.266666666666,9455.866666666667,9683.5,9420.1,9522.246666666668
12,13,9662.433333333332,9650.666666666666,9582.733333333334,9374.466666666667,9606.266666666666,9542.633333333333,9614.366666666667,9504.866666666667,9694.7,9435.766666666666,9566.89
13,14,9684.133333333333,9650.8,9693.0,9415.5,9638.0,9575.233333333334,9677.1,9557.466666666667,9712.1,9473.933333333332,9607.726666666667
14,15,9694.1,9671.3,9693.0,9507.566666666668,9685.4,9600.6,9700.2,9603.5,9718.266666666666,9508.566666666668,9638.25
