,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,8278.233333333334,6854.133333333333,8005.0,7269.3,5922.166666666667,5521.966666666666,5998.366666666667,5084.933333333333,8370.433333333332,7938.966666666666,6924.35
1,2,9158.1,8820.966666666667,8604.666666666666,8529.433333333332,8725.033333333333,7753.5,8324.266666666666,7353.2,9386.533333333333,8872.6,8552.829999999998
2,3,9326.733333333334,9094.9,9192.4,8887.266666666666,9202.766666666666,9052.666666666666,9004.466666666667,8644.0,9553.266666666666,9488.433333333332,9144.689999999999
3,4,9489.3,9400.266666666666,9461.366666666667,9394.5,9373.766666666666,9476.933333333332,9172.833333333334,9035.4,9641.5,9605.733333333334,9405.16
4,5,9470.733333333334,9621.2,9582.3,9600.766666666666,9501.233333333334,9650.766666666666,9322.3,9190.833333333334,9346.6,9685.633333333333,9497.236666666668
5,6,9634.033333333333,9705.433333333332,9592.566666666668,9509.266666666666,9653.666666666666,9635.166666666666,9552.1,9376.633333333333,9681.966666666667,9699.466666666667,9604.030000000002
6,7,9663.433333333332,9708.033333333333,9643.3,9685.866666666667,9722.733333333334,9652.066666666668,9592.233333333334,9390.6,9660.9,9272.0,9599.116666666667
7,8,9699.933333333332,9323.2,9658.633333333333,9706.933333333332,9728.0,9675.933333333332,9548.666666666666,9522.6,9378.133333333333,9357.9,9559.993333333334
8,9,9710.366666666667,9666.066666666668,9679.7,9712.533333333333,9728.0,9697.766666666666,9552.3,9646.966666666667,9381.233333333334,9739.266666666666,9651.420000000002
9,10,9663.2,9715.933333333332,9694.666666666666,9713.0,9679.0,9313.233333333334,9563.9,9665.5,9384.6,9743.266666666666,9613.63
10,11,9740.266666666666,9703.2,9695.266666666666,9713.0,9728.166666666666,9670.466666666667,9632.033333333333,9708.566666666668,9712.233333333334,9743.8,9704.7
11,12,9741.466666666667,9314.7,9695.666666666666,9713.066666666668,9728.4,9703.4,9666.466666666667,9717.433333333332,9681.1,9744.6,9670.630000000001
12,13,9743.566666666668,9705.1,9697.533333333333,9713.733333333334,9729.666666666666,9704.133333333333,9707.666666666666,9722.033333333333,9652.4,9746.2,9712.203333333331
13,14,9746.433333333332,9722.966666666667,9699.7,9714.433333333332,9730.666666666666,9705.933333333332,9710.3,9722.533333333333,9718.566666666668,9729.466666666667,9720.1
14,15,9747.9,9399.566666666668,9693.9,9717.133333333333,9731.266666666666,9706.0,9694.933333333332,9723.666666666666,9720.166666666666,9750.733333333334,9688.526666666668
15,16,9748.633333333333,9724.4,9702.566666666668,9717.766666666666,9731.333333333334,9706.4,9730.4,9725.466666666667,9721.7,9751.0,9725.966666666667
16,17,9748.633333333333,9725.666666666666,9704.133333333333,9719.266666666666,9732.0,9707.6,9732.233333333334,9728.7,9722.6,9751.0,9727.183333333332
17,18,9748.633333333333,9726.333333333334,9705.9,9720.633333333333,9732.0,9706.533333333333,9732.033333333333,9731.366666666667,9722.766666666666,9751.0,9727.72
18,19,9749.066666666668,9728.833333333334,9706.833333333334,9722.0,9732.0,9711.2,9732.8,9701.133333333333,9723.533333333333,9751.0,9725.84
19,20,9749.066666666668,9734.966666666667,9707.0,9722.4,9732.6,9713.333333333334,9713.833333333334,9739.533333333333,9727.0,9751.0,9729.073333333334
20,21,9747.8,9738.266666666666,9707.0,9722.733333333334,9733.333333333334,9717.2,9737.133333333333,9740.6,9730.0,9751.0,9732.506666666668
21,22,9744.866666666667,9740.066666666668,9707.0,9723.866666666667,9733.1,9718.0,9739.066666666668,9741.0,9733.4,9751.0,9733.136666666667
22,23,9715.866666666667,9742.133333333333,9707.233333333334,9724.666666666666,9733.8,9718.466666666667,9743.433333333332,9741.0,9702.166666666666,9751.0,9727.976666666666
23,24,9748.7,9743.6,9708.333333333334,9726.1,9735.066666666668,9718.2,9746.7,9741.0,9735.966666666667,9750.733333333334,9735.439999999999
24,25,9749.0,9744.666666666666,9708.533333333333,9694.466666666667,9736.366666666667,9719.133333333333,9749.0,9741.0,9735.8,9751.4,9732.936666666665
25,26,9749.0,9746.0,9708.466666666667,9729.066666666668,9738.533333333333,9719.6,9749.0,9741.0,9736.0,9751.8,9736.846666666666
26,27,9749.0,9747.6,9708.6,9731.6,9740.2,9720.0,9749.0,9741.0,9736.0,9752.366666666667,9737.536666666667
27,28,9750.5,9734.933333333332,9707.466666666667,9733.9,9740.8,9720.0,9749.0,9706.433333333332,9736.0,9753.066666666668,9733.210000000001
28,29,9751.4,9752.4,9711.833333333334,9735.5,9741.366666666667,9720.0,9749.0,9742.5,9736.0,9412.233333333334,9705.223333333333
29,30,9751.7,9755.2,9714.966666666667,9737.2,9741.8,9720.0,9749.0,9742.0,9736.0,9754.0,9740.186666666666
30,31,9752.3,9756.0,9717.3,9675.266666666666,9741.866666666667,9720.0,9749.0,9742.6,9736.0,9754.0,9734.433333333334
31,32,9755.033333333333,9756.0,9722.766666666666,9708.066666666668,9738.033333333333,9720.266666666666,9749.0,9726.833333333334,9736.0,9754.0,9736.6
32,33,9756.266666666666,9756.0,9724.266666666666,9741.3,9709.666666666666,9720.533333333333,9732.6,9744.033333333333,9736.0,9754.066666666668,9737.473333333332
33,34,9757.466666666667,9756.0,9724.266666666666,9741.266666666666,9725.566666666668,9720.933333333332,9749.0,9745.666666666666,9736.0,9754.0,9741.016666666666
34,35,9758.1,9756.0,9724.666666666666,9742.0,9742.0,9721.133333333333,9749.2,9749.766666666666,9736.0,9754.0,9743.286666666665
35,36,9758.233333333334,9756.0,9724.666666666666,9741.933333333332,9742.0,9721.666666666666,9749.466666666667,9427.933333333332,9736.0,9754.0,9711.19
36,37,9758.566666666668,9755.8,9724.6,9741.633333333333,9742.0,9722.666666666666,9749.733333333334,9756.0,9736.0,9754.0,9744.1
37,38,9758.666666666666,9756.0,9725.066666666668,9743.0,9742.0,9690.7,9750.2,9756.0,9736.633333333333,9754.0,9741.226666666666
38,39,9758.9,9756.0,9725.1,9711.133333333333,9743.6,9725.166666666666,9750.9,9752.0,9736.866666666667,9754.0,9741.366666666665
39,40,9759.2,9756.0,9725.466666666667,9744.666666666666,9747.2,9726.3,9751.033333333333,9756.0,9737.1,9754.0,9745.696666666667
40,41,9759.533333333333,9756.0,9727.0,9746.466666666667,9750.0,9727.133333333333,9751.033333333333,9756.0,9737.433333333332,9754.0,9746.46
41,42,9759.833333333334,9756.066666666668,9678.766666666666,9748.033333333333,9751.6,9728.3,9751.3,9756.0,9737.7,9754.0,9742.16
42,43,9760.0,9756.133333333333,9727.866666666667,9749.8,9754.0,9729.966666666667,9751.0,9756.0,9739.266666666666,9754.0,9747.803333333333
43,44,9760.0,9756.133333333333,9728.4,9718.366666666667,9754.0,9731.833333333334,9752.1,9756.0,9724.9,9755.2,9743.693333333333
44,45,9760.0,9756.066666666668,9728.866666666667,9751.0,9754.0,9732.766666666666,9752.8,9756.0,9727.366666666667,9431.133333333333,9715.0
45,46,9434.666666666666,9756.133333333333,9729.566666666668,9742.866666666667,9754.0,9733.0,9753.566666666668,9756.0,9728.0,9413.6,9680.140000000001
46,47,9760.0,9756.133333333333,9728.833333333334,9747.833333333334,9754.0,9733.0,9737.633333333333,9756.0,9744.6,9740.4,9745.843333333334
47,48,9760.0,9756.266666666666,9728.833333333334,9748.8,9754.0,9733.0,9754.133333333333,9756.0,9744.6,9741.433333333332,9747.706666666667
48,49,9760.0,9756.333333333334,9729.833333333334,9745.633333333333,9754.2,9733.066666666668,9754.133333333333,9756.0,9744.9,9757.8,9749.189999999999
49,50,9760.0,9756.6,9730.333333333334,9756.866666666667,9754.2,9733.2,9754.333333333334,9756.0,9747.2,9758.0,9750.673333333332
