,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,3632.633333333333,3913.6666666666665,4232.033333333334,3589.5333333333333,3796.8,4452.2,3688.9333333333334,3457.733333333333,4214.766666666666,3967.866666666667,3894.6166666666672
1,2,4195.266666666666,3846.3333333333335,3394.233333333333,3623.4333333333334,3901.4333333333334,3451.366666666667,3689.366666666667,3873.9,4042.2,3826.9333333333334,3784.4466666666667
2,3,3900.766666666667,4369.966666666666,3364.9,3902.5,3530.5333333333333,3987.133333333333,4007.6,3817.766666666667,2729.0666666666666,4342.366666666667,3795.2600000000007
3,4,4446.7,4308.5,3379.6,3729.1666666666665,3016.1666666666665,3423.3333333333335,5301.8,4518.1,2507.0,3781.366666666667,3841.1733333333336
4,5,3239.9,4945.9,3338.366666666667,3843.4333333333334,3357.1666666666665,3455.3,5293.0,4612.733333333334,2791.366666666667,2993.1666666666665,3787.033333333333
5,6,3837.5,4838.2,4041.866666666667,3539.266666666667,3660.0666666666666,3442.133333333333,5826.166666666667,4935.033333333334,3034.866666666667,3265.0,4042.0100000000007
6,7,4526.366666666667,5265.366666666667,4170.133333333333,3924.0,3579.366666666667,3486.0,6298.533333333334,5267.366666666667,2536.5333333333333,4100.766666666666,4315.443333333334
7,8,3643.266666666667,4957.033333333334,4222.533333333334,4735.466666666666,3705.3,3684.6,5625.6,4942.0,3389.0,4043.4333333333334,4294.823333333334
8,9,4915.1,5351.133333333333,4654.133333333333,5252.433333333333,3757.6,3409.766666666667,6080.833333333333,4990.466666666666,3971.9666666666667,3561.1,4594.453333333333
9,10,6050.0,5646.266666666666,4590.3,6127.033333333334,4315.266666666666,3861.233333333333,6447.5,5538.933333333333,4181.833333333333,3289.233333333333,5004.76
10,11,5649.666666666667,5353.833333333333,4979.466666666666,5791.633333333333,4467.933333333333,3572.233333333333,6370.2,4886.6,4784.533333333334,2721.866666666667,4857.796666666667
11,12,5969.566666666667,5895.333333333333,5369.833333333333,5889.866666666667,3862.9333333333334,3374.266666666667,5697.8,5049.933333333333,5076.933333333333,3996.1,5018.256666666666
12,13,5358.9,5374.4,4626.333333333333,6101.6,3317.1,3842.9333333333334,6358.766666666666,4735.066666666667,5436.433333333333,3751.5666666666666,4890.3099999999995
13,14,5591.4,5744.4,4884.6,5431.366666666667,3236.866666666667,4088.0333333333333,6317.133333333333,4600.133333333333,5853.366666666667,3444.633333333333,4919.193333333333
14,15,5713.033333333334,4979.233333333334,3913.8,5221.8,3010.266666666667,4199.766666666666,6166.033333333334,5026.366666666667,5949.966666666666,3938.9333333333334,4811.92
15,16,5392.666666666667,4962.5,3299.4,5163.333333333333,4025.866666666667,4504.133333333333,5862.8,5678.633333333333,5905.966666666666,3955.3,4875.06
