,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,4407.233333333334,6330.133333333333,4820.733333333334,5222.266666666666,4895.966666666666,6309.766666666666,7204.833333333333,6680.733333333334,4246.333333333333,5763.0,5588.1
1,2,6039.3,8244.7,6596.066666666667,7379.9,5997.4,8435.733333333334,8145.066666666667,8299.633333333333,5551.766666666666,6586.533333333334,7127.610000000001
2,3,8191.533333333334,8722.866666666667,8005.6,8481.266666666666,7625.833333333333,8808.533333333333,8470.533333333333,8736.166666666666,7712.666666666667,7911.8,8266.68
3,4,8621.333333333334,8723.6,8345.833333333334,8643.533333333333,8921.233333333334,9125.7,8754.666666666666,8943.266666666666,8669.266666666666,8470.766666666666,8721.92
4,5,8945.4,9049.866666666667,8711.5,8821.466666666667,9238.233333333334,9203.233333333334,8942.066666666668,9058.366666666667,8807.066666666668,8896.3,8967.350000000002
5,6,9043.5,9168.766666666666,8940.033333333333,9028.966666666667,9337.1,9255.3,9145.3,9190.2,9011.533333333333,9050.1,9117.079999999998
6,7,9222.733333333334,9317.9,9116.7,9166.333333333334,9382.866666666667,9401.433333333332,9259.333333333334,9282.633333333333,9184.6,9177.933333333332,9251.246666666668
7,8,9373.233333333334,9442.966666666667,9267.266666666666,9218.633333333333,9431.933333333332,9402.9,9288.5,9360.733333333334,9244.1,9290.4,9332.066666666668
8,9,9506.833333333334,9491.966666666667,9369.966666666667,9345.4,9485.4,9419.8,9353.366666666667,9437.233333333334,9269.733333333334,9362.033333333333,9404.173333333334
9,10,9543.433333333332,9524.2,9386.133333333333,9429.766666666666,9529.633333333333,9452.833333333334,9412.1,9513.333333333334,9376.5,9409.866666666667,9457.779999999999
10,11,9650.0,9555.533333333333,9402.7,9464.7,9602.366666666667,9526.666666666666,9412.1,9532.566666666668,9450.833333333334,9447.766666666666,9504.523333333333
11,12,9651.6,9608.833333333334,9438.433333333332,9522.333333333334,9602.366666666667,9608.866666666667,9475.066666666668,9579.966666666667,9460.8,9448.733333333334,9539.7
12,13,9659.333333333334,9609.733333333334,9489.466666666667,9535.533333333333,9617.866666666667,9641.633333333333,9480.9,9641.0,9479.633333333333,9448.733333333334,9560.383333333333
13,14,9659.333333333334,9618.166666666666,9521.633333333333,9573.5,9629.433333333332,9648.966666666667,9480.9,9686.233333333334,9569.9,9464.4,9585.246666666666
14,15,9672.666666666666,9625.466666666667,9579.466666666667,9573.5,9641.866666666667,9649.033333333333,9499.633333333333,9686.233333333334,9601.633333333333,9481.666666666666,9601.116666666667
15,16,9672.666666666666,9629.266666666666,9579.466666666667,9612.333333333334,9643.033333333333,9656.7,9517.633333333333,9693.0,9601.633333333333,9500.433333333332,9610.616666666667
16,17,9672.966666666667,9629.866666666667,9607.733333333334,9613.1,9643.033333333333,9668.133333333333,9534.066666666668,9709.966666666667,9643.233333333334,9500.733333333334,9622.283333333335
17,18,9672.966666666667,9634.3,9630.866666666667,9613.333333333334,9643.033333333333,9671.433333333332,9567.4,9710.8,9647.633333333333,9533.833333333334,9632.56
18,19,9673.366666666667,9644.933333333332,9630.866666666667,9615.633333333333,9643.033333333333,9674.8,9584.366666666667,9711.266666666666,9647.8,9563.533333333333,9638.960000000001
19,20,9685.966666666667,9655.933333333332,9634.2,9616.933333333332,9654.3,9685.466666666667,9648.666666666666,9712.7,9648.7,9652.833333333334,9659.569999999998
20,21,9694.933333333332,9660.2,9641.7,9617.366666666667,9662.7,9689.1,9695.5,9713.8,9663.533333333333,9699.4,9673.823333333334
21,22,9697.8,9671.566666666668,9642.233333333334,9617.366666666667,9666.733333333334,9695.933333333332,9719.1,9715.766666666666,9663.566666666668,9715.0,9680.506666666666
22,23,9709.633333333333,9681.7,9660.633333333333,9617.433333333332,9666.733333333334,9705.466666666667,9723.4,9717.066666666668,9676.933333333332,9717.4,9687.64
23,24,9711.366666666667,9688.533333333333,9670.533333333333,9618.5,9666.933333333332,9706.566666666668,9724.9,9717.666666666666,9683.433333333332,9718.766666666666,9690.72
24,25,9712.666666666666,9702.333333333334,9670.533333333333,9618.6,9666.933333333332,9708.066666666668,9725.6,9717.666666666666,9689.2,9725.633333333333,9693.723333333333
25,26,9714.733333333334,9705.866666666667,9674.233333333334,9624.066666666668,9676.933333333332,9710.133333333333,9726.666666666666,9718.266666666666,9699.2,9726.733333333334,9697.683333333332
26,27,9717.0,9707.7,9677.533333333333,9624.066666666668,9683.7,9711.2,9727.466666666667,9719.066666666668,9700.4,9729.6,9699.773333333333
