,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,8786.566666666668,7070.5,4516.666666666667,5676.133333333333,6366.533333333334,6251.533333333334,5636.033333333334,5665.4,6175.666666666667,6409.566666666667,6255.46
1,2,9540.966666666667,8267.966666666667,7749.5,8569.233333333334,7680.933333333333,9272.4,8169.3,7085.033333333334,8962.9,9180.266666666666,8447.85
2,3,9702.633333333333,8629.3,9551.766666666666,9460.3,8487.3,9635.966666666667,9175.233333333334,9093.933333333332,9531.833333333334,9647.233333333334,9291.55
3,4,9707.6,9179.166666666666,9699.233333333334,9712.666666666666,8841.766666666666,9726.6,9626.733333333334,9488.4,9616.633333333333,9738.8,9533.759999999998
4,5,9709.433333333332,9445.0,9701.033333333333,9720.9,9240.0,9734.9,9746.466666666667,9682.7,9617.733333333334,9741.7,9633.986666666668
5,6,9709.433333333332,9644.633333333333,9702.4,9721.2,9515.433333333332,9736.1,9748.0,9696.466666666667,9619.5,9743.866666666667,9683.703333333335
6,7,9716.533333333333,9695.5,9703.666666666666,9721.466666666667,9701.233333333334,9736.9,9748.0,9705.366666666667,9621.6,9748.0,9709.826666666666
7,8,9723.166666666666,9715.0,9704.733333333334,9721.933333333332,9711.933333333332,9738.366666666667,9748.0,9709.0,9622.5,9752.0,9714.663333333334
8,9,9728.866666666667,9742.866666666667,9705.0,9722.666666666666,9713.3,9742.8,9748.0,9712.4,9623.0,9756.5,9719.539999999999
9,10,9730.0,9744.0,9705.0,9724.533333333333,9715.4,9745.733333333334,9748.0,9717.333333333334,9623.0,9759.0,9721.2
10,11,9732.0,9744.0,9705.533333333333,9727.533333333333,9716.566666666668,9750.733333333334,9748.0,9718.633333333333,9623.0,9759.0,9722.5
11,12,9736.0,9744.0,9707.133333333333,9728.8,9724.033333333333,9754.0,9748.0,9719.333333333334,9623.0,9759.0,9724.33
12,13,9740.566666666668,9744.0,9711.933333333332,9730.2,9732.033333333333,9754.0,9748.0,9723.933333333332,9624.866666666667,9759.0,9726.853333333334
13,14,9744.633333333333,9744.0,9716.233333333334,9733.4,9738.3,9754.0,9748.0,9729.633333333333,9627.433333333332,9759.0,9729.463333333333
14,15,9745.533333333333,9744.0,9723.433333333332,9735.2,9743.2,9754.0,9748.066666666668,9737.433333333332,9630.333333333334,9759.066666666668,9732.026666666667
15,16,9746.733333333334,9744.033333333333,9727.9,9736.533333333333,9745.2,9754.0,9748.333333333334,9744.6,9633.166666666666,9759.333333333334,9733.983333333334
16,17,9748.233333333334,9744.266666666666,9729.133333333333,9737.366666666667,9746.0,9754.0,9749.0,9745.266666666666,9636.0,9759.666666666666,9734.893333333333
17,18,9751.0,9745.633333333333,9730.066666666668,9737.7,9746.0,9754.0,9753.433333333332,9746.533333333333,9638.7,9759.966666666667,9736.303333333333
18,19,9753.433333333332,9750.6,9732.8,9738.5,9746.0,9754.0,9758.5,9748.133333333333,9643.566666666668,9760.6,9738.613333333333
19,20,9754.8,9755.266666666666,9735.8,9739.133333333333,9746.0,9754.0,9763.4,9750.233333333334,9679.4,9761.2,9743.923333333332
20,21,9755.0,9759.166666666666,9738.533333333333,9739.733333333334,9746.0,9754.0,9767.0,9752.333333333334,9714.966666666667,9761.866666666667,9748.86
21,22,9755.0,9762.0,9739.0,9740.0,9746.0,9754.0,9767.0,9753.3,9749.7,9762.0,9752.8
22,23,9755.0,9762.0,9739.0,9740.1,9746.0,9754.0,9767.0,9754.0,9759.0,9762.0,9753.810000000001
23,24,9755.0,9762.0,9739.0,9740.933333333332,9746.0,9754.0,9767.0,9754.0,9759.0,9762.0,9753.893333333333
24,25,9755.0,9762.0,9739.0,9742.6,9746.0,9754.0,9767.0,9754.0,9759.0,9762.0,9754.060000000001
25,26,9755.0,9762.0,9739.0,9743.933333333332,9746.0,9754.266666666666,9767.0,9754.0,9759.0,9762.0,9754.22
26,27,9755.0,9762.0,9739.0,9744.933333333332,9746.0,9755.066666666668,9767.0,9754.0,9759.0,9762.0,9754.4
27,28,9755.0,9762.0,9739.0,9745.0,9746.4,9756.266666666666,9767.0,9754.0,9759.0,9762.0,9754.566666666668
28,29,9755.0,9762.0,9739.1,9745.0,9747.466666666667,9757.333333333334,9767.0,9754.0,9759.0,9762.0,9754.789999999999
29,30,9755.0,9762.0,9739.366666666667,9745.0,9748.8,9758.0,9767.0,9755.2,9759.0,9762.0,9755.136666666667
30,31,9755.0,9762.0,9739.533333333333,9745.0,9750.633333333333,9758.066666666668,9767.0,9758.2,9759.0,9762.0,9755.643333333333
31,32,9755.8,9762.0,9740.5,9745.0,9751.7,9758.466666666667,9767.0,9760.833333333334,9759.0,9762.0,9756.23
32,33,9757.133333333333,9762.0,9741.4,9745.0,9752.0,9759.066666666668,9767.0,9762.933333333332,9759.0,9762.0,9756.753333333334
33,34,9759.466666666667,9762.0,9742.7,9746.3,9753.933333333332,9759.666666666666,9767.0,9763.0,9759.0,9762.0,9757.506666666666
34,35,9761.333333333334,9762.0,9744.3,9748.1,9756.6,9760.0,9767.0,9763.0,9759.0,9762.0,9758.333333333334
35,36,9763.0,9762.0,9745.1,9750.1,9758.733333333334,9760.0,9767.0,9763.0,9759.0,9762.0,9758.993333333334
36,37,9763.0,9762.0,9745.8,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.28
37,38,9763.0,9762.0,9746.0,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.3
38,39,9763.0,9762.0,9746.0,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.3
39,40,9763.0,9762.0,9746.0,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.3
40,41,9763.0,9762.0,9746.0,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.3
41,42,9763.0,9762.0,9746.0,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.3
42,43,9763.0,9762.0,9746.333333333334,9751.0,9760.0,9760.0,9767.0,9763.0,9759.0,9762.0,9759.333333333334
43,44,9763.0,9762.0,9747.733333333334,9751.0,9760.1,9760.0,9767.0,9763.0,9759.0,9762.0,9759.483333333334
44,45,9763.0,9762.0,9749.9,9751.0,9760.7,9760.0,9767.0,9763.0,9759.0,9762.0,9759.76
45,46,9763.0,9762.0,9752.2,9751.0,9761.6,9760.0,9767.0,9763.0,9759.0,9762.0,9760.079999999998
46,47,9763.0,9762.0,9754.0,9751.0,9762.4,9760.0,9767.0,9763.0,9759.0,9762.0,9760.34
47,48,9763.0,9762.0,9754.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.4
48,49,9763.0,9762.0,9754.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.4
49,50,9763.0,9762.0,9754.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.4
50,51,9763.0,9762.0,9754.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.4
51,52,9763.0,9762.0,9754.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.4
52,53,9763.0,9762.0,9754.8,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.48
53,54,9763.0,9762.0,9755.6,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.560000000001
54,55,9763.0,9762.0,9756.8,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.68
55,56,9763.0,9762.0,9758.466666666667,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.846666666668
56,57,9763.0,9762.0,9759.2,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.92
57,58,9763.0,9762.0,9759.6,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9760.960000000001
58,59,9763.0,9762.0,9760.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9761.0
59,60,9763.0,9762.0,9760.0,9751.0,9763.0,9760.0,9767.0,9763.0,9759.0,9762.0,9761.0
60,61,9763.0,9762.0,9760.0,9751.0,9763.266666666666,9760.0,9767.0,9763.0,9759.0,9762.0,9761.026666666667
61,62,9763.0,9762.0,9760.0,9751.0,9764.333333333334,9760.0,9767.0,9763.0,9759.0,9762.0,9761.133333333335
62,63,9763.0,9762.0,9760.0,9751.0,9765.4,9760.0,9767.0,9763.0,9759.0,9762.0,9761.24
63,64,9763.0,9762.0,9760.0,9751.0,9766.6,9760.0,9767.0,9763.0,9759.0,9762.0,9761.36
64,65,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9763.0,9759.0,9762.0,9761.4
65,66,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9763.0,9759.0,9762.0,9761.4
66,67,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9763.8,9759.0,9762.0,9761.48
67,68,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9765.0,9759.0,9762.0,9761.6
68,69,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9765.8,9759.0,9762.0,9761.68
69,70,9763.0,9762.0,9760.0,9751.0,9767.0,9760.0,9767.0,9767.0,9759.0,9762.0,9761.8
