,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,82432,90091.5
1,2,82432,88920.4
2,3,82432,87583.96666666666
3,4,82432,86099.96666666666
4,5,81633,84827.56666666667
5,6,81594,84197.6
6,7,81594,83857.43333333333
7,8,81274,83103.8
8,9,80957,82563.73333333334
9,10,80891,81908.83333333333
10,11,80124,81401.16666666667
11,12,80124,81164.93333333333
12,13,78925,80885.9
13,14,78925,80556.13333333333
14,15,78925,80362.5
15,16,78925,80025.1
16,17,78925,79783.96666666666
17,18,78564,79537.66666666667
18,19,77631,79232.23333333334
19,20,77410,78940.03333333334
20,21,77262,78700.53333333334
21,22,76432,78264.4
22,23,76432,77978.36666666667
23,24,76105,77532.1
24,25,76033,77176.13333333333
25,26,75436,76933.33333333333
26,27,75163,76659.73333333334
27,28,74800,76320.7
28,29,74800,75892.6
29,30,73331,75677.9
30,31,73331,75539.36666666667
31,32,73331,75169.33333333333
32,33,73331,75053.76666666666
33,34,73331,74958.7
34,35,73331,74861.46666666666
35,36,73331,74693.1
36,37,72870,74512.7
37,38,72870,74475.23333333334
38,39,72446,74364.9
39,40,72446,74275.66666666667
40,41,72446,74037.86666666667
41,42,72446,73909.43333333333
42,43,72308,73607.1
43,44,72308,73310.63333333333
44,45,72308,73113.86666666667
45,46,72308,72968.73333333334
46,47,72308,72856.83333333333
47,48,71244,72605.36666666667
48,49,71244,72480.23333333334
49,50,71244,72378.5
50,51,71244,72205.1
51,52,71244,72065.33333333333
52,53,71027,71893.6
53,54,70684,71592.8
54,55,70262,71333.93333333333
55,56,70005,71120.23333333334
56,57,70005,70921.83333333333
57,58,69771,70655.8
58,59,69622,70452.9
59,60,69431,70305.9
60,61,69431,70095.13333333333
61,62,69431,69944.86666666667
62,63,69100,69720.16666666667
63,64,67766,69495.8
64,65,67766,69397.73333333334
65,66,67766,69307.7
66,67,67766,69108.53333333334
67,68,67766,69015.86666666667
68,69,67238,68802.76666666666
69,70,67238,68588.6
70,71,67238,68382.43333333333
71,72,67238,68235.36666666667
72,73,67238,68056.76666666666
73,74,66940,67924.63333333333
74,75,66940,67771.26666666666
75,76,66940,67655.96666666666
76,77,66940,67583.2
77,78,66522,67417.1
78,79,66121,67178.6
79,80,65957,66913.06666666667
80,81,65400,66653.7
81,82,65400,66483.26666666666
82,83,65400,66355.96666666666
83,84,64853,66132.66666666667
84,85,64853,65986.26666666666
85,86,64853,65828.23333333334
86,87,64853,65709.43333333333
87,88,64139,65420.333333333336
88,89,64139,65306.86666666667
89,90,63447,64915.13333333333
90,91,63447,64751.6
91,92,63447,64512.7
92,93,63417,64286.333333333336
93,94,63417,64152.333333333336
94,95,63417,63930.26666666667
95,96,63417,63873.86666666667
96,97,62895,63696.0
97,98,62851,63546.333333333336
98,99,62851,63463.4
99,100,62739,63347.73333333333
