,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,88899,94053.76666666666
1,2,89639,94760.46666666666
2,3,92025,95364.86666666667
3,4,92536,96019.06666666667
4,5,92536,96122.03333333334
5,6,92536,96018.73333333334
6,7,92536,96365.5
7,8,91868,95768.76666666666
8,9,91868,95413.66666666667
9,10,92252,95588.43333333333
10,11,92252,95373.1
11,12,90911,94705.2
12,13,89442,94621.4
13,14,89442,94655.9
14,15,91441,95217.8
15,16,92252,96229.36666666667
16,17,92264,96209.1
17,18,92264,95976.5
18,19,91903,95200.7
19,20,92264,95222.93333333333
20,21,92264,95576.03333333334
21,22,92264,95883.16666666667
22,23,90583,97134.86666666667
23,24,92264,97207.26666666666
24,25,92264,98125.13333333333
25,26,92264,97329.8
26,27,92264,96607.86666666667
27,28,90801,96602.2
28,29,90801,96302.8
29,30,94479,96805.9
30,31,94479,97200.06666666667
31,32,94479,97334.4
32,33,95323,98007.83333333333
33,34,96070,98620.1
34,35,96335,98505.66666666667
35,36,97381,98771.36666666667
36,37,97381,99044.93333333333
37,38,96558,98913.73333333334
38,39,96558,98511.7
39,40,96558,98414.93333333333
40,41,96558,98484.26666666666
41,42,96776,98850.9
42,43,96776,98849.9
43,44,97355,98998.96666666666
44,45,97609,98808.63333333333
45,46,97609,98701.16666666667
46,47,96888,98456.06666666667
47,48,97256,98665.96666666666
48,49,97256,98686.7
49,50,97256,98980.3
50,51,97256,99159.4
51,52,97256,99372.9
52,53,97256,99126.4
53,54,97256,99199.9
54,55,97304,99032.86666666667
55,56,97304,99000.7
56,57,97304,99066.56666666667
57,58,97304,98830.23333333334
58,59,97304,99181.36666666667
59,60,97502,99205.8
60,61,97502,99152.53333333334
61,62,96884,98714.93333333333
62,63,96880,98467.3
63,64,96880,98582.2
64,65,95575,98453.96666666666
65,66,97158,98668.3
66,67,97158,99163.83333333333
67,68,96257,98970.73333333334
68,69,96647,99225.13333333333
69,70,96647,99257.36666666667
70,71,96647,99127.03333333334
71,72,96804,99176.5
72,73,97189,99091.0
73,74,97189,99412.46666666666
74,75,97189,99160.1
75,76,97189,99074.56666666667
76,77,97189,99268.83333333333
77,78,97189,99052.23333333334
78,79,97189,99036.86666666667
79,80,97189,98966.76666666666
80,81,97189,98947.56666666667
81,82,97274,98956.2
82,83,97274,99295.83333333333
83,84,97803,98969.16666666667
84,85,97803,99004.73333333334
85,86,98274,99289.73333333334
86,87,98169,99300.1
87,88,98507,99267.03333333334
88,89,97883,98983.2
89,90,96719,98853.93333333333
90,91,97074,98737.73333333334
91,92,96160,98538.73333333334
92,93,95880,98505.5
93,94,96160,98294.86666666667
94,95,96160,97925.06666666667
95,96,95088,97809.33333333333
96,97,95088,97624.1
97,98,95088,97583.93333333333
98,99,95088,97730.93333333333
99,100,94589,97747.03333333334
