,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,88480,93339.0
1,2,88398,92757.73333333334
2,3,87878,92344.9
3,4,87878,92958.56666666667
4,5,84169,92895.33333333333
5,6,88482,93131.46666666666
6,7,88706,93089.26666666666
7,8,88706,93050.53333333334
8,9,88706,92474.43333333333
9,10,87303,92110.1
10,11,88706,92222.73333333334
11,12,85339,91780.1
12,13,85339,92781.06666666667
13,14,87818,93148.73333333334
14,15,87818,93240.7
15,16,87459,93103.7
16,17,87459,92603.9
17,18,87459,92936.36666666667
18,19,87459,92470.63333333333
19,20,87459,92401.6
20,21,87459,92935.83333333333
21,22,87459,92906.0
22,23,87459,91963.16666666667
23,24,87459,92008.3
24,25,87459,92067.56666666667
25,26,87459,92238.8
26,27,87459,92484.83333333333
27,28,87459,92954.03333333334
28,29,87459,93216.6
29,30,87453,92237.56666666667
30,31,87172,92051.96666666666
31,32,87172,91836.46666666666
32,33,84146,91571.53333333334
33,34,87172,91432.0
34,35,87172,91340.66666666667
35,36,87310,91123.8
36,37,87310,91306.2
37,38,87310,91085.96666666666
38,39,87310,91140.53333333334
39,40,87310,90585.8
40,41,86849,91511.46666666666
41,42,86849,91812.6
42,43,86849,91721.63333333333
43,44,87310,91121.06666666667
44,45,87310,90820.6
45,46,87322,91485.56666666667
46,47,87322,91581.33333333333
47,48,87322,91029.8
48,49,87322,92334.7
49,50,86969,92232.1
50,51,86969,92768.43333333333
51,52,86969,93063.73333333334
52,53,86969,93229.3
53,54,86969,92997.1
54,55,86969,93161.6
55,56,86969,93234.26666666666
56,57,86969,93709.56666666667
57,58,86969,93527.13333333333
58,59,86969,93868.6
59,60,86969,94462.03333333334
60,61,86969,94395.76666666666
61,62,88548,94712.9
62,63,88548,94617.46666666666
63,64,88548,94245.63333333333
64,65,88548,93806.7
65,66,88548,93632.43333333333
66,67,87428,94054.53333333334
67,68,90490,94444.36666666667
68,69,89575,93746.2
69,70,89575,94183.63333333333
70,71,89575,93872.0
71,72,89575,93849.86666666667
72,73,90092,93732.13333333333
73,74,90092,93899.1
74,75,90530,94148.4
75,76,90530,94057.56666666667
76,77,90530,94585.96666666666
77,78,91762,94775.66666666667
78,79,91519,94702.43333333333
79,80,91519,94714.53333333334
80,81,89781,94588.23333333334
81,82,92685,95116.86666666667
82,83,92685,95391.46666666666
83,84,92105,95233.06666666667
84,85,91925,95154.2
85,86,91925,95476.3
86,87,92418,95742.93333333333
87,88,93323,96003.8
88,89,91457,95738.0
89,90,91457,95989.2
90,91,91457,95533.56666666667
91,92,93068,95734.1
92,93,93181,95369.96666666666
93,94,93829,95679.73333333334
94,95,93829,95255.8
95,96,93342,95468.83333333333
96,97,93342,95279.0
97,98,93342,95434.3
98,99,92761,95140.0
99,100,89845,94917.36666666667
