,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,87865,92330.43333333333
1,2,87865,91496.8
2,3,87865,91182.36666666667
3,4,86297,90414.33333333333
4,5,86297,89893.06666666667
5,6,86297,89725.56666666667
6,7,85775,89235.56666666667
7,8,85541,88829.86666666667
8,9,85146,88287.23333333334
9,10,83811,87854.16666666667
10,11,82545,87337.6
11,12,82545,86820.23333333334
12,13,82545,86382.03333333334
13,14,82545,85720.46666666666
14,15,82545,85521.8
15,16,82545,85413.0
16,17,81282,84875.4
17,18,81282,84547.56666666667
18,19,81282,84096.36666666667
19,20,81282,83768.7
20,21,81282,83515.93333333333
21,22,79803,83168.0
22,23,79803,82971.4
23,24,79803,82703.56666666667
24,25,79803,82550.73333333334
25,26,79803,82354.56666666667
26,27,79803,82128.63333333333
27,28,77690,81708.3
28,29,77690,81511.0
29,30,77690,81326.63333333333
30,31,77690,81248.06666666667
31,32,77690,80978.5
32,33,77640,80491.53333333334
33,34,77574,79996.5
34,35,77574,79746.2
35,36,77574,79687.43333333333
36,37,77574,79378.6
37,38,77574,79226.1
38,39,77574,78922.53333333334
39,40,77574,78751.76666666666
40,41,77463,78565.63333333333
41,42,77463,78518.2
42,43,76467,78346.03333333334
43,44,76467,78184.5
44,45,76467,77900.6
45,46,76467,77686.6
46,47,76131,77358.63333333333
47,48,76131,77157.8
48,49,75805,76986.83333333333
49,50,75634,76701.46666666666
50,51,75634,76532.03333333334
51,52,75634,76480.96666666666
52,53,74341,76217.2
53,54,74301,76015.93333333333
54,55,74301,75810.86666666667
55,56,74301,75777.93333333333
56,57,74301,75580.33333333333
57,58,74301,75437.66666666667
58,59,72764,75023.43333333333
59,60,72764,74956.5
60,61,72764,74786.26666666666
61,62,72764,74708.03333333334
62,63,72764,74527.93333333333
63,64,72764,74471.33333333333
64,65,72764,74371.1
65,66,72764,74229.13333333333
66,67,72764,74099.43333333333
67,68,72764,74047.93333333333
68,69,72764,74045.73333333334
69,70,72764,73985.93333333333
70,71,72146,73825.83333333333
71,72,72146,73780.7
72,73,72146,73705.0
73,74,72146,73650.8
74,75,72146,73628.2
75,76,72146,73586.93333333333
76,77,72022,73317.83333333333
77,78,72022,73284.16666666667
78,79,72022,73263.96666666666
79,80,71894,73090.3
80,81,71894,73052.0
81,82,71894,72940.26666666666
82,83,71497,72709.33333333333
83,84,71497,72577.86666666667
84,85,71497,72469.86666666667
85,86,71497,72386.43333333333
86,87,71192,72172.53333333334
87,88,71192,72041.13333333333
88,89,71192,71972.3
89,90,71192,71806.4
90,91,71192,71711.9
91,92,70593,71637.4
92,93,70593,71539.53333333334
93,94,70459,71490.46666666666
94,95,70175,71386.36666666667
95,96,70175,71310.33333333333
96,97,70175,71239.43333333333
97,98,70048,71044.66666666667
98,99,70048,70961.7
99,100,70048,70886.43333333333
