,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,87334,90189.4
1,2,87200,88649.66666666667
2,3,86005,87560.86666666667
3,4,86005,87257.03333333334
4,5,86005,87055.4
5,6,85079,86736.43333333333
6,7,85079,86389.4
7,8,83927,85986.8
8,9,83927,85741.46666666666
9,10,83927,85275.6
10,11,83927,85129.76666666666
11,12,83927,84672.76666666666
12,13,83730,84374.4
13,14,83279,83906.3
14,15,83279,83760.36666666667
15,16,83279,83760.86666666667
16,17,83269,83747.06666666667
17,18,82531,83428.5
18,19,81909,83186.86666666667
19,20,81909,82991.33333333333
20,21,81909,82799.06666666667
21,22,81909,82685.5
22,23,81909,82534.2
23,24,81909,82410.96666666666
24,25,81758,82130.6
25,26,81758,82009.13333333333
26,27,81643,81800.7
27,28,81615,81754.36666666667
28,29,81202,81663.7
29,30,81202,81628.96666666666
30,31,80899,81471.23333333334
31,32,80899,81324.03333333334
32,33,80899,81228.16666666667
33,34,80537,81105.26666666666
34,35,80243,81029.1
35,36,79843,80882.83333333333
36,37,78721,80297.33333333333
37,38,78721,79995.43333333333
38,39,78721,79601.96666666666
39,40,78721,79302.7
40,41,78721,79060.33333333333
41,42,78645,78926.06666666667
42,43,78347,78737.16666666667
43,44,78347,78692.83333333333
44,45,78347,78698.96666666666
45,46,78347,78682.53333333334
46,47,78347,78672.83333333333
47,48,78380,78643.96666666666
48,49,78380,78624.26666666666
49,50,78380,78604.96666666666
50,51,78380,78539.0
51,52,78380,78493.23333333334
52,53,77843,78319.9
53,54,77843,78239.13333333333
54,55,77843,78102.0
55,56,77683,77906.3
56,57,77643,77864.3
57,58,76779,77811.76666666666
58,59,75996,77467.23333333334
59,60,75996,77198.36666666667
60,61,75996,76857.26666666666
61,62,75996,76531.0
62,63,75996,76298.06666666667
63,64,75996,76142.56666666667
64,65,75056,76003.26666666666
65,66,75056,75933.53333333334
66,67,75927,75987.36666666667
67,68,75269,75901.7
68,69,75269,75764.06666666667
69,70,75208,75622.26666666666
70,71,75208,75531.86666666667
71,72,75198,75357.23333333334
72,73,75198,75330.7
73,74,75198,75295.1
74,75,74713,75233.9
75,76,74814,75193.13333333333
76,77,74814,75069.03333333334
77,78,74814,74994.43333333333
78,79,74423,74878.4
79,80,74423,74844.53333333334
80,81,74423,74738.26666666666
81,82,74423,74673.56666666667
82,83,73694,74511.7
83,84,73694,74435.46666666666
84,85,73694,74193.66666666667
85,86,73340,74103.86666666667
86,87,73340,73782.1
87,88,73340,73600.6
88,89,72967,73465.96666666666
89,90,72967,73269.46666666666
90,91,72934,73096.03333333334
91,92,72397,72946.5
92,93,71905,72690.6
93,94,71561,72453.33333333333
94,95,71561,72199.76666666666
95,96,71216,72055.33333333333
96,97,71216,71889.06666666667
97,98,71216,71819.66666666667
98,99,71216,71666.23333333334
99,100,71216,71476.33333333333
