,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,84704,92346.2
1,2,86402,93090.8
2,3,86402,92863.36666666667
3,4,86402,92644.63333333333
4,5,86402,92830.56666666667
5,6,89708,93126.7
6,7,87044,93643.53333333334
7,8,87044,93161.76666666666
8,9,87044,92478.3
9,10,87044,92481.06666666667
10,11,87044,93361.6
11,12,87044,93079.96666666666
12,13,87133,93798.76666666666
13,14,88239,93778.0
14,15,87901,93188.16666666667
15,16,87258,92582.83333333333
16,17,87258,92209.63333333333
17,18,87258,92308.16666666667
18,19,85271,92697.8
19,20,85271,92558.93333333333
20,21,88239,92585.63333333333
21,22,88239,92488.73333333334
22,23,88239,92228.46666666666
23,24,87747,92339.0
24,25,87141,92095.2
25,26,87141,92249.33333333333
26,27,87141,92164.9
27,28,87141,92299.9
28,29,87765,92005.53333333334
29,30,86388,92141.83333333333
30,31,86388,92353.8
31,32,86358,92359.73333333334
32,33,86358,92971.4
33,34,86358,93096.5
34,35,86358,93034.46666666666
35,36,86358,93256.36666666667
36,37,86358,93406.36666666667
37,38,86358,93957.0
38,39,86358,93912.2
39,40,86358,93905.33333333333
40,41,86358,93928.6
41,42,86585,94109.03333333334
42,43,86585,94374.9
43,44,86585,93947.73333333334
44,45,86585,93581.2
45,46,86531,93061.0
46,47,86531,92725.16666666667
47,48,86531,92560.83333333333
48,49,86082,92379.26666666666
49,50,86531,92335.83333333333
50,51,86531,91998.83333333333
51,52,86531,92102.76666666666
52,53,86585,92429.2
53,54,86585,92146.46666666666
54,55,86585,92572.83333333333
55,56,88708,92219.03333333334
56,57,87324,92233.43333333333
57,58,88708,92715.13333333333
58,59,88708,92966.6
59,60,88708,93039.93333333333
60,61,88708,92921.53333333334
61,62,88708,93358.93333333333
62,63,88708,93548.4
63,64,88708,93035.36666666667
64,65,88708,92954.13333333333
65,66,88660,92940.8
66,67,89162,93318.3
67,68,89162,93621.13333333333
68,69,89162,93541.8
69,70,89253,94256.93333333333
70,71,89253,94693.06666666667
71,72,89253,94575.93333333333
72,73,89253,94561.53333333334
73,74,89566,94823.43333333333
74,75,90223,94980.16666666667
75,76,90223,94820.53333333334
76,77,90223,94897.9
77,78,90223,95048.3
78,79,90223,95166.7
79,80,90223,95286.93333333333
80,81,90223,95810.86666666667
81,82,90480,96138.3
82,83,90480,96105.6
83,84,90480,96371.0
84,85,90480,96630.26666666666
85,86,90480,97051.33333333333
86,87,90480,96832.5
87,88,90480,96545.5
88,89,90480,96768.76666666666
89,90,90480,96755.13333333333
90,91,90977,96849.16666666667
91,92,90977,97280.66666666667
92,93,90977,97461.0
93,94,93195,97636.8
94,95,93195,98166.4
95,96,93195,98063.16666666667
96,97,92977,97625.96666666666
97,98,93667,98057.53333333334
98,99,93652,97805.9
99,100,93667,97770.4
