,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,86564,91928.3
1,2,85819,90590.03333333334
2,3,85819,90052.96666666666
3,4,84456,88854.4
4,5,84456,88684.5
5,6,84456,88137.0
6,7,84456,87784.1
7,8,84456,87592.33333333333
8,9,82044,86449.26666666666
9,10,82044,86089.0
10,11,82044,85904.23333333334
11,12,82044,85565.4
12,13,82044,85128.43333333333
13,14,82044,84867.33333333333
14,15,81755,84348.96666666666
15,16,81755,84138.13333333333
16,17,81755,83876.93333333333
17,18,81755,83675.76666666666
18,19,81755,83483.73333333334
19,20,81693,83210.93333333333
20,21,81693,83023.43333333333
21,22,81677,82828.46666666666
22,23,81655,82547.4
23,24,81655,82363.3
24,25,81019,82098.5
25,26,79330,81758.26666666666
26,27,79330,81555.3
27,28,79330,81306.76666666666
28,29,79330,81076.33333333333
29,30,78703,80830.93333333333
30,31,78703,80577.96666666666
31,32,78424,80325.46666666666
32,33,78424,79948.06666666667
33,34,78424,79744.53333333334
34,35,78424,79586.16666666667
35,36,77731,79287.9
36,37,77158,79047.06666666667
37,38,77158,78869.53333333334
38,39,77158,78652.83333333333
39,40,77158,78416.63333333333
40,41,77158,78288.66666666667
41,42,76593,77839.83333333333
42,43,76435,77497.3
43,44,75652,77210.33333333333
44,45,75652,77057.86666666667
45,46,75652,76904.6
46,47,75652,76861.56666666667
47,48,75652,76751.66666666667
48,49,75264,76651.43333333333
49,50,75264,76598.6
50,51,75168,76527.4
51,52,74745,76350.63333333333
52,53,73986,76113.66666666667
53,54,73986,75892.1
54,55,73986,75718.3
55,56,73633,75544.9
56,57,73633,75328.93333333333
57,58,73633,75186.0
58,59,73633,75058.76666666666
59,60,73633,74714.1
60,61,72668,74415.56666666667
61,62,72668,74265.73333333334
62,63,72668,74114.86666666667
63,64,72668,73954.93333333333
64,65,72668,73915.5
65,66,72668,73884.5
66,67,72668,73774.4
67,68,72668,73653.06666666667
68,69,72555,73571.3
69,70,72555,73503.36666666667
70,71,72555,73483.83333333333
71,72,72555,73374.33333333333
72,73,72555,73320.9
73,74,71398,73158.2
74,75,71398,73059.7
75,76,71398,72979.96666666666
76,77,71398,72898.53333333334
77,78,71398,72741.16666666667
78,79,71398,72684.76666666666
79,80,71398,72639.53333333334
80,81,71398,72541.6
81,82,71251,72373.76666666666
82,83,71251,72215.0
83,84,71251,72155.0
84,85,70836,71971.26666666666
85,86,70836,71894.43333333333
86,87,70836,71810.53333333334
87,88,70836,71721.73333333334
88,89,70836,71582.93333333333
89,90,70836,71523.4
90,91,70836,71443.5
91,92,70706,71312.06666666667
92,93,70400,71233.3
93,94,70400,71152.13333333333
94,95,69594,70985.53333333334
95,96,69594,70952.13333333333
96,97,69594,70826.33333333333
97,98,69594,70690.73333333334
98,99,69594,70649.13333333333
99,100,69594,70567.66666666667
