,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,85033,90265.03333333334
1,2,84660,89325.4
2,3,84105,89907.96666666666
3,4,82475,88344.13333333333
4,5,80866,87877.13333333333
5,6,81102,86083.26666666666
6,7,80998,84448.13333333333
7,8,80998,84229.13333333333
8,9,79229,83003.9
9,10,79149,81613.0
10,11,79149,82016.7
11,12,79139,82545.76666666666
12,13,79139,83362.13333333333
13,14,78962,84358.3
14,15,78498,83111.73333333334
15,16,78326,82486.9
16,17,78210,82980.16666666667
17,18,77114,81576.76666666666
18,19,77114,80603.7
19,20,77114,80558.13333333333
20,21,76730,80716.8
21,22,76608,79454.66666666667
22,23,76552,80322.7
23,24,75843,80179.83333333333
24,25,75670,79530.33333333333
25,26,74800,78237.56666666667
26,27,74800,77497.33333333333
27,28,74754,77308.36666666667
28,29,74376,76676.13333333333
29,30,74376,75251.23333333334
30,31,73032,75054.03333333334
31,32,72729,74469.86666666667
32,33,72729,74022.86666666667
33,34,72677,73393.26666666666
34,35,71937,73357.03333333334
35,36,71937,73146.43333333333
36,37,71937,72739.1
37,38,71768,72422.6
38,39,71768,72326.2
39,40,71768,71952.0
40,41,71077,71861.8
41,42,71077,71693.5
42,43,70658,71524.46666666666
43,44,70657,71291.33333333333
44,45,70657,71275.73333333334
45,46,70588,71125.86666666667
46,47,70252,71014.16666666667
47,48,70252,70823.83333333333
48,49,70252,70705.16666666667
49,50,69946,70582.9
50,51,69541,70493.96666666666
51,52,68989,70178.76666666666
52,53,68989,70232.63333333333
53,54,68989,70172.46666666666
54,55,68608,69755.3
55,56,68506,69659.16666666667
56,57,68506,69759.93333333333
57,58,67605,69157.03333333334
58,59,67191,68920.33333333333
59,60,66983,68989.73333333334
60,61,66983,68792.76666666666
61,62,66983,68427.6
62,63,66983,67748.3
63,64,65905,67147.5
64,65,65398,66872.4
65,66,65398,66406.8
66,67,65398,66155.83333333333
67,68,65398,66254.43333333333
68,69,64772,66256.96666666666
69,70,64141,65897.43333333333
70,71,64141,65619.63333333333
71,72,63643,65357.53333333333
72,73,63183,64876.13333333333
73,74,62942,64381.53333333333
74,75,63096,64189.6
75,76,63096,63840.166666666664
76,77,62103,63784.46666666667
77,78,61731,63892.76666666667
78,79,61398,63328.36666666667
79,80,60872,62801.53333333333
80,81,60872,62738.13333333333
81,82,60872,62336.9
82,83,60715,61799.96666666667
83,84,60661,61740.96666666667
84,85,60661,61412.2
85,86,60661,61084.0
86,87,60661,61017.9
87,88,60445,60995.166666666664
88,89,60445,60902.5
89,90,60340,60829.96666666667
90,91,59751,60633.066666666666
91,92,59292,60522.5
92,93,59271,60280.6
93,94,59271,60145.3
94,95,59265,59809.6
95,96,59230,59749.166666666664
96,97,58857,59792.566666666666
97,98,58857,59550.0
98,99,58857,59476.7
99,100,58572,59420.26666666667
