,Generations,Best Fitness so far-BSF,Average Fitness so far-ASF
0,1,83524,89230.76666666666
1,2,82076,85900.4
2,3,81987,83370.16666666667
3,4,80193,82352.3
4,5,80078,81390.1
5,6,79014,80646.23333333334
6,7,78743,79813.4
7,8,77876,79258.36666666667
8,9,77451,78475.96666666666
9,10,77306,77933.03333333334
10,11,76860,77557.26666666666
11,12,75573,77080.3
12,13,75565,76525.53333333334
13,14,74652,75847.9
14,15,74652,75246.6
15,16,74497,74864.23333333334
16,17,73803,74582.3
17,18,73680,74388.36666666667
18,19,73408,74173.96666666666
19,20,72108,73670.3
20,21,70791,72890.96666666666
21,22,70408,71991.03333333334
22,23,70195,71188.53333333334
23,24,69444,70561.1
24,25,69444,70111.83333333333
25,26,69102,69702.03333333334
26,27,68863,69367.26666666666
27,28,68863,69143.83333333333
28,29,68189,68852.46666666666
29,30,67962,68607.56666666667
30,31,67917,68346.76666666666
31,32,67189,68086.73333333334
32,33,67189,67689.06666666667
33,34,67162,67524.36666666667
34,35,66874,67272.46666666666
35,36,65990,66949.03333333334
36,37,65990,66631.63333333333
37,38,65990,66454.13333333333
38,39,65990,66290.96666666666
39,40,65990,66161.2
40,41,65990,66100.26666666666
41,42,65816,66015.5
42,43,65299,65874.4
43,44,64695,65718.43333333333
44,45,64695,65549.86666666667
45,46,63420,65059.23333333333
46,47,63420,64660.3
47,48,63372,64334.433333333334
48,49,62403,63807.26666666667
49,50,61551,63160.066666666666
50,51,61541,62656.1
51,52,61462,62063.26666666667
52,53,61462,61704.46666666667
53,54,60592,61478.63333333333
54,55,60437,61183.73333333333
55,56,60437,60935.333333333336
56,57,60437,60683.36666666667
57,58,60437,60484.96666666667
58,59,59565,60268.666666666664
59,60,59470,60070.73333333333
60,61,59358,59814.666666666664
61,62,59358,59587.066666666666
62,63,59116,59483.4
63,64,59116,59475.3
64,65,58835,59419.666666666664
65,66,58835,59316.6
66,67,58649,59115.86666666667
67,68,58589,58932.3
68,69,58209,58658.63333333333
69,70,57801,58466.8
70,71,56885,58166.6
71,72,56850,57652.13333333333
72,73,56518,57149.86666666667
73,74,56047,56754.46666666667
74,75,55736,56522.86666666667
75,76,55698,56227.53333333333
76,77,55698,56032.566666666666
77,78,55474,55786.23333333333
78,79,55472,55660.2
79,80,55472,55615.833333333336
80,81,55273,55551.1
81,82,54942,55440.166666666664
82,83,54779,55359.13333333333
83,84,54779,55160.26666666667
84,85,54039,54927.73333333333
85,86,54039,54673.23333333333
86,87,54039,54458.0
87,88,54005,54233.36666666667
88,89,54005,54085.166666666664
89,90,53783,54008.96666666667
90,91,53365,53913.3
91,92,53365,53767.53333333333
92,93,53365,53660.2
93,94,53177,53527.6
94,95,53041,53410.96666666667
95,96,53022,53304.03333333333
96,97,52899,53186.0
97,98,52899,53053.4
98,99,52899,52973.96666666667
99,100,52271,52904.96666666667
