,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,86643,86315,87150,84652,86430,83590,85037,84222,87610,82432,85408.1
1,2,86643,86315,87150,84652,86430,83590,85037,84222,87610,82432,85408.1
2,3,86643,86315,86882,84652,85702,82381,85037,84222,87610,82432,85187.6
3,4,85904,86166,86882,83403,85702,82381,83468,84222,87162,82432,84772.2
4,5,85904,86166,86882,83403,85702,82381,83280,80659,86834,81633,84284.4
5,6,85904,86166,86882,83263,83827,82381,82803,80659,85111,81594,83859.0
6,7,85891,85902,86330,81496,83658,81905,82803,80659,85111,81594,83534.9
7,8,84361,84019,86330,80952,81951,81905,82803,80659,85111,81274,82936.5
8,9,84361,82940,86330,80857,81951,80929,82803,80659,83508,80957,82529.5
9,10,84361,82940,86330,80857,81778,80929,81887,80659,83508,80891,82414.0
10,11,83472,82940,86330,80857,81778,80929,80656,80659,83508,80124,82125.3
11,12,83472,82840,86330,80620,81778,80929,80656,80659,82571,80124,81997.9
12,13,82434,82747,85369,79647,81778,80118,80528,80659,81479,78925,81368.4
13,14,82434,82747,84446,79647,80809,80060,80052,80181,81479,78925,81078.0
14,15,82434,82747,84446,78629,80809,79614,80052,80181,81479,78925,80931.6
15,16,82434,82016,83320,78629,80809,79614,80052,79624,81465,78925,80688.8
16,17,81925,82016,83320,78629,80594,79614,80052,78375,81465,78925,80491.5
17,18,81925,82016,83315,77912,78497,79614,79722,78375,81465,78564,80140.5
18,19,81346,81528,83315,77903,78497,79614,79722,78351,81428,77631,79933.5
19,20,81346,81129,83195,77822,78497,78824,79722,78351,81258,77410,79755.4
20,21,80901,81129,83176,76800,78497,78382,79722,78351,81258,77262,79547.8
21,22,80236,80662,81345,76800,77624,78382,78864,78351,80274,76432,78897.0
22,23,80236,80662,81345,76374,77624,78382,78864,78272,80274,76432,78846.5
23,24,80140,80508,81345,75026,77624,78382,78381,78272,79393,76105,78517.6
24,25,79607,80378,81345,75026,77624,77914,78381,77745,79393,76033,78344.6
25,26,79540,80004,81345,75026,77182,77560,77493,76389,79393,75436,77936.8
26,27,79540,79579,81345,75026,76540,77560,77493,76389,78784,75163,77741.9
