,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,89063,86261,87198,87662,89268,84284,87150,83948,88366,88899,87209.9
1,2,86807,86261,87198,88050,90614,84284,87729,83948,88366,89639,87289.6
2,3,89297,86261,87198,88050,90614,84284,90901,83948,88366,92025,88094.4
3,4,92346,86261,88646,90554,90614,82592,90525,83948,86976,92536,88499.8
4,5,92346,86261,88646,90292,90614,82592,90525,83948,86976,92536,88473.6
5,6,92889,91440,88646,90554,90614,87540,90525,89127,86976,92536,90084.7
6,7,91544,91440,88646,91088,90614,87540,90525,89127,86656,92536,89971.6
7,8,91543,91630,88646,92280,90614,87540,90525,89127,86656,91868,90042.9
8,9,91278,91630,88484,92280,90614,87540,90525,89570,86656,91868,90044.5
9,10,90363,91630,88484,92280,90928,90470,91991,89570,86173,92252,90414.1
10,11,91543,91630,88484,92280,91031,87724,91991,88963,86173,92252,90207.1
11,12,91543,91630,88484,92883,91031,90470,91991,90495,86173,90911,90561.1
12,13,88536,90484,88646,92883,91031,84700,91991,89271,86173,89442,89315.7
13,14,88536,90484,87508,92883,91031,87584,91991,89271,86317,89442,89504.7
14,15,88536,90484,87508,92357,89459,87584,91991,90495,87830,91441,89768.5
15,16,88536,90484,87508,94542,89459,87584,91991,90495,87550,92252,90040.1
16,17,92927,90484,87508,93059,89459,85733,91991,89454,87830,92264,90070.9
17,18,92790,90484,87719,94470,89459,92059,90237,90969,87830,92264,90828.1
18,19,92063,89972,89019,93601,89612,92059,91991,91257,87830,91903,90930.7
19,20,88872,88685,89019,93601,91031,94971,92809,91257,91377,92264,91388.6
20,21,88872,87985,90114,93396,91031,94971,92015,92284,92421,92264,91535.3
21,22,88872,87985,90461,93396,90306,94971,92036,91337,91937,92264,91356.5
22,23,88517,87985,90278,93396,91031,96094,92036,91337,91150,90583,91240.7
23,24,88517,89271,89529,93396,91031,95853,92035,91337,91150,92264,91438.3
24,25,92905,91243,90278,93601,91031,94651,92035,91150,92134,92264,92129.2
25,26,92905,91243,90278,93601,90135,94651,92035,91150,92134,92264,92039.6
26,27,92905,91403,90278,93601,90135,94651,91477,91337,92146,92264,92019.7
27,28,92905,91403,90278,93601,90135,95853,93253,91337,92146,90801,92171.2
28,29,92905,91403,90130,93601,90135,90687,93253,91302,92146,90801,91636.3
