,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,88563,85127,84558,86506,87173,84523,86543,87650,88397,88480,86752.0
1,2,88563,85127,89003,86506,87173,84523,86543,88524,87367,88398,87172.7
2,3,88563,85127,87984,88945,88651,84523,86835,88524,87367,87878,87439.7
3,4,88277,88017,87716,88252,88651,89727,88196,88524,87367,87878,88260.5
4,5,88277,87419,87716,88252,88651,89727,88378,88524,88846,84169,87995.9
5,6,88277,86379,87984,88252,89275,89727,88378,88524,89561,88482,88483.9
6,7,87081,86379,87984,88252,87444,89727,88378,88524,88214,88706,88068.9
7,8,87081,86379,89267,88252,88139,89727,88378,88524,89561,88706,88401.4
8,9,87081,86379,88318,88252,88139,89503,89648,90630,89561,88706,88621.7
9,10,87081,87703,88318,88252,87120,88842,89648,89005,88890,87303,88216.2
10,11,86406,86626,88318,88252,87120,88842,89648,91067,88890,88706,88387.5
11,12,84671,86626,88318,88252,87120,88842,89648,87629,86108,85339,87255.3
12,13,84671,86626,86971,87338,87120,87550,89648,87629,86108,85339,86900.0
13,14,83896,86626,86900,87338,87120,87550,89250,87629,88890,87818,87301.7
14,15,83896,86626,86900,87338,88533,88842,89250,92593,88914,87818,88071.0
15,16,83896,87261,86900,87813,86727,88842,89250,92593,88914,87459,87965.5
16,17,85692,87261,86900,87813,88240,90928,89250,92593,89798,87459,88593.4
17,18,85692,85999,86900,87906,88533,90698,89299,92593,89798,87459,88487.7
18,19,85692,88698,86900,87906,88533,90698,89299,92238,88615,87459,88603.8
19,20,86625,87688,86900,86804,88533,90698,89299,92238,88615,87459,88485.9
20,21,86625,87688,86900,86804,88753,90698,89299,92238,87952,87459,88441.6
21,22,86238,87688,88318,86804,88900,90009,87905,92238,87952,87459,88351.1
22,23,86238,87688,86046,86804,88900,90009,87905,92056,87952,87459,88105.7
23,24,86238,87688,86046,86804,90041,90009,87905,92056,85663,87459,87990.9
24,25,86238,87688,86046,86804,90041,89466,89243,92056,85663,87459,88070.4
25,26,86238,87688,86046,86804,89692,89466,89243,92056,85663,87459,88035.5
26,27,86238,91170,86046,86804,89692,89819,88902,92056,85663,87459,88384.9
27,28,86238,92450,86046,86804,90224,89819,89243,92056,85362,87459,88570.1
28,29,86238,93882,86046,87001,90405,88703,87991,92056,85362,87459,88514.3
29,30,86238,93882,86761,87169,90405,88703,87991,92056,85362,87453,88602.0
30,31,86238,91867,86761,87169,90405,88703,87972,92238,85362,87172,88388.7
31,32,85709,91867,86761,87713,91286,89258,87235,92238,85362,87172,88460.1
32,33,86267,93233,90923,88229,90864,89258,87235,92238,89383,84146,89177.6
33,34,88346,90483,90889,88229,91524,90051,87235,94698,89383,87172,89801.0
34,35,88346,90483,90230,88373,91482,89774,87235,94698,89383,87172,89717.6
35,36,88769,90483,89724,88373,91482,89774,87235,93490,87262,87310,89390.2
36,37,89549,90483,91415,88373,91245,89774,87235,95135,89383,87310,89990.2
37,38,89549,90483,91415,87174,91736,89774,87526,95135,89383,87310,89948.5
38,39,89549,90483,90070,87174,91736,92071,87526,95135,91274,87310,90232.8
39,40,88819,91740,90070,87174,88595,92071,87526,95135,91274,87310,89971.4
40,41,90357,91740,90983,87174,88595,92071,86808,95135,91274,86849,90098.6
41,42,90357,91740,92776,82978,92304,91569,87409,96541,91274,86849,90379.7
42,43,91432,91698,93109,82978,92304,91569,87526,96541,92872,86849,90687.8
43,44,91953,90892,93109,87174,88275,91781,87467,96382,92127,87310,90647.0
44,45,91953,89416,91014,87174,88275,91781,87407,95906,92867,87310,90310.3
45,46,92369,89416,91014,87174,88275,91781,87467,95768,93058,87322,90364.4
46,47,92369,89416,92260,84881,88150,91781,87137,96382,93058,87322,90275.6
47,48,92369,89416,92260,84881,88150,91781,87005,96382,93058,87322,90262.4
48,49,92369,89416,92260,84881,88150,91781,87005,96172,93058,87322,90241.4
49,50,90552,89416,92193,87633,87602,92028,87005,96179,93058,86969,90263.5
50,51,90552,89416,92800,89464,88150,92028,87005,96003,91638,86969,90402.5
51,52,90528,89416,92800,89651,89020,92028,87005,96003,91638,86969,90505.8
52,53,90528,89918,92800,89478,89020,92229,87005,96003,91638,86969,90558.8
53,54,90322,89918,92800,87002,89020,92325,87005,96003,91638,86969,90300.2
54,55,90322,89918,92843,87002,89020,92325,85357,96003,91638,86969,90139.7
55,56,90322,89918,92843,87002,89020,92325,85357,96019,91638,86969,90141.3
56,57,90322,91821,92843,87002,91671,92325,88722,96019,91638,86969,90933.2
57,58,90322,91821,92843,87002,91671,92325,87480,93405,91638,86969,90547.6
