,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,86798,87062,83237,86831,84073,88401,88116,83760,87551,87865,86369.4
1,2,86798,87062,83237,86831,83513,88401,87094,83760,87551,87865,86211.2
2,3,86134,82500,83237,86831,83513,88401,87094,83760,86425,87865,85576.0
3,4,86134,82500,83237,86223,83513,88287,87094,83760,86425,86297,85347.0
4,5,86134,82500,83237,86037,83513,88116,87094,83760,86425,86297,85311.3
5,6,85705,82500,83237,86037,83513,88116,87094,83760,86425,86297,85268.4
6,7,85705,82500,83237,85599,83145,88116,87094,83654,85299,85775,85012.4
7,8,84966,82500,83237,85552,83145,85559,86343,82547,85299,85541,84468.9
8,9,84966,81555,82494,85034,83145,85559,81363,81620,85299,85146,83618.1
9,10,84966,81555,82494,84867,83145,85559,81363,81620,84348,83811,83372.8
10,11,84966,81555,82494,84867,83145,85559,81363,81620,84348,82545,83246.2
11,12,84966,81555,81264,84867,83145,85559,81363,81620,84348,82545,83123.2
12,13,84582,81555,81264,84867,83115,85559,81363,79656,84241,82545,82874.7
13,14,81240,81555,81264,84482,82263,84234,81363,79656,83937,82545,82253.9
14,15,81240,81555,80323,84348,81877,84234,81363,79656,83937,82545,82107.8
15,16,80555,81555,80323,84348,81877,84234,81303,79656,83274,82545,81967.0
16,17,80555,81077,80323,84262,81877,84234,81303,79216,83147,81282,81727.6
17,18,80555,81077,80323,84262,81877,82695,81303,79216,81472,81282,81406.2
18,19,80555,81077,80323,84262,81877,82695,81303,79216,81472,81282,81406.2
19,20,80555,81077,80323,84173,81877,81659,79547,77939,79994,81282,80842.6
20,21,80555,81077,80323,84173,81384,81659,79547,77939,79994,81282,80793.3
21,22,80555,81077,80323,84173,80023,81659,79547,77939,79994,79803,80509.3
22,23,80555,81077,80323,83192,80023,81659,79547,77939,79994,79803,80411.2
23,24,80276,80279,79732,83192,79353,81659,79039,77939,79994,79803,80126.6
24,25,80276,80279,79732,83192,79353,81659,79039,76793,79589,79803,79971.5
25,26,79455,80279,79263,81398,79353,81659,79039,76793,79463,79803,79650.5
26,27,79455,80004,79263,81398,79133,81659,79039,76793,79463,79803,79601.0
27,28,79289,79809,79263,81398,78975,81219,78798,76793,79463,77690,79269.7
28,29,79289,79809,76486,81398,78975,80168,78798,76793,77596,77690,78700.2
29,30,79289,79809,76486,81398,78975,80168,77683,76793,77596,77690,78588.7
30,31,79232,79744,76486,81398,78975,80168,77683,76725,77596,77690,78569.7
31,32,79027,78919,76486,81398,78975,80168,76689,76725,77596,77690,78367.3
32,33,77579,78919,76486,81397,78862,79999,76689,76725,77596,77640,78189.2
33,34,77579,78919,76486,81397,78862,79999,76243,76725,77596,77574,78138.0
34,35,77579,78386,76486,81145,78133,79999,76243,76725,77596,77574,77986.6
35,36,77579,77963,76486,81145,76537,79946,76243,75982,77596,77574,77705.1
36,37,77579,77963,76486,80180,76537,78703,76243,75706,76901,77574,77387.2
37,38,77579,77963,76486,80180,76537,78703,76242,75706,75825,77574,77279.5
38,39,77579,77963,76486,79717,76537,78703,76242,75706,75825,77574,77233.2
39,40,76829,77963,76147,79717,76537,78703,76242,75706,75825,77574,77124.3
40,41,76829,77963,75210,79717,76537,78703,76242,75706,74621,77463,76899.1
41,42,76829,77963,73730,79717,76537,78703,76242,75706,74621,77463,76751.1
42,43,76829,77963,73730,79717,76537,78703,76081,75706,74621,76467,76635.4
43,44,76156,77886,73730,79717,76537,78703,74550,75706,74621,76467,76407.3
44,45,76156,77483,73730,79529,76537,78703,74550,75706,74621,76467,76348.2
45,46,76156,77483,73730,79529,76537,78703,74550,75706,74621,76467,76348.2
46,47,76156,77483,73250,79529,76310,78703,74550,74585,74605,76131,76130.2
47,48,74988,77483,73250,79529,76310,77130,74550,74585,74605,76131,75856.1
48,49,74988,77483,73250,79529,75404,77130,74550,74485,74605,75805,75722.9
49,50,74988,77182,73250,79529,75404,77130,74409,74033,74513,75634,75607.2
