,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,87078,87652,86170,87314,82138,87326,87001,86390,85861,87334,86426.4
1,2,87078,87652,83348,87314,86329,87326,86263,86390,85152,87200,86405.2
2,3,85507,87424,83348,87314,86329,87326,86263,86390,85152,86005,86105.8
3,4,85507,87652,83348,84807,84325,87273,86263,86390,85152,86005,85672.2
4,5,85507,87652,83348,84807,81449,83873,86263,86390,84933,86005,85022.7
5,6,81344,87652,83348,84807,81449,87273,86263,86390,84933,85079,84853.8
6,7,81344,87629,84024,84807,81449,87273,86263,86390,84925,85079,84918.3
7,8,81344,87629,79579,84807,81449,87273,83965,85882,82738,83927,83859.3
8,9,81344,87629,81275,84407,81444,85003,83965,85882,81313,83927,83618.9
9,10,81344,87629,81224,84115,81444,85003,83965,85882,81313,83927,83584.6
10,11,80899,87033,79229,82471,80560,85003,83965,85761,80718,83927,82956.6
11,12,80397,87033,79229,82471,80430,82968,83965,85761,79807,83927,82598.8
12,13,80397,87033,79229,82212,80430,82968,83965,85696,79430,83730,82509.0
13,14,80397,87033,79229,82052,80398,82968,82786,85312,79132,83279,82258.6
14,15,80397,87033,79187,81671,80398,82754,82786,85531,79234,83279,82227.0
15,16,80196,86976,79187,81100,80398,82382,82786,84993,79234,83279,82053.1
16,17,80196,86976,79105,80975,80116,82382,82208,84993,78944,83269,81916.4
17,18,79840,86976,78841,80975,79497,82165,81730,84993,78944,82531,81649.2
18,19,79840,86976,77903,80918,79497,82165,81397,84951,78944,81909,81450.0
19,20,79840,85925,77903,80918,79494,82165,81295,84614,78944,81909,81300.7
20,21,79358,85925,77903,80918,79425,81889,81114,84360,78944,81909,81174.5
21,22,77291,86826,77903,80832,78671,81825,81114,84360,78944,81909,80967.5
22,23,77291,86746,77106,80546,78671,81825,80216,84360,78587,81909,80725.7
23,24,77291,86050,77106,80192,78671,81664,79709,83427,78584,81909,80460.3
24,25,77291,86050,77062,80192,78671,81022,79438,83427,78584,81758,80349.5
25,26,77291,86050,77062,79797,78115,81022,79438,83298,78584,81758,80241.5
26,27,75600,86050,77062,79797,78115,81022,78975,83298,77815,81643,79937.7
27,28,75600,85450,76428,79797,77643,81022,78975,83298,77815,81615,79764.3
28,29,75600,85450,76078,79078,77558,80787,78975,82902,77441,81202,79507.1
29,30,75726,85093,76078,79078,77558,81022,78975,82902,77441,81202,79507.5
30,31,75726,85093,76061,79078,77237,79626,78975,82902,77342,80899,79293.9
31,32,75726,84335,75664,78894,76665,79626,78204,82902,77342,80899,79025.7
32,33,75726,83666,75664,78428,76665,79626,78204,82902,77342,80899,78912.2
33,34,75726,83666,75664,78428,76665,79626,78204,82612,77330,80537,78845.8
34,35,74546,83663,75312,78405,75985,78801,78204,82499,76917,80243,78457.5
35,36,74546,83567,75339,78405,75985,78291,78204,82499,76863,79843,78354.2
36,37,75638,82639,75339,78405,75985,78291,78204,81716,76863,78721,78180.1
37,38,75177,82639,75339,77420,75902,77200,78178,81787,76319,78721,77868.2
38,39,74884,82639,75339,77133,74858,77200,78178,81958,76319,78721,77722.9
39,40,74884,82639,75339,76748,74761,77200,77358,81958,76238,78721,77584.6
40,41,74884,82639,75339,76748,74761,77200,77358,81958,76238,78721,77584.6
41,42,74884,82567,74966,76598,74385,77200,77358,80801,76238,78645,77364.2
42,43,74861,82181,74966,76598,74385,77200,77358,81844,76172,78347,77391.2
43,44,74159,81376,74966,76598,74385,77200,77358,81298,76172,78347,77185.9
44,45,74159,81376,74966,76480,74275,77200,77358,81298,76172,78347,77163.1
45,46,74115,81376,74896,76480,74275,77200,77358,81298,76118,78347,77146.3
46,47,74115,80602,74589,75983,74275,77200,77358,80972,75433,78347,76887.4
47,48,74115,80602,74007,75983,74061,77200,77358,80115,75433,78380,76725.4
48,49,73886,79594,74463,75745,74061,76894,76991,79603,75107,78380,76472.4
49,50,73886,79594,74205,75745,73714,75915,76991,79603,73711,78380,76174.4
50,51,73505,79563,74205,75745,73714,75915,76151,79265,73711,78380,76015.4
51,52,73505,79133,74205,75569,72621,75915,76151,79265,73724,78380,75846.8
52,53,73063,79133,74205,75360,72621,75915,76151,79265,73724,77843,75728.0
53,54,73014,79133,74011,75087,72621,75915,76151,79265,73703,77843,75674.3
54,55,72860,79133,73549,75087,72538,75915,75362,79265,73703,77843,75525.5
55,56,72276,78117,73549,74622,72501,75472,75362,79427,73659,77683,75266.8
56,57,72276,78117,73017,74281,72501,74809,75362,78827,73659,77643,75049.2
57,58,71964,78117,72647,74123,72363,74739,75362,78827,73268,76779,74818.9
58,59,71964,77981,72815,74123,72363,74679,75362,79427,73268,75996,74797.8
59,60,71964,77981,72815,74123,72363,74679,74975,79139,73268,75996,74730.3
60,61,71964,77981,72484,74123,72256,74679,74975,79024,73161,75996,74664.3
61,62,71964,77882,72484,73855,72040,74679,74975,79024,73161,75996,74606.0
62,63,71545,77882,72297,74123,71344,74679,74975,78760,73268,75996,74486.9
63,64,71545,77334,72286,73790,71120,74492,74502,78184,73268,75996,74251.7
64,65,71545,76511,72286,73790,71120,74317,74312,78184,73268,75056,74038.9
65,66,70317,76511,72286,73524,70411,74317,73631,78184,72206,75056,73644.3
66,67,70317,76954,71800,72822,70411,73924,73333,78184,72206,75927,73587.8
67,68,70317,76954,71800,72822,70625,73552,73333,78184,72206,75269,73506.2
68,69,70317,76954,71800,72822,70352,73494,73333,78184,71724,75269,73424.9
69,70,70215,76329,71800,71793,70270,73494,73333,77677,71724,75208,73184.3
70,71,70215,75888,71800,71657,70270,73494,73333,77677,71178,75208,73072.0
71,72,70215,75548,70923,71413,70090,73453,72940,77677,71178,75198,72863.5
72,73,70215,75548,70923,70790,69999,72717,72940,77677,71178,75198,72718.5
73,74,69208,75548,70923,70790,69532,72828,72917,77565,71165,75198,72567.4
74,75,69208,75548,70697,70196,69532,72596,72421,77565,71165,74713,72364.1
75,76,69208,75341,70697,70196,69532,72596,72421,77565,70252,74814,72262.2
76,77,68678,74411,70697,70196,69089,71183,72229,77521,70252,74814,71907.0
77,78,68678,74411,70563,70196,69089,71183,72229,77327,70554,74814,71904.4
78,79,68678,74411,70537,70196,68559,71183,71974,77327,70554,74423,71784.2
79,80,68678,74411,70537,70196,68559,71183,71938,77327,69349,74423,71660.1
80,81,68157,74411,70165,69730,68374,71183,71938,77261,70554,74423,71619.6
81,82,68157,74411,70165,69730,68374,71183,71938,76050,70554,74423,71498.5
82,83,68157,74411,70089,69730,68374,71090,71732,76050,70554,73694,71388.1
83,84,68157,74319,70089,69418,67817,71090,71669,75934,69657,73694,71184.4
84,85,68157,73971,69041,69418,67817,71090,71669,74956,69448,73694,70926.1
85,86,68157,73971,69041,69418,67825,69492,71669,74956,69431,73340,70730.0
86,87,67613,73967,69041,69302,67825,69492,71364,74956,69429,73340,70632.9
87,88,67613,73967,69041,69248,67657,69492,71364,75168,69429,73340,70631.9
88,89,66896,73964,68948,69248,67619,69492,70735,75118,69429,72967,70441.6
89,90,66896,73942,68710,69248,67619,69492,70735,75118,68672,72967,70339.9
90,91,66896,72808,68710,68985,67567,69492,70482,75118,68567,72934,70155.9
91,92,66896,72808,68710,69102,67567,69412,70511,74981,68672,72397,70105.6
92,93,66564,72808,68316,69102,67567,69105,70735,74604,68672,71905,69937.8
93,94,66896,72808,68316,68692,67567,68591,69740,74399,68672,71561,69724.2
94,95,66896,72808,68316,68692,67416,68591,69688,74399,68672,71561,69703.9
95,96,66769,72808,68199,67203,67405,68259,69688,74399,68672,71216,69461.8
96,97,66163,72808,68303,68016,67405,68259,69688,74399,68672,71216,69492.9
97,98,66163,72301,68303,68016,66762,68259,68414,74257,67624,71216,69131.5
98,99,66163,71600,66991,68016,66762,68259,68414,74257,67624,71216,68930.2
99,100,66011,71600,66991,68016,66762,68046,68414,74248,67624,71216,68892.8
