,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,87842,84866,87443,87098,86744,87577,86960,88572,87091,84704,86889.7
1,2,86902,84866,87443,86513,86744,87577,86960,88572,87091,86402,86907.0
2,3,87842,89558,87443,88771,86744,85430,86960,88572,88132,86402,87585.4
3,4,87842,89734,87443,88978,86744,85430,86960,88572,88132,86402,87623.7
4,5,87842,89734,87443,88978,86744,85430,86600,88572,88864,86402,87660.9
5,6,83708,85511,87443,88978,86744,87577,85533,88572,89578,89708,87335.2
6,7,83708,85511,87443,88819,87981,87577,85533,87607,89578,87044,87080.1
7,8,83708,89504,87443,88819,88221,88052,87922,88572,88622,87044,87790.7
8,9,85594,89504,88987,88819,88221,88052,87922,88572,89578,87044,88229.3
9,10,85594,89255,88987,88819,86631,90087,87922,88572,88930,87044,88184.1
10,11,85594,89255,88987,88819,86631,90628,87922,88572,88472,87044,88192.4
11,12,85594,87536,90196,88819,87078,90628,87922,88572,88472,87044,88186.1
12,13,85594,87536,92093,88978,87078,90339,87922,88572,88166,87133,88341.1
13,14,85594,87870,92093,88978,87078,90339,87922,88572,84726,88239,88141.1
14,15,84072,88671,92093,87435,86032,90339,87922,89955,84726,87901,87914.6
15,16,84072,88751,91260,84530,86032,90727,87922,90326,84726,87258,87560.4
16,17,84072,86314,91135,84530,86032,89460,87922,90326,84726,87258,87177.5
17,18,84072,86314,91105,84530,86032,89460,87922,90326,88352,87258,87537.1
18,19,84072,88751,89110,84530,86071,89460,87922,91403,88352,85271,87494.2
19,20,84072,88751,89110,84530,86071,89460,87922,91403,88352,85271,87494.2
20,21,84072,88751,89110,87005,86071,89460,87922,91403,88352,88239,88038.5
21,22,84072,88378,89110,87005,86071,90727,87922,91403,88352,88239,88127.9
22,23,84299,87188,88868,87005,86071,90727,87922,91403,88352,88239,88007.4
23,24,84299,87188,88868,87005,86254,90727,87922,91403,88398,87747,87981.1
24,25,84299,87188,88868,83955,86890,91334,88883,91588,88589,87141,87873.5
25,26,84299,87085,88868,83955,90511,91334,89413,91588,88589,87141,88278.3
26,27,84299,87085,89110,83955,90511,91556,89413,90143,88589,87141,88180.2
27,28,84299,87085,89110,83955,90511,91845,89413,90143,88888,87141,88239.0
28,29,84299,87085,89110,87068,88213,91845,89410,90143,88888,87765,88382.6
29,30,84813,87085,89110,87068,88213,91845,87360,90143,89464,86388,88148.9
30,31,84813,86643,89110,86344,91344,89261,87360,90143,89788,86388,88119.4
31,32,84813,86643,89110,86344,91344,91845,87360,90902,89788,86358,88450.7
32,33,85705,86808,90760,86344,91973,91103,87360,91413,89883,86358,88770.7
33,34,85694,86839,90760,88688,89585,90987,87680,91701,89883,86358,88817.5
34,35,85694,87058,93469,88188,89585,89403,87170,91701,89883,86358,88850.9
35,36,85694,86099,91966,88188,88430,89855,87170,91457,89876,86358,88509.3
36,37,86186,86099,91966,88188,90087,87212,87713,89688,89360,86358,88285.7
37,38,86186,87748,91966,89812,90087,87212,87713,89688,89220,86358,88599.0
38,39,85725,87954,91966,89812,90087,89810,87713,89688,89220,86358,88833.3
39,40,84875,88511,91966,89131,90087,89810,86523,89688,89220,86358,88616.9
40,41,84875,88511,90462,89131,87420,88203,86523,89688,89220,86358,88039.1
41,42,85725,88511,89492,89150,86567,88203,86523,89688,89220,86585,87966.4
42,43,85725,88511,89492,89150,86567,89810,86523,91720,89220,86585,88330.3
43,44,87046,88511,89492,88057,86567,89950,88569,91720,88896,86585,88539.3
44,45,87489,84744,89492,87301,86567,89950,88569,93018,89360,86585,88307.5
45,46,87489,85059,89492,87301,86567,89704,88569,93018,89994,86531,88372.4
46,47,87489,85059,89492,88057,86567,89704,89193,93018,89994,86531,88510.4
47,48,87677,85059,89492,87912,86567,89704,89193,93018,89949,86531,88510.2
48,49,84634,86626,89492,85724,90173,87653,89193,92924,89394,86082,88189.5
49,50,84809,88672,89752,85724,90173,87653,85486,92924,89394,86531,88111.8
50,51,87485,88672,89752,83438,93232,87653,85486,92924,89394,86531,88456.7
51,52,87485,88672,89715,83438,93232,87653,85486,92924,89226,86531,88436.2
52,53,87485,88672,89715,83438,92572,87653,87387,94182,89226,86585,88691.5
