,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,88147,89522,88776,86790,88414,86086,87627,84790,84226,86564,87094.2
1,2,87532,86362,88776,86790,88134,86086,86897,84790,84226,85819,86541.2
2,3,86462,86314,88776,86790,88134,86086,86897,84790,84226,85819,86429.4
3,4,86462,86314,88776,86790,86419,86086,86897,84630,84226,84456,86105.6
4,5,86462,86314,88776,86386,86419,86086,86229,84630,84226,84456,85998.4
5,6,86462,86314,88776,86386,85813,86086,86054,84630,84226,84456,85920.3
6,7,85506,84451,87632,86386,85813,86068,85165,84630,84226,84456,85433.3
7,8,83985,84451,87022,86386,85578,86068,85165,84043,84226,84456,85138.0
8,9,83985,84451,87022,84810,85578,83678,85165,84043,83144,82044,84392.0
9,10,83985,84451,87022,84810,85378,83678,84559,84043,83144,82044,84311.4
10,11,83985,83964,87022,84810,84667,83678,83586,83699,83144,82044,84059.9
11,12,83196,83964,87022,84810,84491,83678,83586,83699,83144,82044,83963.4
12,13,83196,83964,86559,84787,82299,83678,83586,83112,83144,82044,83636.9
13,14,83196,83964,86559,83450,82299,82939,83586,82128,83144,82044,83330.9
14,15,83196,83964,84827,83450,82299,82939,83088,81180,83144,81755,82984.2
15,16,83196,83964,84827,83450,81028,81608,81035,81180,83144,81755,82518.7
16,17,82713,83964,84827,83450,81028,81608,81035,81180,83144,81755,82470.4
17,18,82713,83896,84827,83450,81028,81608,81035,81180,83144,81755,82463.6
18,19,81563,83896,84827,83148,81028,81608,80382,81180,81576,81755,82096.3
19,20,81563,83896,84678,83148,80332,81608,80382,81180,81171,81693,81965.1
20,21,81508,83896,84678,81984,80332,80324,80382,80575,80609,81693,81598.1
21,22,81508,83158,84017,81984,80332,80324,80382,80575,80609,81677,81456.6
22,23,81508,83158,84017,81984,80198,80324,80382,80575,80609,81655,81441.0
23,24,81508,82925,84017,81984,79940,80324,80382,80418,80609,81655,81376.2
24,25,81508,82925,84017,81984,79940,80324,80382,80418,80609,81019,81312.6
25,26,81508,82925,84017,81984,79940,80324,80382,80256,80609,79330,81127.5
26,27,81395,81172,83801,81501,79940,80324,79555,80256,80609,79330,80788.3
27,28,81185,81172,82295,81501,79777,80324,78508,78248,80319,79330,80265.9
28,29,81185,81172,82295,81501,79777,80324,78508,78248,80319,79330,80265.9
29,30,79950,81172,82070,81501,79366,77879,78508,78248,80319,78703,79771.6
30,31,78961,81172,82070,81328,79366,77879,78508,78248,80092,78703,79632.7
31,32,78961,81172,81045,81328,79366,77879,78508,78248,80092,78424,79502.3
32,33,78961,81172,81045,81328,79034,76438,78508,78248,80092,78424,79325.0
33,34,78961,81172,81045,81328,79034,76345,78508,78248,80092,78424,79315.7
34,35,78961,81172,81045,80039,79034,76345,78508,78248,80092,78424,79186.8
35,36,78961,81172,81045,80039,78345,76345,78508,78248,79692,77731,79008.6
36,37,78961,81172,81045,80039,77449,76345,78412,78248,79692,77158,78852.1
37,38,78961,81113,81045,80039,77279,76345,78412,78248,79692,77158,78829.2
38,39,78505,81100,81045,80022,77279,76345,78412,76670,79149,77158,78568.5
39,40,78505,79139,81028,80022,77279,76345,78412,76670,79149,77158,78370.7
40,41,78505,79139,81028,80022,77279,76345,78310,76670,79149,77158,78360.5
41,42,78024,78610,81028,79156,76309,75326,77870,76670,79081,76593,77866.7
42,43,78024,78610,80478,79156,76309,75326,77870,76592,79081,76435,77788.1
43,44,75476,78610,80478,79156,76309,75326,77870,76592,78851,75652,77432.0
44,45,75476,78610,80478,79156,76288,75326,77870,76592,78851,75652,77429.9
45,46,75476,78610,80478,78743,75406,75326,77533,76592,78238,75652,77205.4
46,47,75476,78198,80478,78743,75406,75326,77487,76592,77641,75652,77099.9
47,48,75476,78198,80478,78743,75406,75326,77379,76592,77641,75652,77089.1
48,49,75476,78198,80478,77709,75406,74928,77379,76592,77641,75264,76907.1
49,50,75476,78198,80478,77709,75406,74928,76593,76592,77641,75264,76828.5
50,51,75476,76479,80478,77405,75406,74404,76593,76508,77641,75168,76555.8
51,52,75476,76479,80478,77405,73417,74404,76593,76131,77010,74745,76213.8
52,53,75476,76479,80478,77405,73417,74404,76593,75561,77009,73986,76080.8
53,54,75284,76479,80478,77066,72410,73846,76593,75561,77009,73986,75871.2
54,55,75284,76479,80114,77066,72410,73846,76593,75561,76954,73986,75829.3
55,56,75284,76479,78538,77066,72410,73846,76593,75561,76954,73633,75636.4
56,57,75284,76479,78538,75724,72410,73657,76468,75561,76693,73633,75444.7
57,58,75284,76479,78538,75724,72410,73657,76071,75561,76693,73633,75405.0
58,59,75235,75113,78538,75724,72410,72807,76001,75561,76693,73633,75171.5
59,60,74476,75113,78538,75724,72410,72807,76001,75561,76693,73633,75095.6
60,61,74476,74962,78226,75724,72410,72807,76001,75561,76693,72668,74952.8
61,62,74476,74962,77878,75114,72124,72807,75654,74478,76693,72668,74685.4
62,63,74431,74962,77392,75114,72124,72807,75654,74478,76693,72668,74632.3
63,64,74238,74962,77087,75037,72124,72676,75317,74478,76315,72668,74490.2
64,65,74238,74962,76897,74826,72124,72676,74527,74478,76315,72668,74371.1
