,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,87844,86012,87350,85349,87281,87145,86084,82234,83855,85033,85818.7
1,2,87435,83560,86763,84909,85597,86683,85737,82091,83855,84660,85129.0
2,3,86439,83015,86304,84303,84564,85267,85451,82174,82723,84105,84434.5
3,4,85467,83015,85600,82289,84377,84451,83887,81858,82723,82475,83614.2
4,5,84568,81605,85574,82289,83903,84451,83462,81785,82102,80866,83060.5
5,6,84568,80832,85574,81492,83903,83690,83363,81682,82074,81102,82828.0
6,7,84568,79496,85574,81480,83690,83217,83208,81682,81896,80998,82580.9
7,8,83697,78888,84488,81148,83537,83033,82116,81487,81896,80998,82128.8
8,9,81577,78623,83209,81148,83249,83018,81983,81487,81896,79229,81541.9
9,10,81481,77830,82802,79678,83249,83139,81686,81241,81896,79149,81215.1
10,11,80058,77554,82455,78424,83249,83271,81290,79929,81778,79149,80715.7
11,12,79716,77554,81329,77874,83249,82209,81290,80992,81778,79139,80513.0
12,13,78685,77554,80952,77311,82869,82163,81290,79954,81778,79139,80169.5
13,14,77648,77554,79738,77235,82462,82163,81093,79737,81778,78962,79837.0
14,15,77648,76968,79719,76168,81695,82163,80157,78785,81132,78498,79293.3
15,16,77648,77018,79738,75925,81952,82163,80092,78305,80554,78326,79172.1
16,17,77279,77018,79711,74994,81952,82090,80039,77712,80554,78210,78955.9
17,18,76837,76027,79747,74156,81541,81181,79903,76941,80372,77114,78381.9
18,19,76686,76027,79161,72656,80832,80774,78511,76941,79593,77114,77829.5
19,20,76461,75255,79161,72256,80175,80468,78459,76866,79593,77114,77580.8
20,21,76461,74862,75669,71359,79944,80094,77033,76572,78638,76730,76736.2
21,22,76461,73932,75610,71084,79915,79448,77001,76572,78604,76608,76523.5
22,23,76461,73932,75610,71084,79915,79014,77001,75808,77711,76552,76308.8
23,24,76420,73723,75129,71084,79536,77819,77001,75808,77643,75843,76000.6
24,25,76265,73343,75129,71084,79519,77292,77001,75808,76572,75670,75768.3
25,26,76265,72363,74519,71084,79519,77292,77001,75678,74554,74800,75307.5
26,27,76265,72218,74488,71084,79178,77280,76959,74246,74369,74800,75088.7
27,28,76247,71651,74456,70644,78945,76983,76057,73586,74369,74754,74769.2
28,29,76247,71651,74113,70644,78757,76597,76028,72466,73141,74376,74402.0
29,30,76247,71618,73571,70148,78757,75970,75224,72466,73064,74376,74144.1
30,31,76247,71443,73526,69914,78757,75970,74328,71675,73015,73032,73790.7
31,32,76097,71143,73526,69170,78639,75150,74328,70006,72689,72729,73347.7
32,33,75282,70692,72969,69015,78457,74936,74328,69684,72689,72729,73078.1
33,34,75282,69945,72061,68233,77679,74936,73002,69684,72397,72677,72589.6
34,35,75282,69874,71742,68233,77679,74852,71242,69684,71483,71937,72200.8
35,36,75282,69872,71942,67507,77372,74852,70233,69667,70398,71937,71906.2
36,37,75282,69684,71942,67419,77189,74852,70233,69581,70245,71937,71836.4
37,38,75282,69631,71272,66895,75939,74852,70127,69562,69254,71768,71458.2
38,39,75282,69631,71256,66216,75601,74723,70060,69581,68900,71768,71301.8
39,40,74500,68935,71217,64843,75601,74482,70060,68554,68900,71768,70886.0
40,41,74500,68935,71090,64197,74162,74482,69189,68842,67816,71077,70429.0
41,42,73278,68748,70461,63899,74162,74482,69189,68842,67789,71077,70192.7
42,43,73278,68227,70375,63632,74043,74480,68966,68842,67082,70658,69958.3
43,44,73231,67618,70248,63712,72383,74346,68329,68137,65589,70657,69425.0
44,45,73231,66675,70248,63221,71831,74285,68337,68040,65589,70657,69211.4
45,46,73231,66602,69434,62979,71819,74285,68337,68028,65589,70588,69089.2
46,47,73231,66602,68369,62979,71406,73077,68151,67804,65688,70252,68755.9
47,48,73124,66602,67902,62979,71406,72866,67628,67319,65170,70252,68524.8
48,49,73124,65302,66729,62502,71373,72691,67628,67319,65157,70252,68207.7
49,50,72923,64980,66467,62308,70777,72395,67396,66957,64838,69946,67898.7
50,51,72641,64966,65810,62167,70777,72322,66178,66840,64838,69541,67608.0
51,52,72514,64966,65810,62041,69629,71654,66178,66840,64513,68989,67313.4
52,53,72514,64720,65810,61944,69209,70912,66178,66264,64331,68989,67087.1
53,54,72514,64491,65426,61944,69077,70672,65762,65931,64183,68989,66898.9
54,55,72058,64261,65426,61944,68765,70023,65283,65499,63566,68608,66543.3
55,56,71899,64261,65384,61944,68705,70023,65283,65499,63566,68506,66507.0
56,57,71384,64257,65384,61059,68548,69005,65283,65499,63565,68506,66249.0
57,58,70943,64257,65348,60133,68548,68894,65165,65174,63565,67605,65963.2
58,59,70943,64058,64578,60010,68083,68894,64772,64776,63555,67191,65686.0
59,60,70389,63905,64578,60007,67773,66486,64777,63407,63555,66983,65186.0
60,61,70257,63830,64185,59839,67247,66469,64637,63235,63305,66983,64998.7
61,62,70257,63554,64185,59808,66721,66469,64620,63268,62590,66983,64845.5
62,63,70254,63554,64185,59808,66721,66054,64541,62453,62513,66983,64706.6
63,64,69052,62502,64105,59808,65551,66054,64277,61934,62513,65905,64170.1
64,65,68901,62218,63635,59702,65289,66013,63824,61934,62513,65398,63942.7
65,66,68681,62203,62976,59698,65002,66017,63785,61934,61302,65398,63699.6
66,67,67625,61967,62247,59505,65002,66017,63769,61934,61302,65398,63476.6
67,68,67625,61375,62247,59505,64617,65201,63769,61934,60326,65398,63199.7
68,69,67625,61022,61155,59171,64190,65201,63769,61822,60326,64772,62905.3
69,70,65186,61012,60534,59096,64190,65201,63553,61643,60681,64141,62523.7
70,71,65186,61012,60534,59096,63630,65125,63546,61643,60681,64141,62459.4
71,72,65179,60945,60534,59050,63630,64963,63105,61643,60643,63643,62333.5
72,73,65186,60945,59616,58363,63630,64558,63047,61553,60188,63183,62026.9
73,74,64785,60945,59577,58097,63022,63771,62232,61519,59391,62942,61628.1
74,75,64785,60945,59516,57574,63022,63737,62193,61160,59391,63096,61541.9
