,Generations,Run 1 BSF,Run 2 BSF,Run 3 BSF,Run 4 BSF,Run 5 BSF,Run 6 BSF,Run 7 BSF,Run 8 BSF,Run 9 BSF,Run 10 BSF,Average BSF
0,1,85942,84993,82518,86054,86506,85425,87006,87112,82232,83524,85131.2
1,2,85942,84993,80749,83974,86506,84475,86332,85769,81471,82076,84228.7
2,3,85762,83889,80007,83974,85430,84201,85724,85769,81357,81987,83810.0
3,4,84135,82799,80007,83974,85430,83902,84550,85338,80029,80193,83035.7
4,5,84109,82676,80007,83284,85430,83297,84126,84016,79634,80078,82665.7
5,6,83086,81622,80007,82873,84706,83011,83496,82896,79270,79014,81998.1
6,7,81929,81066,80007,81425,84706,81978,82281,81741,78956,78743,81283.2
7,8,81734,79384,79330,81425,84079,81811,81943,81394,78034,77876,80701.0
8,9,80364,77456,78466,81246,82650,79993,81873,80736,77122,77451,79735.7
9,10,79607,74967,78466,80607,82650,78493,80979,80000,76967,77306,79004.2
10,11,79333,74967,78466,80607,82650,78035,80835,80000,76706,76860,78845.9
11,12,79333,74967,78459,80388,82409,77076,80825,80000,75142,75573,78417.2
12,13,78248,74800,78413,79658,80788,76911,80254,79525,75142,75565,77930.4
13,14,78248,74800,78413,79120,80101,76627,80069,79525,74673,74652,77622.8
14,15,76921,73381,77837,77901,79898,76627,79936,79242,74673,74652,77106.8
15,16,76058,73381,76630,77657,78798,76627,79650,78205,73660,74497,76516.3
16,17,74265,72784,75174,76925,77573,76258,78539,78049,73281,73803,75665.1
17,18,74265,71853,74854,76925,77373,75339,78137,77940,73273,73680,75363.9
18,19,73798,71552,73960,76217,76901,74831,78137,77444,72611,73408,74885.9
19,20,73798,70766,73960,75994,76515,74831,77605,77279,72268,72108,74512.4
20,21,73196,70766,73229,75576,75181,74587,77598,77279,72246,70791,74044.9
21,22,72183,70427,72976,75231,75181,72916,74342,76960,72147,70408,73277.1
22,23,72183,70234,72872,75231,74810,72612,74342,76960,72147,70195,73158.6
23,24,72157,69615,71480,75015,74668,72460,72830,76529,71708,69444,72590.6
24,25,72144,69615,70404,74927,74397,71994,72575,76157,70607,69444,72226.4
25,26,72054,69317,70025,74927,74181,71278,72575,75742,70306,69102,71950.7
26,27,71723,69087,67274,74927,73001,71278,72253,74567,70067,68863,71304.0
27,28,71267,68898,67262,74927,72099,70152,72253,73891,70067,68863,70967.9
28,29,70444,68304,65663,74779,71687,69637,71975,73891,69265,68189,70383.4
29,30,69940,68155,65663,73766,71284,69628,71975,73866,68668,67962,70090.7
30,31,69940,67759,65448,73738,71019,69010,71975,73089,68526,67917,69842.1
31,32,69630,67758,65448,73247,70645,68979,71975,72627,66898,67189,69439.6
32,33,69630,67218,65117,72471,69539,68569,71917,71928,66898,67189,69047.6
33,34,68756,66672,65117,72471,69131,67882,71540,71488,66030,67162,68624.9
34,35,68432,66262,65117,71959,69123,67882,71509,70982,65946,66874,68408.6
35,36,68381,66233,64209,71013,68667,67590,71169,70982,65063,65990,67929.7
36,37,67623,66222,64084,69552,68667,66716,69838,70199,65063,65990,67395.4
37,38,67554,64855,63866,69193,68667,65921,69838,69369,64988,65990,67024.1
38,39,67491,64855,63330,67591,68031,65921,69838,68620,64834,65990,66650.1
39,40,67401,64526,63257,67221,68031,65483,69838,68163,64644,65990,66455.4
40,41,67099,64526,63257,66844,67349,64949,69702,67551,64398,65990,66166.5
41,42,67099,63639,63164,66544,66441,64790,69425,66696,64067,65816,65768.1
42,43,66987,63465,63164,64704,65192,63453,69425,66696,64067,65299,65245.2
43,44,66204,63465,62518,64704,64283,63157,67859,66688,64067,64695,64764.0
44,45,65840,63465,60051,64704,64271,62742,67045,65912,64067,64695,64279.2
45,46,65632,63128,59779,64704,63984,62448,65511,65912,63855,63420,63837.3
46,47,65632,63128,59482,64584,62962,61582,64964,65303,63677,63420,63473.4
47,48,65446,63021,59379,64584,61895,61582,64964,65303,63502,63372,63304.8
48,49,65270,62862,59150,64239,61895,61582,64346,64882,63502,62403,63013.1
49,50,65264,62509,59150,63950,61792,61582,63973,64204,63502,61551,62747.7
50,51,65188,62454,59142,63612,60876,61582,63608,64198,63222,61541,62542.3
51,52,65188,62071,58304,63612,60368,60777,63387,64050,63222,61462,62244.1
52,53,64224,61115,58117,63362,60368,60777,63387,63743,62747,61462,61930.2
53,54,64062,60907,57979,62815,60238,60777,63387,62695,62747,60592,61619.9
54,55,64062,60907,57912,62404,60238,60704,63171,62695,62747,60437,61527.7
55,56,63828,60768,57547,62157,60238,60604,63171,62695,62686,60437,61413.1
56,57,63713,59844,57547,61950,60238,60604,61775,62440,62684,60437,61123.2
57,58,63686,59844,57547,61132,60238,60604,61419,62259,61985,60437,60915.1
58,59,62920,59844,57513,60016,60238,60147,61416,61883,61985,59565,60552.7
59,60,62216,59749,57116,59968,60238,60074,60341,61726,61985,59470,60288.3
60,61,61902,59321,57116,59581,60238,59929,60341,60927,61883,59358,60059.6
61,62,61803,59321,56801,59224,60238,59021,60341,60874,61607,59358,59858.8
62,63,61581,59321,56801,58323,60238,58791,59778,60362,61096,59116,59540.7
63,64,61490,59321,56324,58203,60238,58763,59413,60221,61096,59116,59418.5
64,65,61490,59310,56123,58159,60238,58587,59413,60212,61096,58835,59346.3
65,66,61422,58930,55613,57859,60238,58587,59413,60144,60727,58835,59176.8
66,67,61312,58872,55561,57237,60238,58587,59374,60078,60519,58649,59042.7
67,68,60696,58872,55561,57236,60238,58587,59113,60078,60031,58589,58900.1
68,69,59763,58872,55561,56814,60238,56897,58166,59604,59854,58209,58397.8
69,70,59326,58660,55000,56485,60238,56897,58166,59540,59730,57801,58184.3
70,71,59326,58660,54829,56485,60238,56897,57641,58882,59730,56885,57957.3
71,72,58991,58367,54508,56246,60238,56247,57472,58809,58671,56850,57639.9
72,73,58939,58177,54508,56246,60238,56247,57362,58700,58671,56518,57560.6
73,74,58728,57714,54508,56246,59731,56202,57362,58700,58671,56047,57390.9
74,75,58361,57714,54508,56232,59126,55890,57362,58176,58644,55736,57174.9
75,76,58361,57554,54029,56210,58916,55890,57155,58176,58644,55698,57063.3
76,77,57970,57077,53321,55986,58243,55659,57155,58176,58495,55698,56778.0
77,78,57941,55776,52838,55470,58243,55659,56734,58114,58495,55474,56474.4
78,79,57941,55415,52838,55119,57894,55659,56326,58114,58329,55472,56310.7
79,80,57571,55415,52838,54933,57894,55659,55828,58046,58329,55472,56198.5
80,81,57571,55415,52574,54772,57315,55363,55640,57676,58329,55273,55992.8
81,82,57571,55241,52574,54772,56786,54854,55354,57250,57271,54942,55661.5
