,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,91577.86666666667,92083.0,91098.93333333333,91298.0,90398.83333333333,90169.7,91248.0,91016.4,91554.2,90091.5,91053.64333333333
1,2,90867.53333333334,91180.6,90335.8,89349.6,89191.23333333334,88523.23333333334,89959.16666666667,90638.6,90405.0,88920.4,89937.11666666667
2,3,89480.0,90247.06666666667,89366.46666666666,88303.8,88495.23333333334,86855.0,88966.63333333333,89955.16666666667,90087.13333333333,87583.96666666666,88934.04666666666
3,4,88680.86666666667,88880.33333333333,89232.43333333333,86536.0,88016.6,85902.93333333333,87926.5,88335.43333333333,89663.26666666666,86099.96666666666,87927.43333333333
4,5,88216.76666666666,88175.83333333333,88930.56666666667,85761.56666666667,87660.26666666666,85470.26666666666,86677.7,86775.86666666667,89424.5,84827.56666666667,87192.09
5,6,87439.93333333333,88016.63333333333,88795.83333333333,85035.83333333333,87065.63333333333,85042.4,85883.83333333333,85812.16666666667,88779.96666666666,84197.6,86606.98333333332
6,7,86979.36666666667,87501.73333333334,88279.9,84142.13333333333,86365.13333333333,84048.66666666667,85233.4,85083.0,88478.46666666666,83857.43333333333,85996.92333333332
7,8,86682.43333333333,86987.3,87967.0,83463.4,85619.33333333333,83338.63333333333,84432.26666666666,84210.3,87933.93333333333,83103.8,85373.84000000001
8,9,86575.3,86199.33333333333,87591.4,82948.43333333333,84986.63333333333,82703.7,83867.26666666666,83302.76666666666,87165.73333333334,82563.73333333334,84790.43000000001
9,10,86429.6,85733.1,87443.3,82227.46666666666,84252.6,82354.36666666667,83420.2,82624.53333333334,86572.53333333334,81908.83333333333,84296.65333333334
10,11,86036.76666666666,85295.5,87372.43333333333,81815.7,83739.86666666667,82236.7,83169.43333333333,82050.1,85895.1,81401.16666666667,83901.27666666666
11,12,85712.76666666666,84768.13333333333,87155.86666666667,81479.16666666667,83482.46666666666,81983.7,82767.1,81938.4,85115.16666666667,81164.93333333333,83556.77
12,13,85291.96666666666,84074.53333333334,86977.9,81168.6,83266.56666666667,81610.26666666666,82503.96666666666,81754.63333333333,84259.36666666667,80885.9,83179.37
13,14,84877.8,83750.0,86511.5,80915.7,82840.86666666667,81199.06666666667,81997.16666666667,81402.13333333333,83521.13333333333,80556.13333333333,82757.15
14,15,84596.3,83606.6,86279.4,80553.43333333333,82552.6,81023.36666666667,81492.66666666667,81175.8,82953.3,80362.5,82459.59666666668
15,16,84441.43333333333,83111.6,86019.33333333333,80403.6,82451.63333333333,80785.46666666666,81364.4,80962.96666666666,82565.53333333334,80025.1,82213.10666666666
16,17,84011.36666666667,82906.4,85392.7,80061.0,82081.53333333334,80655.5,81245.86666666667,80581.86666666667,82294.63333333333,79783.96666666666,81901.48333333334
17,18,83362.83333333333,82750.73333333334,84846.23333333334,79575.33333333333,81458.7,80481.33333333333,81009.96666666666,80383.53333333334,82141.3,79537.66666666667,81554.76333333334
18,19,82758.56666666667,82535.7,84515.73333333334,79174.63333333333,81132.16666666667,80289.2,80844.0,80022.5,82017.56666666667,79232.23333333334,81252.23000000001
19,20,82268.23333333334,82411.63333333333,84099.83333333333,78836.2,80717.06666666667,80075.73333333334,80587.96666666666,79964.33333333333,81845.76666666666,78940.03333333334,80974.68
20,21,82016.73333333334,82206.3,83823.66666666667,78493.76666666666,80498.86666666667,79848.26666666666,80396.86666666667,79676.96666666666,81716.73333333334,78700.53333333334,80737.87000000001
21,22,81778.5,82003.16666666667,83543.53333333334,78207.16666666667,80079.23333333334,79623.1,80160.1,79460.26666666666,81463.6,78264.4,80458.30666666667
22,23,81477.46666666666,81939.6,83272.36666666667,77868.26666666666,79781.13333333333,79540.73333333334,79865.43333333333,79249.3,81293.16666666667,77978.36666666667,80226.58333333333
23,24,81254.13333333333,81671.93333333333,83210.2,77378.26666666666,79590.0,79411.1,79611.83333333333,79028.13333333333,80943.4,77532.1,79963.11
24,25,80824.96666666666,81346.16666666667,83165.06666666667,76969.33333333333,79394.2,79221.83333333333,79297.23333333334,78796.73333333334,80838.33333333333,77176.13333333333,79703.00000000001
