,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,93059.8,93516.06666666667,93815.16666666667,92753.16666666667,94896.3,91270.96666666666,93591.63333333333,92387.53333333334,92587.53333333334,94053.76666666666,93193.19333333333
1,2,92782.26666666666,94903.33333333333,93345.16666666667,92813.96666666666,95683.36666666667,92111.76666666666,93716.7,92020.0,93058.46666666666,94760.46666666666,93519.55
2,3,93360.06666666667,95596.63333333333,92544.23333333334,93384.43333333333,96110.63333333333,92230.66666666667,93878.6,92563.9,92801.13333333333,95364.86666666667,93783.51666666666
3,4,94751.96666666666,95256.73333333334,92604.46666666666,93996.86666666667,97059.3,92143.33333333333,93589.36666666667,92962.4,93350.63333333333,96019.06666666667,94173.41333333333
4,5,94950.6,94715.7,92244.96666666666,94261.13333333333,96661.73333333334,92372.1,93922.76666666666,92472.6,93286.46666666666,96122.03333333334,94101.01
5,6,95762.06666666667,96065.5,92449.16666666667,94711.73333333334,96087.4,93025.36666666667,94523.66666666667,92633.73333333334,93455.76666666666,96018.73333333334,94473.31333333332
6,7,95033.2,95728.56666666667,92540.4,95605.53333333334,95489.33333333333,93004.6,94217.5,92286.2,93440.7,96365.5,94371.15333333332
7,8,95263.5,96436.46666666666,92846.56666666667,96073.2,96148.63333333333,93510.2,94396.53333333334,92296.43333333333,92553.0,95768.76666666666,94529.33
8,9,93983.53333333334,97103.86666666667,93832.43333333333,95631.66666666667,96192.66666666667,92941.23333333334,95057.53333333334,92138.36666666667,92767.03333333334,95413.66666666667,94506.20000000001
9,10,93714.66666666667,97157.76666666666,93864.93333333333,95916.03333333334,95085.06666666667,93765.53333333334,94804.63333333333,92431.6,92182.7,95588.43333333333,94451.13666666666
10,11,93932.7,98440.9,94684.76666666666,96363.36666666667,96058.96666666666,93779.53333333334,93700.3,93214.5,93129.46666666666,95373.1,94867.76
11,12,93815.83333333333,97707.96666666666,94275.76666666666,96538.26666666666,96075.63333333333,93790.9,94234.76666666666,93639.36666666667,92893.3,94705.2,94767.7
12,13,93850.56666666667,97044.43333333333,93543.26666666666,96460.63333333333,96339.13333333333,93996.06666666667,94775.6,93378.56666666667,92502.9,94621.4,94651.25666666667
13,14,93854.53333333334,96930.4,93407.03333333334,96264.86666666667,96520.43333333333,94127.63333333333,94427.93333333333,93383.7,92217.33333333333,94655.9,94578.97666666667
14,15,94306.06666666667,96376.46666666666,92639.33333333333,96493.2,95479.16666666667,94624.56666666667,95068.36666666667,93932.86666666667,92577.66666666667,95217.8,94671.55000000002
15,16,94829.8,95927.86666666667,91970.53333333334,96798.43333333333,95406.23333333334,95175.33333333333,95017.13333333333,94301.0,92652.7,96229.36666666667,94830.84
16,17,95228.0,96875.8,92325.2,96977.56666666667,95152.73333333334,95399.3,94769.7,94049.26666666666,93007.03333333334,96209.1,94999.37
