,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,92935.1,92325.4,93066.03333333334,93336.56666666667,92854.53333333334,92571.06666666667,94195.13333333333,93284.7,93610.33333333333,93339.0,93151.78666666665
1,2,93296.2,92466.06666666667,93657.8,93108.6,93095.76666666666,92910.96666666666,94190.13333333333,94174.13333333333,93398.16666666667,92757.73333333334,93305.55666666664
2,3,93424.16666666667,91979.93333333333,93420.4,93185.93333333333,92717.0,93058.63333333333,93950.66666666667,94570.83333333333,93289.0,92344.9,93194.14666666667
3,4,93272.26666666666,92660.16666666667,92565.4,92765.7,92821.96666666666,93436.6,94212.06666666667,94821.86666666667,92858.66666666667,92958.56666666667,93237.32666666668
4,5,93543.06666666667,92618.8,93216.56666666667,92711.43333333333,93052.96666666666,93222.13333333333,94177.96666666666,94517.5,92751.23333333334,92895.33333333333,93270.70000000001
5,6,93387.4,92402.36666666667,93935.16666666667,92560.4,92935.6,93599.63333333333,93874.6,94513.2,93183.93333333333,93131.46666666666,93352.37666666666
6,7,92928.76666666666,92414.13333333333,93163.13333333333,92794.33333333333,92471.9,94021.7,93811.5,94471.56666666667,92932.13333333333,93089.26666666666,93209.84333333331
7,8,92586.73333333334,92101.53333333334,93916.63333333333,92353.66666666667,92478.0,93579.3,93676.2,94073.63333333333,93491.2,93050.53333333334,93130.74333333332
8,9,92165.03333333334,92286.83333333333,93667.66666666667,92366.7,92761.63333333333,92941.03333333334,93598.8,94038.3,93331.76666666666,92474.43333333333,92963.22000000002
9,10,92492.03333333334,92420.3,94098.33333333333,92708.66666666667,92041.63333333333,92810.43333333333,93775.8,93839.8,92561.26666666666,92110.1,92885.83666666668
10,11,92324.63333333333,92199.03333333334,94179.36666666667,92687.6,91587.73333333334,93010.0,93150.16666666667,94284.86666666667,92301.43333333333,92222.73333333334,92794.75666666667
11,12,92165.13333333333,91636.03333333334,94240.86666666667,92348.16666666667,91889.16666666667,93264.6,93021.33333333333,94099.66666666667,91801.63333333333,91780.1,92624.67
12,13,92588.9,91774.4,94286.33333333333,92197.7,92027.0,93079.73333333334,92876.6,94227.43333333333,92031.4,92781.06666666667,92787.05666666667
13,14,92180.73333333334,92016.13333333333,93263.2,92412.8,92091.4,93305.73333333334,92673.13333333333,94529.06666666667,92088.06666666667,93148.73333333334,92770.9
14,15,91708.7,92041.6,93586.0,92557.2,91790.16666666667,93671.46666666666,92864.8,95085.56666666667,92529.1,93240.7,92907.53
15,16,91020.2,92722.76666666666,94045.1,92482.93333333333,91611.56666666667,93560.5,92853.0,95122.06666666667,92494.96666666666,93103.7,92901.68
16,17,91646.93333333333,93602.2,94285.66666666667,91903.0,91564.96666666666,93341.53333333334,92959.46666666666,95725.43333333333,92522.56666666667,92603.9,93015.56666666668
17,18,91682.3,93631.83333333333,93714.73333333334,91886.6,91865.0,93617.73333333334,93244.2,96108.13333333333,93277.0,92936.36666666667,93196.38999999998
18,19,91079.9,94309.03333333334,94397.83333333333,91916.6,91754.93333333333,94022.26666666666,93238.2,96448.93333333333,93469.3,92470.63333333333,93310.76333333334
