,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,91831.73333333334,91808.36666666667,91189.66666666667,92875.3,91535.1,91989.96666666666,91999.16666666667,90242.66666666667,92610.83333333333,92330.43333333333,91841.32333333333
1,2,90905.26666666666,91225.3,90427.76666666666,91131.76666666666,90326.16666666667,91349.9,90834.73333333334,89865.3,91760.53333333334,91496.8,90932.35333333333
2,3,89829.93333333333,90323.76666666666,89749.1,90546.83333333333,89751.4,90906.5,90024.6,89064.1,91137.8,91182.36666666667,90251.64
3,4,89116.8,89640.9,89052.9,89549.96666666666,88768.7,90348.3,89781.73333333334,87988.93333333333,90800.86666666667,90414.33333333333,89546.34333333335
4,5,88776.86666666667,89225.53333333334,88296.86666666667,88762.56666666667,88246.9,90078.76666666666,89254.1,87461.7,90186.73333333334,89893.06666666667,89018.30999999998
5,6,88338.76666666666,88938.73333333334,87624.86666666667,88226.16666666667,87781.0,89887.46666666666,88945.9,86875.2,89799.3,89725.56666666667,88614.29666666666
6,7,87985.0,88608.4,87269.56666666667,87936.83333333333,87310.7,89685.26666666666,88724.83333333333,86271.0,89051.0,89235.56666666667,88207.81666666667
7,8,87541.13333333333,87930.56666666667,86622.5,87337.76666666666,86481.93333333333,89423.4,88345.46666666666,85260.16666666667,88745.7,88829.86666666667,87651.85
8,9,87338.56666666667,87137.56666666667,85808.43333333333,87041.7,86145.1,89212.36666666667,87593.73333333334,84418.33333333333,88460.83333333333,88287.23333333334,87144.38666666669
9,10,87006.16666666667,86676.26666666666,85055.0,86505.36666666667,85676.13333333333,89103.33333333333,87130.66666666667,84173.7,87816.9,87854.16666666667,86699.76999999999
10,11,86746.7,86347.43333333333,84687.46666666666,86294.1,85018.06666666667,88873.8,86780.23333333334,83910.5,87784.96666666666,87337.6,86378.08666666666
11,12,86628.03333333334,86047.3,84023.16666666667,86066.43333333333,84838.13333333333,88541.06666666667,86524.96666666666,83865.23333333334,87256.16666666667,86820.23333333334,86061.07333333332
12,13,86439.13333333333,85577.7,83704.9,85831.66666666667,84485.63333333333,88308.16666666667,86051.93333333333,83207.8,86704.9,86382.03333333334,85669.38666666667
13,14,85667.2,85101.9,83499.7,85652.33333333333,84083.13333333333,88001.66666666667,85511.33333333333,82800.0,86363.56666666667,85720.46666666666,85240.12999999999
14,15,85389.36666666667,84853.13333333333,82958.93333333333,85553.13333333333,83570.53333333334,87468.76666666666,84899.26666666666,82604.66666666667,86044.8,85521.8,84886.44
15,16,84875.2,84476.83333333333,82752.03333333334,85333.26666666666,83344.4,87086.93333333333,84460.23333333334,82352.0,85710.96666666666,85413.0,84580.48666666666
16,17,84633.26666666666,84014.33333333333,82552.06666666667,85220.93333333333,83218.1,86927.1,84217.0,81806.26666666666,85223.13333333333,84875.4,84268.76
17,18,84370.96666666666,83820.66666666667,82338.7,85182.96666666666,82964.86666666667,86499.0,84114.56666666667,81431.83333333333,84447.73333333334,84547.56666666667,83971.88666666667
18,19,84195.56666666667,83395.83333333333,82158.13333333333,85113.3,82725.23333333334,86085.96666666666,83822.96666666666,81187.96666666666,83902.96666666666,84096.36666666667,83668.43000000001
19,20,83949.76666666666,82970.4,81991.03333333334,85059.1,82653.86666666667,85595.5,83404.1,80808.16666666667,83156.03333333334,83768.7,83335.66666666666
20,21,83783.8,82769.16666666667,81815.2,84979.8,82409.23333333334,85225.73333333334,83075.4,80788.33333333333,82828.13333333333,83515.93333333333,83119.07333333333
21,22,83482.13333333333,82624.83333333333,81793.5,84910.66666666667,82228.83333333333,84702.46666666666,82624.06666666667,80399.0,82361.03333333334,83168.0,82829.45333333334
22,23,83207.7,82507.73333333334,81607.16666666667,84772.6,81909.66666666667,84210.43333333333,82148.4,80302.13333333333,82133.1,82971.4,82577.03333333334
23,24,82684.46666666666,82210.66666666667,81396.5,84630.73333333334,81527.2,83708.7,81684.13333333333,80111.4,81726.0,82703.56666666667,82238.33666666667
24,25,82254.16666666667,81906.73333333334,81199.8,84507.8,81029.46666666666,83421.53333333334,81413.03333333334,79848.66666666667,81455.0,82550.73333333334,81958.69333333333
25,26,81550.2,81793.93333333333,80945.36666666667,84214.5,80856.16666666667,83043.5,81238.0,79392.03333333334,81247.36666666667,82354.56666666667,81663.56333333334
26,27,81292.6,81579.5,80725.73333333334,84086.7,80583.23333333334,82938.53333333334,81002.06666666667,79257.26666666666,80944.3,82128.63333333333,81453.85666666666
27,28,81087.56666666667,81434.43333333333,80618.93333333333,83928.66666666667,80370.9,82814.63333333333,80796.13333333333,78950.63333333333,80671.26666666666,81708.3,81238.14666666665
28,29,80956.6,81270.63333333333,80196.7,83761.63333333333,80222.6,82527.46666666666,80694.86666666667,78834.63333333333,80350.86666666667,81511.0,81032.7
29,30,80700.03333333334,81138.7,80106.2,83486.36666666667,80107.0,82341.93333333333,80191.76666666666,78581.23333333334,80217.76666666666,81326.63333333333,80819.76333333334
30,31,80432.43333333333,80860.4,80049.0,83415.0,79970.56666666667,82240.9,79824.33333333333,78299.06666666667,80016.9,81248.06666666667,80635.66666666666
31,32,80159.0,80584.06666666667,79608.5,83415.0,79885.4,82136.23333333334,79379.73333333334,78055.06666666667,79816.36666666667,80978.5,80401.78666666667
32,33,79792.66666666667,80446.93333333333,79448.06666666667,83200.63333333333,79675.76666666666,81825.06666666667,79094.5,77809.46666666666,79491.63333333333,80491.53333333334,80127.62666666666
33,34,79707.66666666667,80278.16666666667,79304.36666666667,83020.7,79629.53333333334,81710.0,78684.36666666667,77753.76666666666,79177.73333333334,79996.5,79926.28
34,35,79664.9,80054.33333333333,79232.3,82786.6,79491.4,81457.4,78362.0,77739.13333333333,78932.83333333333,79746.2,79746.70999999999
35,36,79467.96666666666,79729.06666666667,79040.46666666666,82678.63333333333,79173.4,81230.36666666667,77875.36666666667,77448.0,78779.4,79687.43333333333,79511.01000000001
36,37,79389.96666666666,79704.8,78740.36666666667,82170.6,79068.3,80922.46666666666,77657.93333333333,77224.36666666667,78570.26666666666,79378.6,79282.76666666666
37,38,79235.26666666666,79539.9,78568.1,82003.46666666666,78960.26666666666,80755.9,77343.03333333334,77091.76666666666,78123.7,79226.1,79084.74999999999
38,39,79092.56666666667,79403.53333333334,78076.46666666666,81772.76666666666,78856.96666666666,80616.9,76993.83333333333,76913.63333333333,78080.1,78922.53333333334,78872.93
