,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,91736.6,91146.83333333333,90553.9,91067.13333333333,89534.23333333334,90806.73333333334,91158.66666666667,90501.2,89700.63333333333,90189.4,90639.53333333333
1,2,90313.33333333333,90326.86666666667,88539.73333333334,89980.3,88867.36666666667,90117.3,90005.7,88863.4,88104.83333333333,88649.66666666667,89376.85
2,3,88498.86666666667,89551.96666666666,87634.26666666666,89169.23333333334,88619.93333333333,89225.4,89512.36666666667,87609.63333333333,86768.06666666667,87560.86666666667,88415.06
3,4,87767.3,88780.63333333333,86146.66666666667,87911.3,87290.83333333333,88281.73333333334,89142.86666666667,86800.2,86377.7,87257.03333333334,87575.62666666666
4,5,87144.9,88115.36666666667,85524.2,87419.7,86633.0,87817.73333333334,88678.33333333333,86508.4,85739.5,87055.4,87063.65333333335
5,6,86036.66666666667,88015.13333333333,85208.03333333334,86955.46666666666,86156.8,87605.7,88333.63333333333,86461.13333333333,85547.56666666667,86736.43333333333,86705.65666666666
6,7,85314.7,87662.43333333333,85022.16666666667,86317.7,85625.53333333334,87602.43333333333,87799.06666666667,86452.03333333334,85296.0,86389.4,86348.14666666667
7,8,84716.46666666666,87651.23333333334,83995.43333333333,85620.23333333334,85110.93333333333,87353.83333333333,87144.83333333333,86351.66666666667,84858.3,85986.8,85878.97333333334
8,9,84381.3,87650.36666666667,83428.73333333334,85185.23333333334,83728.1,87166.3,86607.16666666667,86352.66666666667,84525.3,85741.46666666666,85476.66333333334
9,10,82890.2,87665.63333333333,82141.53333333334,84858.8,82824.8,86880.56666666667,85914.86666666667,86305.93333333333,84024.33333333333,85275.6,84878.22666666665
10,11,82085.03333333334,87577.26666666666,81501.0,84411.0,81802.7,86563.43333333333,85592.93333333333,86284.9,83329.2,85129.76666666666,84427.72333333334
11,12,81403.56666666667,87580.7,80766.86666666667,83722.7,81419.36666666667,86176.03333333334,85350.63333333333,86275.5,81844.86666666667,84672.76666666666,83921.3
12,13,81134.96666666666,87472.96666666666,80026.56666666667,82910.9,81222.96666666666,85373.36666666667,84840.63333333333,86243.13333333333,80154.33333333333,84374.4,83375.42333333334
13,14,80888.63333333333,87501.36666666667,79709.3,82512.13333333333,81070.03333333334,84333.9,84098.8,86112.73333333334,79855.7,83906.3,82998.89000000001
14,15,80771.3,87450.23333333334,79429.76666666666,82236.23333333334,80765.13333333333,83781.93333333333,83893.56666666667,85912.23333333334,79783.96666666666,83760.36666666667,82778.47333333333
15,16,80719.16666666667,87286.9,79223.4,82073.16666666667,80504.63333333333,82996.43333333333,83701.46666666666,85634.23333333334,79706.13333333333,83760.86666666667,82560.63999999998
16,17,80659.03333333334,87253.6,79212.33333333333,81807.26666666666,80401.3,82863.46666666666,83487.9,85571.56666666667,79587.16666666667,83747.06666666667,82459.06999999999
17,18,80565.2,87169.43333333333,79167.86666666667,81695.16666666667,80218.93333333333,82806.43333333333,83143.6,85352.66666666667,79452.0,83428.5,82299.98000000001
18,19,80431.33333333333,87271.56666666667,79045.8,81353.76666666666,80008.56666666667,82741.53333333334,82731.3,85264.03333333334,79349.73333333334,83186.86666666667,82138.45
19,20,80257.66666666667,87001.4,78614.4,81241.16666666667,79816.06666666667,82674.46666666666,82219.6,85097.16666666667,79283.16666666667,82991.33333333333,81919.64333333333
20,21,80071.0,86911.53333333334,78329.36666666667,81167.53333333334,79726.03333333334,82463.2,81623.7,85020.23333333334,79203.16666666667,82799.06666666667,81731.48333333334
21,22,79948.93333333333,86950.33333333333,78253.56666666667,81068.33333333333,79432.03333333334,82286.0,81406.86666666667,84862.6,79073.53333333334,82685.5,81596.76999999999
22,23,79769.86666666667,86899.66666666667,77854.06666666667,80959.4,79274.63333333333,82275.16666666667,81114.86666666667,84705.1,78970.16666666667,82534.2,81435.71333333332
23,24,79553.1,86781.0,77640.5,80923.1,79053.86666666667,82168.3,80804.16666666667,84491.6,78885.73333333334,82410.96666666666,81271.23333333334
24,25,79438.86666666667,86677.56666666667,77509.46666666666,80915.66666666667,78935.36666666667,82050.0,80507.93333333333,84304.5,78736.83333333333,82130.6,81120.68000000001
25,26,79002.23333333334,86574.63333333333,77360.5,80735.16666666667,78727.2,81899.1,80326.9,84157.26666666666,78700.63333333333,82009.13333333333,80949.27666666666
26,27,78515.1,86369.6,77194.86666666667,80539.53333333334,78589.33333333333,81698.13333333333,80066.33333333333,83960.2,78548.86666666667,81800.7,80728.26666666666
27,28,77927.06666666667,86152.76666666666,77106.6,80292.36666666667,78458.76666666666,81551.8,79920.76666666666,83892.7,78465.63333333333,81754.36666666667,80552.28333333333
