,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,92302.7,92082.16666666667,92779.03333333334,93014.8,92879.2,93221.3,93257.5,93624.96666666666,93957.8,92346.2,92946.56666666668
1,2,91612.56666666667,92129.73333333334,93322.8,92121.53333333334,92779.63333333333,93446.66666666667,92976.36666666667,94065.8,93686.2,93090.8,92923.20999999999
2,3,91808.93333333333,92422.16666666667,93702.8,92677.26666666666,93046.0,93148.76666666666,92337.33333333333,94783.4,93840.36666666667,92863.36666666667,93063.04000000001
3,4,92151.4,92659.3,93526.26666666666,93091.33333333333,92867.03333333334,93832.36666666667,92721.33333333333,94678.73333333334,93494.1,92644.63333333333,93166.65
4,5,92098.66666666667,92801.33333333333,93352.33333333333,92880.56666666667,92808.83333333333,93550.0,92281.43333333333,94205.53333333334,93745.33333333333,92830.56666666667,93055.45999999999
5,6,91705.63333333333,93322.93333333333,93450.6,93074.66666666667,92463.33333333333,94264.5,93010.4,93665.46666666666,94207.0,93126.7,93229.12333333332
6,7,91667.56666666667,92717.76666666666,93596.7,92761.56666666667,92394.16666666667,93915.53333333334,92744.9,93628.03333333334,93916.73333333334,93643.53333333334,93098.65000000001
7,8,91612.4,93047.36666666667,93794.46666666666,93032.8,92252.93333333333,93622.4,93446.3,94331.6,93805.3,93161.76666666666,93210.73333333335
8,9,92126.3,92782.0,94319.33333333333,93710.2,92176.56666666667,93772.6,93578.9,94793.13333333333,94069.53333333334,92478.3,93380.68666666668
9,10,91728.13333333333,92668.6,94267.23333333334,93533.46666666666,92380.66666666667,94420.8,93939.5,94308.66666666667,93424.3,92481.06666666667,93315.24333333333
10,11,91030.0,92453.5,94267.93333333333,94063.0,92994.1,94560.4,94010.03333333334,94134.06666666667,92968.0,93361.6,93384.26333333334
11,12,91040.7,92259.03333333334,94322.23333333334,94072.8,92512.16666666667,94166.26666666666,93890.83333333333,94410.73333333334,92761.66666666667,93079.96666666666,93251.63999999998
12,13,90606.53333333334,92244.93333333333,94575.3,93883.2,92858.7,94318.7,93921.13333333333,94228.7,92424.06666666667,93798.76666666666,93286.00333333333
13,14,90805.56666666667,93191.8,94613.83333333333,93930.2,92660.4,93906.96666666666,93440.76666666666,94310.9,92284.33333333333,93778.0,93292.27666666669
14,15,90528.36666666667,92494.86666666667,94353.43333333333,94128.1,92514.0,94187.13333333333,92985.0,94013.73333333334,92308.56666666667,93188.16666666667,93070.13666666666
15,16,90135.7,92362.86666666667,94333.7,93665.76666666666,92826.83333333333,94457.7,92516.86666666667,94349.66666666667,92339.6,92582.83333333333,92957.15333333334
16,17,90050.63333333333,91902.83333333333,93755.7,92731.2,93134.23333333334,94288.9,92698.73333333334,94612.3,92012.73333333334,92209.63333333333,92739.69000000002
17,18,90713.0,91470.7,93236.76666666666,93391.5,93227.33333333333,94211.46666666666,92887.86666666667,94624.26666666666,91880.33333333333,92308.16666666667,92795.13999999998
18,19,90629.0,91942.43333333333,93686.36666666667,93164.93333333333,92849.6,93694.0,93654.16666666667,94582.36666666667,92462.73333333334,92697.8,92936.34000000001
19,20,89849.06666666667,92112.1,93907.86666666667,93412.03333333334,92364.23333333334,94329.13333333333,93438.0,94440.63333333333,92530.56666666667,92558.93333333333,92894.25666666667
20,21,88961.86666666667,91713.73333333334,93530.26666666666,93532.26666666666,92105.43333333333,94357.13333333333,94176.5,94556.26666666666,92457.46666666666,92585.63333333333,92797.65666666668
21,22,90056.26666666666,91403.06666666667,94499.7,93618.3,92506.16666666667,94727.73333333334,94158.8,95356.3,92470.33333333333,92488.73333333334,93128.54000000001
