,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,92082.26666666666,93917.53333333334,92341.53333333334,91673.43333333333,92003.6,91846.33333333333,91411.46666666666,91084.5,91639.3,91928.3,91992.82666666669
1,2,91003.36666666667,92996.76666666666,91861.0,90395.76666666666,91346.83333333333,90973.1,90722.96666666666,90435.4,90886.1,90590.03333333334,91121.13333333333
2,3,90279.96666666666,92043.06666666667,91416.36666666667,89906.4,90685.5,90540.16666666667,90045.13333333333,90315.23333333334,90170.4,90052.96666666666,90545.51999999999
3,4,89436.93333333333,91422.76666666666,90972.6,89241.26666666666,90170.1,90187.23333333334,89780.06666666667,89431.2,89525.26666666666,88854.4,89902.18333333333
4,5,88895.63333333333,90928.86666666667,90672.7,88842.76666666666,89906.13333333333,90006.23333333334,89243.86666666667,89031.03333333334,89003.7,88684.5,89521.54333333332
5,6,88458.73333333334,90496.23333333334,90400.4,88654.76666666666,89207.5,89813.13333333333,88623.23333333334,88572.13333333333,88770.6,88137.0,89113.37333333332
6,7,88007.06666666667,89745.36666666667,89937.86666666667,87958.66666666667,88689.26666666666,89490.2,88305.86666666667,87848.56666666667,88275.23333333334,87784.1,88604.22
7,8,87072.2,89669.2,89575.16666666667,87748.16666666667,88107.1,89100.5,87897.0,87128.4,88015.53333333334,87592.33333333333,88190.56000000001
8,9,86670.73333333334,89283.63333333333,89172.26666666666,87140.36666666667,87894.7,88484.6,87550.7,86874.36666666667,87274.93333333333,86449.26666666666,87679.55666666667
9,10,86426.5,88867.33333333333,88973.5,86822.0,87588.53333333334,88252.06666666667,87046.03333333334,86479.93333333333,86940.23333333334,86089.0,87348.51333333334
10,11,86079.7,87959.26666666666,88577.0,86488.86666666667,87141.86666666667,87693.53333333334,86468.2,86030.8,86704.93333333333,85904.23333333334,86904.84000000001
11,12,85631.23333333334,87722.36666666667,88517.36666666667,86285.9,86780.43333333333,87368.9,86113.53333333334,85764.4,86472.76666666666,85565.4,86622.23000000001
