,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,91464.66666666667,92066.13333333333,92554.76666666666,91140.46666666666,92351.63333333333,91634.73333333334,91720.13333333333,90134.8,90991.6,90265.03333333334,91432.39666666665
1,2,90620.4,89991.6,91259.83333333333,89156.0,89431.83333333333,91187.86666666667,89600.66666666667,87351.36666666667,90497.76666666666,89325.4,89842.27333333333
2,3,88853.1,88895.8,89664.03333333334,89423.73333333334,88934.13333333333,89885.46666666666,87968.2,85654.4,89873.23333333334,89907.96666666666,88906.00666666668
3,4,88034.86666666667,87394.7,87719.33333333333,87858.66666666667,88261.93333333333,88632.26666666666,87365.93333333333,84509.6,90333.2,88344.13333333333,87845.46333333332
4,5,87829.13333333333,86273.4,87268.6,88568.3,89241.63333333333,86764.76666666666,86414.93333333333,84305.6,88720.26666666666,87877.13333333333,87326.37666666666
5,6,86999.93333333333,83910.6,87495.6,89541.13333333333,87383.16666666667,86966.33333333333,85181.0,82850.96666666666,88809.1,86083.26666666666,86522.10999999999
6,7,86291.46666666666,82970.93333333333,87859.26666666666,85607.93333333333,86308.83333333333,86675.0,85240.03333333334,82207.6,88033.0,84448.13333333333,85564.22
7,8,85656.96666666666,81805.0,87270.16666666667,84235.53333333334,85873.96666666666,85116.43333333333,85492.73333333334,82275.76666666666,88113.6,84229.13333333333,85006.93
8,9,84835.53333333334,83402.3,87004.63333333333,85946.26666666666,85054.66666666667,85415.73333333334,85558.26666666666,82158.83333333333,88193.3,83003.9,85057.34333333335
9,10,84515.23333333334,82792.83333333333,85530.56666666667,84192.7,84134.96666666666,84937.8,84940.86666666667,81957.93333333333,86037.03333333334,81613.0,84065.29333333333
10,11,83847.5,81300.36666666667,84941.13333333333,83279.66666666667,84017.93333333333,84301.73333333334,84623.73333333334,81784.96666666666,85612.96666666666,82016.7,83572.67
11,12,83744.13333333333,81179.9,83626.9,79400.56666666667,83798.96666666666,84049.76666666666,84706.63333333333,81642.6,84665.3,82545.76666666666,82936.05333333334
12,13,82940.36666666667,80419.13333333333,83200.53333333334,79020.53333333334,83551.26666666666,83785.1,83939.9,81270.16666666667,82353.46666666666,83362.13333333333,82384.26
13,14,82215.0,79086.6,81601.63333333333,79340.7,83494.36666666667,83509.3,83164.2,81070.53333333334,82499.86666666667,84358.3,82034.05000000002
14,15,80445.23333333334,79027.13333333333,80815.96666666666,78489.13333333333,83222.06666666667,82907.43333333333,82569.93333333333,80603.66666666667,81908.8,83111.73333333334,81310.11000000002
15,16,79331.8,77826.73333333334,81040.83333333333,77615.86666666667,82922.46666666666,82944.56666666667,81555.1,80086.93333333333,81658.36666666667,82486.9,80746.95666666667
16,17,79085.0,77715.33333333333,80899.76666666666,77348.86666666667,82463.7,82619.66666666667,81003.73333333334,79825.8,81596.4,82980.16666666667,80553.84333333334
17,18,78686.26666666666,77537.0,80755.63333333333,77021.83333333333,82191.73333333334,82405.66666666667,80414.46666666666,79566.4,81471.53333333334,81576.76666666666,80162.73000000001
18,19,78490.2,77367.6,80354.06666666667,76819.36666666667,81970.3,82134.43333333333,79957.93333333333,78919.8,81213.73333333334,80603.7,79783.11333333333
19,20,79025.7,77036.33333333333,80253.4,75756.03333333334,81693.16666666667,82026.33333333333,79528.43333333333,78244.1,80688.0,80558.13333333333,79480.96333333333
20,21,78138.36666666667,76767.6,79208.9,75355.53333333334,81207.8,81699.63333333333,78910.53333333334,77954.06666666667,80241.46666666666,80716.8,79020.07
21,22,78380.5,76090.0,78249.66666666667,74854.3,80930.46666666666,81650.8,78655.63333333333,77464.53333333334,79996.33333333333,79454.66666666667,78572.69
