,Generations,Run 1 ASF,Run 2 ASF,Run 3 ASF,Run 4 ASF,Run 5 ASF,Run 6 ASF,Run 7 ASF,Run 8 ASF,Run 9 ASF,Run 10 ASF,Average ASF
0,1,90181.66666666667,89033.1,88880.43333333333,90747.3,91066.53333333334,89376.26666666666,90877.73333333334,90847.33333333333,89036.13333333333,89230.76666666666,89927.72666666668
1,2,87978.56666666667,86676.23333333334,84965.96666666666,89488.7,88948.23333333334,87051.76666666666,88659.46666666666,88694.93333333333,85848.26666666666,85900.4,87421.25333333333
2,3,86436.6,85039.9,82145.06666666667,87165.7,87342.9,85598.23333333334,87113.73333333334,87136.73333333334,83304.93333333333,83370.16666666667,85465.39666666667
3,4,85933.33333333333,84504.86666666667,81124.13333333333,85458.4,86359.56666666667,84574.06666666667,86255.96666666666,86298.63333333333,81886.16666666667,82352.3,84474.74333333332
4,5,85427.36666666667,83818.03333333334,80760.5,84449.63333333333,86105.06666666667,84118.06666666667,85374.9,85646.06666666667,80749.7,81390.1,83783.94333333333
5,6,84835.5,83111.3,80622.1,84028.33333333333,85667.43333333333,83771.13333333333,84563.06666666667,84817.33333333333,80169.33333333333,80646.23333333334,83223.17666666668
6,7,83813.56666666667,82278.83333333333,80517.13333333333,83410.9,85197.6,83497.56666666667,83858.76666666666,83815.76666666666,79579.83333333333,79813.4,82578.33666666667
7,8,82809.56666666667,81622.76666666666,80326.8,82689.33333333333,84799.46666666666,82997.96666666666,83338.76666666666,82799.4,79213.73333333334,79258.36666666667,81985.61666666667
8,9,82040.36666666667,80586.33333333333,80029.66666666667,82131.76666666666,84408.03333333334,82359.23333333334,82751.4,81938.43333333333,78673.23333333334,78475.96666666666,81339.44333333334
9,10,81421.1,78890.36666666667,79735.2,81595.0,84134.83333333333,81106.7,82078.06666666667,81105.83333333333,78261.43333333333,77933.03333333334,80626.15666666668
10,11,80761.73333333334,77337.5,79292.33333333333,81166.6,83760.13333333333,79909.4,81494.96666666666,80599.0,77706.2,77557.26666666666,79958.51333333334
11,12,80147.16666666667,76184.9,78935.66666666667,80877.33333333333,83304.56666666667,78640.4,81259.76666666666,80198.96666666666,76967.96666666666,77080.3,79359.70333333334
12,13,79581.6,75673.66666666667,78691.5,80589.63333333333,82551.86666666667,77848.5,80896.7,79999.5,76352.86666666667,76525.53333333334,78871.13666666667
13,14,79374.6,75482.86666666667,78639.96666666666,80180.7,81562.23333333334,77292.96666666666,80621.5,79842.46666666666,75649.7,75847.9,78449.49
14,15,78894.53333333334,75134.36666666667,78523.33333333333,79414.0,80664.46666666666,76936.66666666667,80336.56666666667,79627.66666666667,75171.16666666667,75246.6,77994.93666666666
15,16,78089.63333333333,74604.66666666667,78126.9,78624.63333333333,79884.1,76761.73333333334,80107.93333333333,79390.36666666667,74646.4,74864.23333333334,77510.06000000001
16,17,76829.76666666666,74177.03333333334,77178.9,77967.83333333333,79239.7,76611.46666666666,79802.86666666667,78956.46666666666,74292.6,74582.3,76963.89333333334
17,18,75540.53333333334,73391.16666666667,76149.9,77499.73333333334,78548.33333333333,76285.73333333334,79346.9,78570.73333333334,73966.5,74388.36666666667,76368.79000000001
18,19,74639.93333333333,72661.56666666667,75265.3,77121.7,77894.26666666666,75740.43333333333,78847.33333333333,78223.33333333333,73490.83333333333,74173.96666666666,75805.86666666667
19,20,74115.26666666666,72006.16666666667,74896.3,76863.3,77360.06666666667,75229.1,78305.46666666666,78038.0,73009.1,73670.3,75349.30666666667
20,21,73919.36666666667,71681.4,74366.16666666667,76432.16666666667,76692.36666666667,74877.8,77994.53333333334,77862.43333333333,72651.06666666667,72890.96666666666,74936.82666666668
21,22,73618.53333333334,71272.36666666667,73922.96666666666,75992.0,76018.03333333334,74668.86666666667,77340.66666666667,77579.3,72413.46666666666,71991.03333333334,74481.72333333334
22,23,73119.13333333333,70927.3,73408.3,75634.4,75470.23333333334,74114.56666666667,76360.93333333333,77282.26666666666,72265.86666666667,71188.53333333334,73977.15333333334
23,24,72726.2,70478.26666666666,72787.96666666666,75405.23333333334,75143.76666666666,73405.5,75132.83333333333,76993.4,72147.26666666666,70561.1,73478.15333333334
24,25,72390.23333333334,70081.6,72136.43333333333,75266.1,75003.93333333333,72677.26666666666,74015.8,76743.1,71697.26666666666,70111.83333333333,73012.35666666667
